Turn;Planet_count_KI_1_SP_REPLICON;Research_KI_1_SP_REPLICON;Industry_KI_1_SP_REPLICON;Ships_KI_1_SP_REPLICON;Population_KI_1_SP_REPLICON;Planet_count_KI_6_SP_FULVER;Research_KI_6_SP_FULVER;Industry_KI_6_SP_FULVER;Ships_KI_6_SP_FULVER;Population_KI_6_SP_FULVER;
1;1;6.0;14.0;4;20.0;2;6.0;12.1999998093;3;21.0;
2;1;7.0;13.0;6;20.0;2;7.15000009537;11.0;3;21.0900000334;
3;1;8.0;12.0;6;20.0;2;8.16349983215;10.0;3;21.1871190071;
4;1;8.0;11.0;6;20.0;2;8.17806816101;10.0;3;21.2917383909;
5;1;8.0;10.0;6;20.0;2;8.19376087189;10.0;3;21.4042263031;
6;1;9.0;10.0;6;20.0;2;9.31595134735;10.0;3;21.5249304771;
7;1;9.5;10.0;4;20.0;2;9.84310913086;10.0;3;21.6541694403;
8;1;9.5;10.0;4;20.3999996185;2;9.87218856812;10.0;3;22.2087649107;
9;1;9.59000015259;10.1999998093;4;20.7264003754;2;9.99697208405;10.1999998093;3;22.7014135122;
10;1;9.66343975067;10.3632001877;3;20.9903717041;2;10.1078176498;10.3632001877;3;23.1436295509;
11;1;9.72283363342;10.4951858521;3;22.0419120789;2;10.2073163986;10.4951858521;2;24.4502608776;
12;2;9.95943069458;11.5209560394;2;23.9143505096;2;10.5013093948;11.0209560394;2;25.6018667221;
13;2;11.7228336334;11.9571752548;2;24.6214065552;2;12.3275251389;11.4571752548;3;26.6129477024;
14;2;13.7228336334;12.3107032776;2;25.1832637787;2;14.3275251389;11.8107032776;3;27.5041275024;
15;2;15.7228336334;12.5916318893;2;25.6226100922;2;16.3275241852;12.0916318893;3;28.2981133461;
16;2;16.7228336334;12.8113050461;2;25.9617595673;2;17.5498218536;12.3113050461;5;29.0167398453;
17;2;17.7228336334;12.9808797836;2;26.0;2;18.6352043152;12.4808797836;6;29.4582490921;
18;2;18.7228336334;13.0;3;26.0;2;19.7259407043;12.5;6;29.883644104;
19;2;19.625;13.0;3;26.0;2;20.7238197327;12.5;7;30.3288545609;
20;2;19.625;13.0;3;26.0;2;20.8239917755;12.5;7;30.7909274101;
21;2;19.625;13.1000003815;3;26.0;2;20.9279594421;12.5;7;31.2663087845;
22;2;19.625;13.1000003815;3;26.0;2;21.0349197388;12.5;6;31.7509255409;
23;2;19.625;13.1000003815;4;26.0;2;19.625;13.5;7;32.2403049469;
24;3;19.625;13.1000003815;3;26.0;2;19.625;14.5;7;32.7297272682;
25;3;19.625;13.1000003815;3;26.0;2;19.625;14.8189182281;8;33.2144021988;
26;3;19.625;13.1000003815;3;26.0;2;19.625;14.9643211365;7;33.6896543503;
27;3;19.625;13.1000003815;3;26.0;2;19.625;15.1068964005;7;34.1511049271;
28;3;19.625;13.1000003815;3;26.0;2;19.625;15.2453317642;7;34.5948324203;
29;3;19.625;13.1000003815;4;26.0;2;20.625;13.2453317642;7;35.0175008774;
30;3;17.8500003815;13.5;4;26.0;2;19.625;13.5;7;35.4164476395;
31;3;16.8500003815;14.5;4;26.0;3;18.9687004089;14.5;4;40.7897262573;
