Turn;Planet_count_KI_1_SP_REPLICON;Research_KI_1_SP_REPLICON;Industry_KI_1_SP_REPLICON;Ships_KI_1_SP_REPLICON;Population_KI_1_SP_REPLICON;Planet_count_KI_6_SP_FULVER;Research_KI_6_SP_FULVER;Industry_KI_6_SP_FULVER;Ships_KI_6_SP_FULVER;Population_KI_6_SP_FULVER;
1;1;6.0;14.0;4;20.0;1;6.0;12.0;4;20.0;
2;1;7.0;13.0;6;20.0;1;7.0;11.0;5;20.0;
3;1;8.0;12.0;6;20.0;1;8.0;10.0;5;20.0;
4;1;8.0;11.0;6;20.0;1;8.0;10.0;5;20.0;
5;1;8.0;10.0;6;20.0;1;8.0;10.0;5;20.0;
6;1;9.0;10.0;6;20.0;1;9.0;10.0;5;20.0;
7;1;9.5;10.0;6;20.0;1;9.5;10.0;5;20.0;
8;2;9.5;10.3000001907;5;21.3999996185;1;9.5;10.0;5;20.3999996185;
9;2;9.81500053406;10.1999998093;5;21.7964004278;1;9.59000015259;10.1999998093;5;20.7264003754;
10;2;9.90419006348;10.3632001877;5;22.1345227957;2;9.66343975067;10.5631999969;4;21.9903717041;
11;2;9.98026752472;10.4951858521;5;23.2873874903;2;9.94783401489;10.4951858521;4;23.2119120359;
12;2;10.2396621704;11.0209560394;5;24.268861413;2;10.2226810455;11.0209560394;5;24.2812614441;
13;2;12.027598381;11.4571752548;5;25.093021512;2;12.0303888321;11.4571752548;5;25.2156770229;
14;2;14.027598381;11.8107032776;5;25.7803837061;2;14.0303888321;11.8107032776;5;26.0390859842;
15;2;16.0275993347;12.0916318893;4;26.3539340496;2;16.0303878784;12.0916318893;5;26.7780394554;
16;2;17.1123809814;12.3113050461;4;26.8362411261;2;17.2078056335;12.3113050461;5;27.458707571;
17;2;18.1445922852;12.4808797836;3;27.0267930031;2;18.2846469879;12.4808797836;5;27.8840510845;
18;2;19.178861618;12.5;3;27.1883933544;2;19.3717460632;12.5;5;28.3200027943;
