Turn;Planet_count_KI_1_SP_REPLICON;Research_KI_1_SP_REPLICON;Industry_KI_1_SP_REPLICON;Ships_KI_1_SP_REPLICON;Population_KI_1_SP_REPLICON;Planet_count_KI_6_SP_FULVER;Research_KI_6_SP_FULVER;Industry_KI_6_SP_FULVER;Ships_KI_6_SP_FULVER;Population_KI_6_SP_FULVER;
1;1;6.0;14.0;4;20.0;1;6.0;12.0;4;20.0;
2;1;7.0;13.0;6;20.0;1;7.0;11.0;5;20.0;
3;2;8.0;12.3000001907;5;21.0;1;8.0;10.0;5;20.0;
4;2;8.14999961853;11.0;5;21.0599999428;1;8.0;10.0;5;20.0;
5;2;8.15900039673;10.0;5;21.1229639053;1;8.0;10.0;5;20.0;
6;2;9.25266647339;10.0;4;21.1889609098;1;9.0;10.0;5;20.0;
7;2;9.76751613617;10.0;4;21.2580518723;1;9.5;10.0;5;20.0;
8;2;9.7830619812;10.0;4;21.7428686619;2;9.5;10.1999998093;4;21.3999996185;
9;2;9.89214611053;10.1999998093;4;22.1586660147;2;9.81500053406;10.1999998093;4;21.7664003372;
10;2;9.98569965363;10.3632001877;4;22.5167047977;2;9.89743995667;10.3632001877;4;22.0715556145;
11;2;10.0662584305;10.4951858521;4;23.6975815296;2;9.96609973907;10.4951858521;4;23.1762773991;
12;2;10.3319559097;11.0209560394;4;24.7081744671;2;10.2146625519;11.0209560394;5;24.1039098501;
13;2;12.1264438629;11.4571752548;4;25.5624349117;2;11.9904842377;11.4571752548;5;24.8681889772;
14;2;14.1264438629;11.8107032776;4;26.2807190418;2;13.9904842377;11.8107032776;5;25.4893084764;
15;2;16.1264438629;12.0916318893;4;26.8858177662;2;15.9904842377;12.0916318893;5;25.9899599552;
16;2;17.2320556641;12.3113050461;4;27.4000668526;2;17.0304870605;12.3113050461;5;26.3924539089;
17;2;18.2714538574;12.4808797836;4;27.6226844788;2;18.0447406769;12.4808797836;5;26.4960671663;
18;2;19.3129386902;12.5;5;27.8161680698;2;19.0594482422;12.5;5;26.5634490252;
