Turn;Planet_count_KI_1_SP_REPLICON;Research_KI_1_SP_REPLICON;Industry_KI_1_SP_REPLICON;Ships_KI_1_SP_REPLICON;Population_KI_1_SP_REPLICON;Planet_count_KI_6_SP_FULVER;Research_KI_6_SP_FULVER;Industry_KI_6_SP_FULVER;Ships_KI_6_SP_FULVER;Population_KI_6_SP_FULVER;
1;1;6.0;14.0;4;20.0;1;6.0;12.0;4;20.0;
2;1;7.0;13.0;6;20.0;1;7.0;11.0;5;20.0;
3;1;8.0;12.0;6;20.0;1;8.0;10.0;6;20.0;
4;1;8.0;11.0;6;20.0;1;8.0;10.0;5;20.0;
5;1;8.0;10.0;6;20.0;2;8.0;10.1999998093;3;21.0;
6;1;9.0;10.0;6;20.0;2;9.22500038147;10.0;3;21.0900000334;
7;1;9.5;10.0;6;20.0;2;9.74524974823;10.0;2;21.1871190071;
8;1;9.5;10.0;6;20.3999996185;2;9.76710128784;10.0;2;21.7036092281;
9;2;9.59000015259;10.5;5;21.7264003754;2;9.88331222534;10.1999998093;2;22.1564130783;
10;2;9.88844013214;10.3632001877;5;21.9903717041;2;9.98519229889;10.3632001877;2;22.557236433;
11;2;9.94783401489;10.4951858521;5;23.0619120598;2;10.075378418;10.4951858521;2;23.8035871983;
12;2;10.1889305115;11.0209560394;5;23.9545464516;2;10.3558073044;11.0209560394;2;24.8916251659;
13;2;11.9568777084;11.4571752548;5;24.6819883585;2;10.6006164551;11.4571752548;2;25.8364036083;
14;2;13.9568777084;11.8107032776;5;25.2644146681;2;12.6006164551;11.8107032776;2;26.6592981815;
15;2;15.9568777084;12.0916318893;5;25.7245066166;2;14.6006164551;12.0916318893;2;27.3839819431;
16;2;16.9707603455;12.3113050461;5;26.0845712423;2;15.7770376205;12.3113050461;2;28.0334718227;
17;2;17.9754657745;12.4808797836;5;26.1438889503;2;16.8468647003;12.4808797836;2;28.407397747;
18;2;18.9802093506;12.5;5;26.1651208401;2;17.9223937988;12.5;2;28.7683298588;
