Turn;Planet_count_KI_1_SP_REPLICON;Research_KI_1_SP_REPLICON;Industry_KI_1_SP_REPLICON;Ships_KI_1_SP_REPLICON;Population_KI_1_SP_REPLICON;Planet_count_KI_6_SP_FULVER;Research_KI_6_SP_FULVER;Industry_KI_6_SP_FULVER;Ships_KI_6_SP_FULVER;Population_KI_6_SP_FULVER;
1;1;6.0;14.0;4;20.0;1;6.0;12.0;4;20.0;
2;1;7.0;13.0;6;20.0;1;7.0;11.0;5;20.0;
3;1;8.0;12.0;5;20.0;1;8.0;10.0;5;20.0;
4;1;8.0;11.0;5;20.0;1;8.0;10.0;4;20.0;
5;1;8.0;10.0;5;20.0;2;8.0;10.1999998093;3;21.0;
6;1;9.0;10.0;5;20.0;2;9.22500038147;10.0;3;21.0599999428;
7;1;9.5;10.0;5;20.0;2;9.73849964142;10.0;2;21.1229639053;
8;1;9.5;10.0;5;20.3999996185;2;9.75266647339;10.0;2;21.6001901627;
9;2;9.59000015259;10.5;4;21.7264003754;2;9.86004257202;10.1999998093;2;22.0082015991;
10;2;9.88844013214;10.3632001877;4;21.9903717041;2;9.95184516907;10.3632001877;2;22.3582868576;
11;2;9.94783401489;10.4951858521;4;23.0819120407;2;10.0306148529;10.4951858521;2;23.5279067755;
12;2;10.1934309006;11.0209560394;4;23.99553442;2;10.2937793732;11.0209560394;3;24.5268628597;
13;2;11.9660997391;11.4571752548;4;24.7449600697;2;12.0856485367;11.4571752548;3;25.3691681623;
14;2;13.9660997391;11.8107032776;4;25.3503712416;2;14.0856485367;11.8107032776;3;26.0752547979;
15;2;15.9660997391;12.0916318893;4;25.8344515562;2;16.0856494904;12.0916318893;3;26.6680037975;
16;2;16.7228336334;12.6748571396;4;26.2195074558;2;17.1830482483;12.3113050461;3;27.1698563099;
17;2;18.0058269501;12.4808797836;3;26.3048160076;2;18.2196559906;12.4808797836;3;27.3801496029;
18;2;19.0164165497;12.5;4;26.3530313969;2;19.2583675385;12.5;3;27.5615134239;
