Turn;Planet_count_KI_1_SP_REPLICON;Research_KI_1_SP_REPLICON;Industry_KI_1_SP_REPLICON;Ships_KI_1_SP_REPLICON;Population_KI_1_SP_REPLICON;Planet_count_KI_6_SP_FULVER;Research_KI_6_SP_FULVER;Industry_KI_6_SP_FULVER;Ships_KI_6_SP_FULVER;Population_KI_6_SP_FULVER;
1;1;6.0;14.0;4;20.0;1;6.0;12.0;4;20.0;
2;1;7.0;13.0;6;20.0;1;7.0;11.0;5;20.0;
3;1;8.0;12.0;6;20.0;2;8.0;10.1999998093;4;21.0;
4;1;8.0;11.0;6;20.0;2;8.14999961853;10.0;4;21.0900000334;
5;1;8.0;10.0;6;20.0;2;8.16349983215;10.0;4;21.1871190071;
6;1;9.0;10.0;6;20.0;2;9.26710128784;10.0;4;21.2917383909;
7;1;9.5;10.0;6;20.0;2;9.79064083099;10.0;4;21.4042263031;
8;1;9.5;10.0;6;20.3999996185;2;9.81595134735;10.0;4;21.9389723539;
9;1;9.59000015259;10.1999998093;6;20.7264003754;2;9.93626880646;10.1999998093;4;22.4109756947;
10;1;9.66343975067;10.3632001877;6;20.9903717041;2;10.0424690247;10.3632001877;4;22.831872344;
11;1;9.72283363342;10.4951858521;6;22.0419120789;2;10.1371707916;10.4951858521;4;24.1073114872;
12;1;9.95943069458;11.0209560394;6;22.9143505096;2;10.4241456985;11.0209560394;5;25.2262470722;
13;1;11.7228336334;11.4571752548;6;23.6214065552;2;12.2430105209;11.4571752548;5;26.2035200596;
14;1;12.7228336334;11.8107032776;6;24.1832637787;2;14.2430105209;11.8107032776;5;27.060199976;
15;1;13.7228336334;12.0916318893;6;24.6226100922;2;16.2430095673;12.0916318893;5;27.819549799;
16;1;14.7228336334;12.3113050461;6;24.9617595673;2;17.4421443939;12.3113050461;5;28.5040667057;
17;1;15.7228336334;12.4808797836;6;25.0;2;18.5198516846;12.4808797836;5;28.912750721;
18;1;16.7228336334;12.5;7;25.0;2;19.6032028198;12.5;5;29.3074398041;
