Turn;Planet_count_KI_1_SP_REPLICON;Research_KI_1_SP_REPLICON;Industry_KI_1_SP_REPLICON;Ships_KI_1_SP_REPLICON;Population_KI_1_SP_REPLICON;Planet_count_KI_6_SP_FULVER;Research_KI_6_SP_FULVER;Industry_KI_6_SP_FULVER;Ships_KI_6_SP_FULVER;Population_KI_6_SP_FULVER;
1;1;6.0;14.0;4;20.0;1;6.0;12.0;4;20.0;
2;1;7.0;13.0;6;20.0;1;7.0;11.0;5;20.0;
3;1;8.0;12.0;6;20.0;1;8.0;10.0;5;20.0;
4;1;8.0;11.0;6;20.0;1;8.0;10.0;5;20.0;
5;1;8.0;10.0;5;20.0;1;8.0;10.0;5;20.0;
6;1;9.0;10.0;5;20.0;1;9.0;10.0;5;20.0;
7;1;9.5;10.0;5;20.0;1;9.5;10.0;5;20.0;
8;2;10.5;10.3000001907;4;21.3999996185;1;9.5;10.0;5;20.3999996185;
9;2;11.5900001526;10.1999998093;4;21.7264003754;2;9.59000015259;10.3999996185;4;21.7264003754;
10;2;12.6634397507;10.3632001877;4;21.9903717041;2;9.88844013214;10.3632001877;4;22.0903717279;
11;2;12.9478340149;10.4951858521;4;23.0619120598;2;9.97033405304;10.4951858521;4;23.2838120461;
12;2;13.1889305115;11.0209560394;4;23.9545464516;2;10.238858223;11.0209560394;5;24.3146933317;
13;2;15.9523334503;11.7692337036;4;24.6819883585;2;12.0379104614;11.4571752548;5;25.1981878281;
14;2;17.9523334503;11.8107032776;4;25.2644146681;2;14.0379104614;11.8107032776;5;25.9559320211;
15;2;18.7228336334;12.415977478;4;25.7245066166;2;16.0379104614;12.0916318893;5;26.6120283604;
16;2;19.7228336334;12.6418743134;4;26.0845712423;2;17.1704521179;12.3113050461;5;27.1901185513;
17;2;20.9754657745;12.4808797836;4;26.1438889503;2;18.2242145538;12.4808797836;5;27.4906733036;
18;2;21.7228336334;12.8431663513;5;26.1651208401;2;19.2832355499;12.5;5;27.7773330212;
