Turn;Planet_count_KI_1_SP_REPLICON;Research_KI_1_SP_REPLICON;Industry_KI_1_SP_REPLICON;Ships_KI_1_SP_REPLICON;Population_KI_1_SP_REPLICON;Planet_count_KI_6_SP_FULVER;Research_KI_6_SP_FULVER;Industry_KI_6_SP_FULVER;Ships_KI_6_SP_FULVER;Population_KI_6_SP_FULVER;
1;1;6.0;14.0;4;20.0;1;6.0;12.0;4;20.0;
2;1;7.0;13.0;6;20.0;1;7.0;11.0;5;20.0;
3;2;8.0;12.3000001907;5;21.0;1;8.0;10.0;5;20.0;
4;2;8.14999961853;11.0;5;21.0900000334;1;8.0;10.0;5;20.0;
5;2;8.16349983215;10.0;5;21.1871190071;1;8.0;10.0;5;20.0;
6;2;9.26710128784;10.0;4;21.2917383909;1;9.0;10.0;5;20.0;
7;2;9.79064083099;10.0;4;21.4042263031;1;9.5;10.0;5;20.0;
8;2;9.81595134735;10.0;4;21.9389723539;1;9.5;10.0;5;20.3999996185;
9;2;9.93626880646;10.1999998093;4;22.4109756947;1;9.59000015259;10.1999998093;5;20.7264003754;
10;2;10.0424690247;10.3632001877;4;22.831872344;1;9.66343975067;10.3632001877;5;20.9903717041;
11;2;10.1371707916;10.4951858521;4;24.1073114872;1;9.72283363342;10.4951858521;4;22.0419120789;
12;2;10.4241456985;11.0209560394;4;25.2262470722;1;9.95943069458;11.0209560394;4;22.9143505096;
13;2;12.2430105209;11.4571752548;4;26.2035200596;1;11.7228336334;11.4571752548;4;23.6214065552;
14;2;14.2430105209;11.8107032776;4;27.060199976;1;12.7228336334;11.8107032776;4;24.1832637787;
15;2;16.2430095673;12.0916318893;4;27.819549799;1;13.7228336334;12.0916318893;4;24.6226100922;
16;2;17.4421443939;12.3113050461;4;28.5040667057;1;14.7228336334;12.3113050461;3;24.9617595673;
17;2;18.5198516846;12.4808797836;4;28.912750721;1;15.7228336334;12.4808797836;3;25.0;
18;2;19.6032028198;12.5;5;29.3074398041;1;16.7228336334;12.5;2;25.0;
