Turn;Planet_count_KI_1_SP_REPLICON;Research_KI_1_SP_REPLICON;Industry_KI_1_SP_REPLICON;Ships_KI_1_SP_REPLICON;Population_KI_1_SP_REPLICON;Planet_count_KI_6_SP_FULVER;Research_KI_6_SP_FULVER;Industry_KI_6_SP_FULVER;Ships_KI_6_SP_FULVER;Population_KI_6_SP_FULVER;
1;1;6.0;14.0;4;20.0;1;6.0;12.0;4;20.0;
2;1;7.0;13.0;6;20.0;1;7.0;11.0;5;20.0;
3;1;8.0;12.0;5;20.0;1;8.0;10.0;5;20.0;
4;1;8.0;11.0;5;20.0;1;8.0;10.0;4;20.0;
5;1;8.0;10.0;5;20.0;1;8.0;10.0;4;20.0;
6;1;9.0;10.0;5;20.0;1;9.0;10.0;4;20.0;
7;1;9.5;10.0;5;20.0;1;9.5;10.0;4;20.0;
8;1;9.5;10.0;5;20.3999996185;1;9.5;10.0;4;20.3999996185;
9;1;9.59000015259;10.1999998093;5;20.7264003754;1;9.59000015259;10.1999998093;4;20.7264003754;
10;1;9.66343975067;10.3632001877;5;20.9903717041;1;9.66343975067;10.3632001877;4;20.9903717041;
11;2;9.72283363342;10.7951860428;4;23.0419120789;1;9.72283363342;10.4951858521;4;22.0419120789;
12;2;10.184431076;11.0209560394;4;24.0443505049;1;9.95943069458;11.0209560394;5;22.9143505096;
13;2;11.9770832062;11.4571752548;4;24.8968375921;1;11.7228336334;11.4571752548;5;23.6214065552;
14;2;13.9770832062;11.8107032776;4;25.6209878922;1;12.7228336334;11.8107032776;5;24.1832637787;
15;2;15.9770832062;12.0916318893;4;26.2409451008;1;13.7228336334;12.0916318893;5;24.6226100922;
16;2;16.7228336334;12.7968053818;4;26.7804714441;1;14.7228336334;12.3113050461;5;24.9617595673;
17;2;18.1320438385;12.4808797836;4;27.0402543545;1;15.7228336334;12.4808797836;5;25.0;
18;2;19.1818904877;12.5;5;27.2842636108;2;17.7228336334;12.6999998093;4;26.0;
