Turn;Planet_count_KI_1_SP_REPLICON;Research_KI_1_SP_REPLICON;Industry_KI_1_SP_REPLICON;Ships_KI_1_SP_REPLICON;Population_KI_1_SP_REPLICON;Planet_count_KI_6_SP_FULVER;Research_KI_6_SP_FULVER;Industry_KI_6_SP_FULVER;Ships_KI_6_SP_FULVER;Population_KI_6_SP_FULVER;
1;1;6.0;14.0;4;20.0;1;6.0;12.0;4;20.0;
2;1;7.0;13.0;6;20.0;1;7.0;11.0;5;20.0;
3;1;8.0;12.0;6;20.0;1;8.0;10.0;5;20.0;
4;1;8.0;11.0;6;20.0;1;8.0;10.0;5;20.0;
5;1;8.0;10.0;6;20.0;1;8.0;10.0;5;20.0;
6;1;9.0;10.0;6;20.0;1;9.0;10.0;4;20.0;
7;2;9.5;10.5;5;21.0;1;9.5;10.0;4;20.0;
8;2;9.5;10.0;5;21.4299995899;1;9.5;10.0;4;20.3999996185;
9;2;9.59000015259;10.1999998093;5;22.6029913425;2;9.59000015259;10.3999996185;3;21.7264003754;
10;2;9.84704017639;10.7712001801;5;23.5944402218;2;9.88844013214;10.3632001877;3;22.0903717279;
11;2;10.0631017685;11.2513370514;5;25.3351261616;2;9.97033405304;10.4951858521;3;23.2838120461;
12;2;10.4426994324;12.0948867798;5;26.796210289;2;10.238858223;11.0209560394;4;24.3146933317;
13;2;12.0631017685;12.797627449;5;27.9812498093;2;12.0379104614;11.4571752548;4;25.1981878281;
14;2;14.0631017685;13.3613300323;5;28.916716218;2;14.0379104614;11.8107032776;4;25.9559320211;
15;2;16.0631027222;13.7992258072;5;29.6412241459;2;16.0379104614;12.0916318893;4;26.6120283604;
16;2;17.0631027222;14.1306209564;5;30.1963735819;2;17.1704521179;12.3113050461;4;27.1901185513;
17;2;18.0631027222;14.3763179779;6;30.5095181465;2;18.2242145538;12.4808797836;4;27.4906733036;
18;2;19.0631027222;14.5;6;30.5773028135;2;19.2832355499;12.5;4;27.7773330212;
