Turn;Planet_count_KI_1_SP_REPLICON;Research_KI_1_SP_REPLICON;Industry_KI_1_SP_REPLICON;Ships_KI_1_SP_REPLICON;Population_KI_1_SP_REPLICON;Planet_count_KI_6_SP_FULVER;Research_KI_6_SP_FULVER;Industry_KI_6_SP_FULVER;Ships_KI_6_SP_FULVER;Population_KI_6_SP_FULVER;
1;1;6.0;14.0;4;20.0;1;6.0;12.0;4;20.0;
2;1;7.0;13.0;6;20.0;1;7.0;11.0;5;20.0;
3;1;8.0;12.0;6;20.0;1;8.0;10.0;5;20.0;
4;1;8.0;11.0;5;20.0;1;8.0;10.0;5;20.0;
5;2;8.0;10.3000001907;4;21.0;2;9.0;10.1999998093;4;21.0;
6;2;9.22500038147;10.0;4;21.0900000334;2;11.0;10.0;4;21.0599999428;
7;2;9.74524974823;10.0;4;21.1871190071;2;12.5;10.0;4;21.1229639053;
8;2;9.76710128784;10.0;4;21.7036092281;2;12.7526664734;10.0;4;21.6001901627;
9;2;9.88331222534;10.1999998093;4;22.1564130783;2;12.860042572;10.1999998093;4;22.0082015991;
10;2;9.98519229889;10.3632001877;4;22.557236433;2;12.9518451691;10.3632001877;4;23.2129787207;
11;2;10.075378418;10.4951858521;4;23.8035871983;2;13.2229204178;10.9097137451;4;24.245090127;
12;2;10.3558073044;11.0209560394;4;24.8916251659;2;13.4551448822;11.3658018112;5;25.1164904833;
13;2;12.1677207947;11.4571752548;4;25.8364036083;2;16.2499046326;11.7372808456;5;25.8465604782;
14;2;14.1677207947;11.8107032776;4;26.6592981815;2;18.2499046326;12.0336990356;5;26.4579504728;
15;2;15.7228336334;12.8344421387;4;27.3839819431;2;19.3425922394;12.2662630081;5;26.9734284878;
16;2;16.7228336334;13.1397161484;4;28.0334718227;2;20.3775730133;12.446267128;5;27.245682478;
17;2;18.4139690399;12.4808797836;4;28.407397747;2;21.4146499634;12.5;5;27.4198198318;
18;2;18.7228336334;13.5;5;28.7683298588;2;22.453830719;12.5;5;27.6032464504;
