Turn;Planet_count_KI_1_SP_EGASSEM;Research_KI_1_SP_EGASSEM;Industry_KI_1_SP_EGASSEM;Ships_KI_1_SP_EGASSEM;Population_KI_1_SP_EGASSEM;Planet_count_KI_6_SP_CHATO;Research_KI_6_SP_CHATO;Industry_KI_6_SP_CHATO;Ships_KI_6_SP_CHATO;Population_KI_6_SP_CHATO;
1;1;6.0;13.3000001907;4;17.0;1;13.0;10.0;4;20.0;
2;1;7.0;12.3000001907;5;17.0;1;13.0;10.0;5;20.0;
3;1;7.55000019073;11.3000001907;5;17.0;1;13.0;10.0;5;20.0;
4;1;7.55000019073;10.3000001907;5;17.0;1;14.0;10.0;4;20.0;
5;1;7.55000019073;9.30000019073;5;17.0;1;15.0;10.0;4;20.0;
6;2;8.55000019073;8.89999961853;4;18.0;1;16.0;10.0;4;20.3999996185;
7;2;9.05000019073;8.5;4;18.0449999571;1;17.0;10.1999998093;4;20.7264003754;
8;2;9.06012439728;8.5;4;18.0915547609;1;17.4358406067;10.3632001877;4;21.8194274902;
9;2;9.07059955597;8.5;4;18.4905910492;1;18.0916557312;10.9097137451;4;22.7316036224;
10;2;9.16038322449;8.67000007629;3;18.8399845362;1;19.0916557312;11.3658018112;4;23.4745616913;
11;2;9.23899650574;8.81392192841;3;19.145963192;1;20.0916557312;11.7372808456;4;24.0673980713;
12;2;9.30784225464;8.93486309052;3;20.1549206972;1;21.0916557312;12.0336990356;5;24.5325260162;
13;2;9.53485679626;9.39324569702;4;21.0440818071;1;22.0916557312;12.2662630081;5;24.892534256;
14;2;11.3505430222;9.78903102875;4;21.8171498775;1;23.0916557312;12.446267128;5;25.0;
15;2;13.3505439758;10.1240053177;4;22.4831271172;1;24.0916557312;12.5;5;25.0;
16;2;15.3505439758;10.4026165009;4;23.0542217493;1;25.0916557312;12.5;5;25.0;
17;2;16.4239711761;10.6309299469;4;23.5440071821;1;26.0916557312;12.5;5;25.0;
18;2;17.4510211945;10.8157100677;4;23.9660406113;1;27.0;12.5;5;25.0;
19;2;18.4793682098;10.9637317657;4;24.1702980995;1;27.0;12.5;5;25.0;
20;2;19.4383182526;11.0;4;24.3076715469;1;27.0;12.5;6;25.0;
21;2;19.4692268372;11.0;5;24.4505701065;1;27.0;12.5;7;25.0;
22;2;18.9500007629;12.0;5;24.5988156796;1;27.0;12.5;7;25.0;
23;2;18.9500007629;12.299407959;5;24.7521765232;1;27.0;12.5;7;25.0;
24;2;18.9500007629;12.3760881424;5;24.9103667736;1;27.0;12.5;7;25.0;
25;2;18.9500007629;12.4551830292;5;25.0730454922;1;27.0;12.5;7;25.0;
26;3;17.6414356232;12.0;4;25.2398183346;2;27.0;12.5;7;25.0;
27;3;16.6789588928;13.0;4;25.4102387428;2;27.0;12.5;8;25.0;
28;3;15.7173042297;14.0;6;25.5838117599;2;27.0;12.5;8;25.0;
29;4;14.8063573837;15.0;5;25.7599987984;2;27.0;12.5;8;25.0;
30;4;14.8459997177;16.0;5;25.9382228851;2;27.0;12.5;8;25.0;
31;4;14.8860998154;17.0;6;26.1178760529;3;27.0;12.5;7;33.5;
32;4;14.9265222549;18.0;6;26.2983264923;3;28.0;12.5;7;33.8400001526;
33;4;14.9671230316;19.0;6;26.4789280891;3;29.0;12.5;8;34.1635437012;
34;4;15.0077590942;20.0;7;27.659029007;3;30.0;12.5;8;34.4692811966;
35;4;16.0482826233;21.0;7;27.9454807043;3;31.0;14.5;8;34.7562685013;
36;4;17.0885467529;22.0;7;28.2405142784;3;32.0;16.5;9;35.0239543915;
37;4;17.4041156769;23.0;7;28.5442498922;3;33.0;18.5;9;35.272151947;
38;4;17.4724559784;24.0;7;28.8568322659;3;34.0;20.5;9;35.5009994507;
39;4;17.5427875519;25.0;7;29.1784211397;3;35.0;22.5;10;35.7109146118;
40;4;17.6151447296;26.0;7;29.5091816187;3;36.0;22.5;10;35.9025421143;
41;4;16.408367157;28.0;7;29.8492661715;3;37.0;22.5;11;36.0767059326;
42;4;16.4489383698;30.0;6;30.1987974644;3;38.0;22.5;11;36.2343597412;
43;4;16.4927310944;32.0;7;30.5578434467;3;39.0;22.5;11;36.3765459061;
44;4;16.5398368835;34.0;7;30.9263913631;3;39.2388916016;22.5;11;36.5;
45;4;17.5903148651;33.0;8;31.3043193817;3;39.3499984741;22.5;12;36.5;
46;4;16.6441898346;34.7971305847;8;31.6913669109;5;40.3499984741;23.5;10;37.5;
47;4;16.7014389038;35.9164772034;8;32.0871069431;5;41.3499984741;24.5;10;37.5499999523;
48;4;17.7619895935;34.0304374695;9;32.4909193516;5;41.9799995422;25.5;10;37.6019749641;
49;4;17.825717926;33.0304374695;10;32.9019706249;5;41.3499984741;26.5;10;37.6559499502;
50;5;17.0;33.0304374695;9;49.3192005157;5;41.3499984741;27.5;11;37.7119446993;
51;5;17.9619007111;34.0304374695;10;50.3813157082;5;41.3499984741;27.5;11;38.9424729347;
52;5;19.0;35.0304374695;11;51.3659043312;6;42.1052474976;28.0;10;39.9374957085;
53;5;21.0;37.0304374695;11;52.2747583389;6;42.7127075195;28.3899993896;10;40.7328072786;
54;5;23.0;39.0304374695;13;53.111664772;6;43.1942329407;28.6872596741;10;41.2757889032;
55;5;26.0;38.0304374695;15;53.8815732002;6;43.4916915894;29.6378936768;11;41.5224741697;
56;5;26.9500007629;40.0304374695;15;54.5149755478;7;43.5999984741;29.7612380981;10;42.5906432867;
57;5;27.9500007629;40.0304374695;17;55.0972270966;7;44.5999984741;30.7953224182;10;42.7207803726;
58;5;28.6390132904;40.0304374695;18;55.4732499123;7;45.5999984741;31.8303909302;10;42.8558092117;
59;5;28.6500015259;40.0304374695;19;55.8063445091;7;45.5999984741;32.8664245605;11;42.9957493544;
60;5;28.6500015259;39.75;18;56.1310133934;7;45.5999984741;33.9033927917;11;43.1406028271;
61;5;28.6500015259;38.75;19;56.4453339577;7;45.5999984741;34.9412765503;11;44.2903525829;
62;5;28.6500015259;37.75;20;56.7476272583;7;46.5999984741;36.6451759338;11;44.4649614096;
63;5;28.6500015259;37.75;20;57.0364894867;7;45.5999984741;38.7224807739;11;44.6445665359;
64;5;28.6500015259;37.75;20;57.3108100891;7;46.5999984741;38.8021850586;11;44.8290803432;
65;5;28.6500015259;37.75;21;57.569776535;7;44.5999984741;40.8842506409;9;45.0183907747;
66;5;28.6500015259;37.75;22;57.8128671646;7;45.5999984741;40.9686203003;10;45.212361455;
67;5;28.6500015259;37.75;22;58.0398340225;7;46.5999984741;41.6061820984;11;45.4108295441;
68;5;28.6500015259;37.75;22;58.2506799698;7;44.5999984741;42.7054138184;13;45.6136066914;
69;5;28.6500015259;37.75;24;58.4456272125;7;45.5999984741;41.8068008423;14;45.8204777241;
70;5;28.6500015259;37.75;24;58.6250829697;7;46.5999984741;41.9102401733;15;46.0312011242;
71;5;28.6500015259;37.75;24;58.789607048;7;44.5999984741;43.0156021118;15;46.2455095053;
72;5;28.6500015259;37.75;25;58.9398756027;7;45.5999984741;42.1227531433;15;46.4631098509;
73;5;28.6500015259;37.75;26;59.0766506195;8;46.5999984741;42.231552124;10;61.6836848259;
74;5;28.6500015259;37.75;26;59.2007513046;8;45.5999984741;44.3418426514;10;62.9568930864;
75;5;28.6500015259;37.75;26;60.5992870331;8;45.5999984741;46.4534492493;10;64.1373491287;
76;5;27.763999939;36.75;26;61.7738714218;8;45.5999984741;49.9926605225;11;65.2141236067;
77;5;27.8581867218;38.345123291;27;62.7539739609;8;45.5999984741;52.1518249512;11;66.1831613779;
78;5;28.9353504181;40.5549659729;27;63.4082365036;8;45.5999984741;54.3120269775;11;67.0463300943;
79;5;29.3860778809;42.087638855;27;63.7227673531;8;45.5999984741;55.472984314;12;67.8099584579;
80;5;29.3999996185;43.1962051392;28;63.8762712479;8;45.5999984741;56.6343994141;15;68.4832507372;
81;5;30.3999996185;41.2000007629;28;64.0;9;45.5999984741;57.7959671021;14;69.0768367052;
82;5;29.3999996185;42.2000007629;28;64.0;9;44.7698860168;58.9573783875;15;69.6016302109;
83;5;27.3999996185;44.2000007629;29;64.0;9;43.8583450317;57.4697494507;11;69.9693137407;
84;5;26.3999996185;46.2000007629;29;64.0;9;42.8999977112;58.571231842;12;70.1966167688;
85;5;25.3999996185;48.2000007629;28;64.0;9;41.8999977112;59.6726150513;13;70.4219648838;
86;5;24.3999996185;50.2000007629;28;64.0;9;40.8999977112;60.7736740112;17;70.9076526165;
87;7;25.3999996185;50.2000007629;27;64.0;8;39.8999977112;62.0580978394;17;71.4099766016;
88;8;26.3999996185;51.2000007629;25;68.1880412102;7;37.0999984741;58.3553543091;17;67.6630512476;
89;9;25.3999996185;55.2000007629;25;68.2639269829;6;37.0999984741;59.6641387939;17;68.1183104515;
90;9;27.3999996185;56.0;25;68.3379516602;6;37.0999984741;60.9828186035;18;69.584980011;
91;9;28.3999996185;58.0;25;68.4100503922;6;38.0999984741;63.3094863892;19;70.0799684525;
92;9;29.3999996185;59.0;25;68.4801678658;6;39.0999984741;65.6419830322;19;70.5801006556;
93;9;28.3999996185;61.0;26;68.5482587814;6;39.0999984741;67.5779342651;19;71.0818169117;
94;9;28.3999996185;62.0;27;69.6142878532;6;39.0999984741;68.9148635864;20;71.581487298;
95;9;29.768573761;64.0;27;69.8382283449;7;39.0999984741;70.2502365112;19;72.075530529;
96;9;30.8069381714;66.0;28;70.0838075876;7;39.0999984741;70.5815429688;21;72.5605329275;
97;9;30.8440380096;68.0;29;70.3539094925;7;39.0999984741;71.6923751831;20;73.0333557129;
98;10;30.8798713684;70.0;27;70.6515651941;7;39.0999984741;69.6758880615;19;73.4912273884;
99;10;30.9144363403;72.0;29;70.9798848629;8;39.0999984741;69.938369751;17;73.931812048;
100;10;30.9477367401;74.0;29;71.3419568539;9;39.0999984741;70.1884307861;16;74.3532510996;
101;10;30.9797821045;76.0;29;71.7230784893;9;39.0999984741;70.4248199463;17;74.7541810274;
102;13;31.8169231415;75.0;27;84.1118502617;8;26.2999992371;65.6466445923;17;63.1337234974;
