Turn;Planet_count_KI_1_SP_EGASSEM;Research_KI_1_SP_EGASSEM;Industry_KI_1_SP_EGASSEM;Ships_KI_1_SP_EGASSEM;Population_KI_1_SP_EGASSEM;Planet_count_KI_6_SP_CHATO;Research_KI_6_SP_CHATO;Industry_KI_6_SP_CHATO;Ships_KI_6_SP_CHATO;Population_KI_6_SP_CHATO;
1;1;6.0;13.3000001907;4;17.0;1;13.0;10.0;4;20.0;
2;1;7.0;12.3000001907;4;17.0;1;13.0;10.0;4;20.0;
3;1;7.55000019073;11.3000001907;4;17.0;1;13.0;10.0;4;20.0;
4;1;7.55000019073;10.3000001907;4;17.0;1;14.0;10.0;4;20.0;
5;2;7.55000019073;9.69999980927;3;18.0;1;15.0;10.0;4;20.0;
6;2;8.7750005722;8.5;3;18.0225000381;1;16.0;10.0;4;20.3999996185;
7;2;9.05506229401;8.5;3;18.0452762842;1;17.0;10.1999998093;4;20.7264003754;
8;2;9.06018733978;8.5;2;18.0683217049;1;17.4358406067;10.3632001877;4;21.8194274902;
9;2;9.06537246704;8.5;2;18.4423123598;1;18.0916557312;10.9097137451;4;22.7316036224;
10;2;9.14952087402;8.67000007629;2;18.7648533583;1;19.0916557312;11.3658018112;4;23.4745616913;
11;2;9.2220916748;8.81392192841;2;19.0421307087;1;20.0916557312;11.7372808456;4;24.0673980713;
12;2;9.28448009491;8.93486309052;1;20.006701827;1;21.0916557312;12.0336990356;4;24.5325260162;
13;2;9.50150775909;9.39324569702;1;20.8474444151;1;22.0916557312;12.2662630081;4;24.892534256;
14;2;11.3063001633;9.78903102875;1;21.5679222345;1;23.0916557312;12.446267128;4;25.0;
15;2;13.3063001633;10.1240053177;1;22.1770182848;1;24.0916557312;12.5;4;25.0;
16;2;15.0206890106;10.9513301849;1;22.6868458986;1;25.0916557312;12.5;4;25.0;
17;2;16.3413105011;10.6309299469;2;23.1109120846;1;26.0916557312;12.5;4;25.0;
18;3;17.3535747528;10.8157100677;1;23.4627398252;1;27.0;12.5;5;25.0;
19;3;18.0206890106;10.9637317657;1;23.5923075676;1;27.0;12.5;5;25.0;
20;3;19.3082695007;11.0;1;23.6505492926;1;27.0;12.5;6;25.0;
21;3;19.3213748932;11.0;2;23.7099599838;1;27.0;12.5;6;25.0;
22;3;19.3347415924;11.0;2;23.770493269;1;27.0;12.5;6;25.0;
23;3;18.9500007629;11.8852462769;2;23.8320976496;1;27.0;12.5;6;25.0;
24;3;18.9500007629;11.9160490036;2;23.8947169781;1;27.0;12.5;6;25.0;
25;3;18.9500007629;11.9473581314;2;23.9582901001;1;27.0;12.5;6;25.0;
26;3;18.9500007629;11.97914505;3;24.0227513313;1;27.0;12.5;6;25.0;
27;4;19.4051208496;11.0;2;24.0880305767;1;27.0;12.5;6;25.0;
28;4;18.9500007629;12.0;3;24.1540534496;1;27.0;12.5;6;25.0;
29;4;17.4346618652;12.0;3;24.2207417488;1;27.0;12.5;6;25.0;
30;4;16.4496669769;13.0;3;24.2880136967;1;27.0;12.5;7;25.0;
31;4;15.4648036957;14.0;3;24.3557844162;1;27.0;12.5;7;25.0;
32;4;14.5300512314;15.0;3;24.4239659309;1;27.0;12.5;7;25.0;
33;4;14.5453920364;16.0;3;24.4924681187;1;27.0;12.5;7;25.0;
34;4;14.5608053207;17.0;3;24.5611987114;1;27.0;12.5;8;25.0;
35;4;14.5762691498;18.0;3;24.630064249;1;27.0;13.5;8;25.0;
36;4;14.5917644501;19.0;4;24.6989703178;1;27.0;14.5;7;25.0;
37;4;14.6072683334;20.0;4;24.7678217888;1;27.0;15.5;7;25.0;
38;4;14.622759819;21.0;4;24.8365240097;1;27.0;16.5;8;25.0;
39;4;14.638217926;22.0;4;24.9049828053;1;27.0;17.5;8;25.0;
40;4;14.6536216736;23.0;4;24.9731051922;1;27.0;17.5;8;25.0;
41;4;14.6689491272;24.0;3;25.0407996178;1;27.0;17.5;7;25.0;
42;4;14.684179306;25.0;4;26.1079769135;1;27.0;17.5;7;25.0;
43;4;15.6992950439;26.0;4;26.2820504904;2;27.0;17.5;6;25.0;
44;4;16.7142734528;27.0;4;26.4658024311;2;27.0;17.5;6;25.0;
45;4;17.0048065186;28.0;5;26.659886241;2;27.0;17.5;6;25.0;
46;4;17.0484733582;29.0;5;26.8649528027;2;27.0;17.5;7;25.0;
47;4;17.0946140289;30.0;6;27.0816344023;3;28.0;18.5;6;26.0;
48;4;18.1433677673;28.0;6;27.3105276823;3;29.0;19.5;6;26.0650000572;
49;5;17.1948680878;29.0;6;27.5521725416;3;29.0;20.5;6;26.1335327625;
50;5;17.2492389679;30.0;6;27.8070287704;3;29.6801185608;21.5;6;26.2056987286;
51;5;18.3065814972;28.0;6;28.0754499435;3;29.0;22.5;6;26.2815890312;
52;5;18.8271408081;29.0;6;28.357656002;4;30.0;23.5;5;28.3612835407;
53;5;19.0;30.0;6;28.6537044048;4;33.0;25.5;6;28.7048488855;
54;5;20.0;31.0;7;28.9634621143;4;35.0;27.5;6;29.1029987335;
55;5;21.6514396667;32.0;7;29.2865793705;4;36.4507522583;29.5;6;29.5652325153;
56;5;21.7119903564;33.0;7;29.6224665642;4;37.4640007019;31.5;7;30.1021116972;
57;5;20.9500007629;34.0;7;30.970277071;5;38.4774932861;32.5;6;31.8040364981;
58;5;21.9500007629;36.0;8;31.4038984776;5;39.296005249;33.0;6;33.4136222601;
59;5;22.9500007629;38.0;8;31.8517692089;5;39.9390182495;33.3899993896;7;34.9837332964;
60;5;23.9500007629;36.6920471191;8;32.3124395609;6;40.4341392517;33.6872596741;7;36.5669945478;
61;5;24.0577754974;35.7344207764;9;32.7842130661;6;40.8101158142;33.9097442627;7;38.0609608889;
62;5;24.133398056;35.7755241394;9;33.2651777267;6;40.9750213623;34.0;8;39.5544924736;
63;5;24.2102050781;35.8153533936;10;33.7211177349;6;40.9959945679;34.0;9;41.221818924;
64;5;22.9500007629;37.5033836365;11;34.1726368666;6;41.0174369812;34.0;9;43.0421535969;
65;8;22.9500007629;38.6204376221;6;34.6281644106;6;41.0393371582;34.0;9;44.9784306288;
66;8;22.9500007629;39.7437438965;7;35.0854026079;6;41.0616874695;34.0;9;47.9782884121;
67;8;22.9500007629;40.8733673096;5;35.5421040058;6;42.0844688416;36.0;9;50.1536035538;
68;8;22.9500007629;42.0093345642;6;35.9961299896;6;43.1076698303;39.0;10;53.2918298244;
69;8;22.9500007629;43.1516265869;6;36.4454982281;7;44.1312675476;43.0;9;55.3970688581;
70;8;22.9500007629;44.3001823425;7;36.8884232044;7;45.1552505493;47.0;9;57.3711577654;
71;8;23.9500007629;42.454875946;8;38.3233439922;7;45.1795921326;51.0;10;59.1924362183;
72;8;25.8707103729;42.6155395508;8;38.7789409161;7;45.2042694092;55.0;11;60.8587424755;
73;8;26.932434082;42.7819442749;8;39.2247290611;7;46.2292633057;56.0;11;62.3837276697;
74;8;26.9906997681;42.9537963867;8;39.6598615646;7;47.2545471191;56.921043396;12;63.7911983728;
75;8;27.0453948975;43.1307525635;8;41.0837099552;8;48.280090332;56.9913101196;10;65.1093494892;
76;8;27.0016441345;44.3123931885;7;42.5358422995;8;49.3058700562;57.0613555908;10;66.3660668135;
77;8;29.0453948975;43.3123931885;8;43.0171791315;8;50.3318557739;57.1309738159;12;67.4565422535;
78;8;31.2886619568;45.3123931885;8;43.5761897564;10;51.3580169678;58.1999740601;10;68.4307790995;
79;8;31.7385292053;46.8250007629;9;44.9709558487;10;52.3843231201;59.187538147;10;69.4581512213;
