Turn;Planet_count_KI_1_SP_EGASSEM;Research_KI_1_SP_EGASSEM;Industry_KI_1_SP_EGASSEM;Ships_KI_1_SP_EGASSEM;Population_KI_1_SP_EGASSEM;Planet_count_KI_6_SP_CHATO;Research_KI_6_SP_CHATO;Industry_KI_6_SP_CHATO;Ships_KI_6_SP_CHATO;Population_KI_6_SP_CHATO;
1;1;6.0;13.3000001907;4;17.0;1;13.0;10.0;4;20.0;
2;1;7.0;12.3000001907;4;17.0;1;13.0;10.0;5;20.0;
3;1;7.55000019073;11.3000001907;4;17.0;1;13.0;10.0;5;20.0;
4;1;7.55000019073;10.3000001907;4;17.0;1;14.0;10.0;5;20.0;
5;1;7.55000019073;9.30000019073;4;17.0;2;15.6000003815;10.0;4;21.0;
6;1;8.55000019073;8.5;4;17.0;2;16.6000003815;10.0;4;21.5299996138;
7;1;8.82499980927;8.5;4;17.0;2;17.6779994965;10.1999998093;4;22.0018314123;
8;1;8.82499980927;8.5;4;17.0;2;18.2010993958;10.3632001877;4;23.2826602459;
9;1;8.82499980927;8.5;4;17.3400001526;2;18.9695949554;10.9097137451;4;24.4075430632;
10;1;8.9015007019;8.67000007629;4;17.6278438568;2;20.9695949554;11.3658018112;4;25.3905637264;
11;1;8.96626472473;8.81392192841;4;17.869726181;2;22.9695949554;11.7372808456;4;26.2532498837;
12;1;9.02068901062;8.93486309052;4;18.786491394;2;24.4031677246;12.0336990356;5;27.0203347206;
13;1;9.22696018219;9.39324569702;3;19.5780620575;2;25.5843410492;12.2662630081;5;27.7165005207;
14;1;11.0206890106;9.78903102875;3;20.2480106354;2;26.7860355377;12.446267128;5;28.1960530281;
15;1;12.0206890106;10.1240053177;3;20.8052330017;2;28.0092868805;12.5;5;28.605273962;
16;1;13.0206890106;10.4026165009;3;21.2618598938;2;29.25481987;12.5;5;29.0521378517;
17;1;14.0206890106;10.6309299469;3;21.6314201355;2;30.5229377747;12.5;5;29.5362815857;
18;1;15.0206890106;10.8157100677;3;21.9274635315;2;31.7217693329;12.5;5;30.0563082695;
19;1;16.0206890106;10.9637317657;4;22.0;2;32.033782959;12.5;6;30.6096549034;
20;1;16.9500007629;11.0;5;22.0;2;32.3657913208;12.5;6;31.1925172806;
21;2;16.9500007629;11.0;4;22.0;2;32.715511322;12.5;6;31.799847126;
22;2;16.9500007629;11.0;5;22.0;2;33.0799102783;12.5;6;32.4254436493;
23;2;16.9500007629;11.0;5;22.0;3;33.4552650452;12.5;5;33.0621423721;
24;2;16.9500007629;11.0;5;22.0;3;33.8372840881;12.5;5;33.7021036148;
25;2;16.9500007629;11.0;5;22.0;3;34.2212600708;12.5;5;34.3371744156;
26;3;16.9500007629;11.0;5;28.5545091629;3;34.6023025513;12.5;6;34.9592943192;
27;3;17.9500007629;11.0;5;29.0425243378;4;34.9755783081;12.5;5;35.5609064102;
28;3;18.9500007629;11.0;5;29.5325064659;4;35.3365440369;12.5;5;36.1353235245;
29;3;19.9500007629;11.0;5;30.0196704865;4;35.6811943054;12.5;5;36.6770210266;
30;3;20.7544269562;11.0;5;30.4992733002;4;33.6811943054;13.5;5;37.1818161011;
31;3;20.8623371124;11.0;5;30.9667949677;4;34.6811943054;15.5;5;37.6469402313;
32;3;18.9675292969;12.0;5;31.4181118011;4;35.6811943054;17.5;5;38.0710000992;
33;3;18.0690765381;13.0;5;31.8496389389;4;36.6811943054;19.5;5;39.4538497925;
34;3;17.1661701202;14.0;5;32.2584342957;4;38.0723114014;22.5;5;39.8364048004;
35;3;16.3081474304;15.0;6;32.6422605515;4;39.2778434753;24.5;5;40.1816058159;
36;3;16.3945083618;16.0;6;32.9995994568;4;39.4602508545;25.5;5;40.4918243885;
37;3;16.4749107361;17.0;5;33.3296318054;4;39.6209640503;26.5;5;41.7698296309;
38;3;16.5491676331;18.0;5;33.6321744919;4;40.7616348267;28.5;5;42.1486041546;
39;3;16.6172389984;19.0;5;33.9076042175;4;41.8840560913;30.3482894897;5;42.516621232;
40;3;16.6792106628;20.0;5;34.1567583084;4;42.7553253174;31.3804244995;5;42.7425401211;
41;3;16.7352714539;21.0;6;34.3808364868;4;42.8626327515;32.4133720398;5;42.9713664055;
42;4;16.7856884003;22.0;5;34.5813026428;4;42.9710006714;33.4471206665;6;43.2210879326;
43;4;16.8307933807;23.0;6;34.7597932816;4;43.0912246704;33.4816627502;6;43.4930826426;
44;4;16.8709526062;24.0;6;34.9180412292;4;43.2241516113;33.5169792175;7;43.788626194;
45;4;16.9065589905;25.0;6;35.0;5;43.3705596924;33.5530548096;6;44.1088316441;
46;4;16.9249992371;26.0;7;35.0;5;43.5311279297;33.5898666382;7;45.8367575407;
47;4;16.9249992371;27.0;7;35.0;5;44.517036438;34.1491851807;7;47.3442218304;
48;4;16.9249992371;28.0;9;35.0;5;45.3687362671;34.6007614136;7;48.6706396341;
49;4;16.9249992371;29.0;10;35.0;5;46.1098899841;34.9618339539;8;49.8561605215;
50;4;16.9249992371;30.0;9;35.0;6;46.7646217346;35.250328064;7;50.6494231224;
51;5;17.9249992371;28.0;8;35.0;6;47.1821517944;35.4087524414;7;51.2766933441;
52;5;18.9249992371;28.0;8;35.0;6;47.4982833862;35.4790153503;8;52.9395127296;
53;5;19.9249992371;28.0;9;35.0;6;48.834022522;36.5512962341;8;53.6936993599;
54;5;20.9249992371;28.0;10;35.0;6;50.1869277954;37.6255111694;8;54.4767813683;
55;5;21.875;28.0;10;35.0;6;50.553817749;38.70154953;9;55.2822474241;
56;5;21.875;28.0;9;35.0;6;50.9308624268;39.779296875;10;56.102645874;
57;5;21.875;27.0;9;35.0;6;51.3136520386;40.8586196899;10;57.9298859835;
58;5;21.875;26.0;10;35.0;6;52.6974411011;42.6045188904;11;58.8156143427;
59;5;21.875;25.0;10;35.0;7;54.0773162842;43.7242584229;10;59.6945888996;
60;5;21.875;24.0;11;35.0;7;54.4484863281;44.846698761;10;60.5592243671;
61;5;21.875;23.0;11;35.0;7;54.8065032959;45.9716796875;11;61.4028344154;
62;6;21.875;22.0;10;35.0;7;55.1474914551;47.0990066528;11;62.2199044228;
63;6;21.875;21.0;11;35.0;8;56.4682769775;52.6368255615;10;64.0062501431;
64;6;21.875;21.0;11;35.0;8;57.7665252686;55.6745376587;11;64.8290644884;
65;6;21.875;21.0;11;35.0;8;58.6827468872;58.7138557434;12;65.6210141182;
66;6;21.875;21.0;11;35.0;8;58.2902450562;61.7547912598;11;66.3819334507;
