Turn;Planet_count_KI_1_SP_ETTY;Research_KI_1_SP_ETTY;Industry_KI_1_SP_ETTY;Ships_KI_1_SP_ETTY;Population_KI_1_SP_ETTY;Planet_count_KI_6_SP_HUMAN;Research_KI_6_SP_HUMAN;Industry_KI_6_SP_HUMAN;Ships_KI_6_SP_HUMAN;Population_KI_6_SP_HUMAN;
85;8;31.5925979614;61.0;11;83.8538267612;3;18.0641403198;33.5;12;41.7439565659;
86;8;32.7981185913;61.0;12;85.232776165;3;17.0641403198;32.5;13;41.9165868759;
87;8;32.0434341431;64.0;13;86.7861347198;4;17.0641403198;32.5;11;42.0;
88;8;32.0325622559;67.0;11;88.5174684525;4;16.0641403198;31.5;11;42.0;
89;8;31.3999996185;67.0;11;90.4219317436;4;17.0641403198;32.5;11;42.0;
90;8;31.3999996185;70.0;11;92.483546257;4;18.0641403198;33.5;12;42.0;
91;8;32.4000015259;73.0;10;94.6731147766;4;18.2000007629;34.5;12;42.0;
92;8;31.3999996185;74.0;11;96.9476661682;4;18.2000007629;35.5;12;42.0;
93;8;31.3999996185;76.0;11;99.2522687912;4;18.2000007629;36.5;13;42.0;
94;8;32.4000015259;79.0;12;101.524624825;5;18.2000007629;37.5;12;42.0;
95;8;34.4000015259;79.0;12;103.701960564;5;17.2000007629;36.5;11;43.0;
96;8;34.4000015259;82.0;10;105.728742599;5;18.2000007629;37.5;10;43.0599999428;
97;8;34.4000015259;83.0;11;107.563201904;5;17.2000007629;40.5;10;43.1229639053;
98;8;34.4000015259;84.0;12;109.180965424;5;17.2000007629;40.5;10;43.1889609098;
99;8;34.8268127441;85.0;13;110.575135231;5;16.0;43.5;11;43.2580518723;
100;8;36.1209869385;88.0;13;111.753436089;5;16.0;46.5;11;44.3302885294;
101;8;37.3627204895;83.0;14;112.733785629;5;18.0;46.5;8;44.6057120562;
102;8;33.5570449829;87.0;12;113.539691925;5;18.0;49.5;7;44.9219516516;
103;8;32.71043396;91.0;11;114.1964674;5;18.0;49.5;9;45.2850522995;
104;8;34.8297309875;86.0;11;114.657155037;5;19.0;47.5;9;45.7015676498;
105;8;32.9000015259;87.0;12;114.853978157;5;18.0;48.5;8;46.1784073114;
106;8;33.9000015259;89.0;13;115.0;5;18.0;50.5;8;46.722582221;
107;8;34.9000015259;91.0;14;115.0;5;19.0;49.5;8;47.3408269882;
108;8;37.9000015259;95.0;14;115.0;5;18.0;51.5;7;48.0390760899;
109;8;40.4000015259;99.0;15;115.0;5;18.0;53.5;8;48.8217947483;
110;8;42.9000015259;97.0;15;115.0;5;19.0;49.5;6;49.6911845207;
111;8;41.0;99.0;16;115.0;5;18.0;51.5;8;50.6463241577;
112;8;42.0;102.0;18;115.0;5;18.0;50.5;7;51.6823549271;
113;8;43.0;100.0;17;115.0;5;19.0;47.5;7;52.7898631096;
114;8;42.0;101.0;16;115.0;5;18.0;47.5;7;53.9546415806;
115;8;41.0;105.0;17;115.0;5;18.0;47.5;7;55.1579978466;
