Turn;Planet_count_KI_1_SP_SCYLIOR;Research_KI_1_SP_SCYLIOR;Industry_KI_1_SP_SCYLIOR;Ships_KI_1_SP_SCYLIOR;Population_KI_1_SP_SCYLIOR;Planet_count_KI_6_SP_CHATO;Research_KI_6_SP_CHATO;Industry_KI_6_SP_CHATO;Ships_KI_6_SP_CHATO;Population_KI_6_SP_CHATO;
1;1;11.8999996185;8.625;4;17.25;1;13.0;10.0;4;20.0;
2;1;11.8999996185;8.625;5;17.25;1;13.0;10.0;4;20.0;
3;1;11.8999996185;8.625;5;17.25;1;13.0;10.0;4;20.0;
4;1;11.8999996185;8.625;6;17.25;1;14.0;10.0;4;20.0;
5;1;12.8999996185;8.625;6;17.25;1;15.0;10.0;3;20.0;
6;1;13.8999996185;8.625;6;17.25;1;16.0;10.0;3;20.3999996185;
7;1;14.8999996185;8.625;6;17.5949993134;1;17.0;10.1999998093;3;20.7264003754;
8;1;15.5569992065;8.79749965668;6;17.8861961365;1;17.4358406067;10.3632001877;3;21.8194274902;
9;1;15.7317180634;8.94309806824;6;18.6667137146;2;18.6916561127;10.9097137451;2;23.7316036224;
10;1;16.2000274658;9.3333568573;5;19.3355960846;2;20.6916561127;11.3658018112;2;24.6445616484;
11;1;17.2000274658;9.6677980423;5;19.8991127014;2;22.6916561127;11.7372808456;2;25.4343090057;
12;1;18.2000274658;9.94955635071;5;20.3669185638;2;23.9118022919;12.0336990356;2;26.126796484;
13;1;19.2000274658;10.1834592819;5;20.7504444122;2;25.0482177734;12.2662630081;2;26.7483564615;
14;1;19.4502677917;10.3752222061;5;21.0616092682;2;26.2051486969;12.446267128;2;27.1554293633;
15;1;19.6369667053;10.5308046341;5;21.25;2;27.3849143982;12.5;3;27.4969480038;
16;1;19.75;10.625;5;21.25;3;28.5898246765;12.5;2;27.8840510845;
17;1;19.75;10.625;5;21.25;3;29.8220863342;12.5;2;28.3200027943;
18;1;19.75;10.625;5;21.25;3;30.9920005798;12.5;2;28.8073790073;
