Turn;Planet_count_KI_1_SP_SCYLIOR;Research_KI_1_SP_SCYLIOR;Industry_KI_1_SP_SCYLIOR;Ships_KI_1_SP_SCYLIOR;Population_KI_1_SP_SCYLIOR;Planet_count_KI_6_SP_CHATO;Research_KI_6_SP_CHATO;Industry_KI_6_SP_CHATO;Ships_KI_6_SP_CHATO;Population_KI_6_SP_CHATO;
1;1;11.8999996185;8.625;4;17.25;1;13.0;10.0;4;20.0;
2;1;11.8999996185;8.625;5;17.25;1;13.0;10.0;5;20.0;
3;2;12.2999992371;8.625;4;18.25;1;13.0;10.0;5;20.0;
4;2;12.2999992371;8.625;4;18.3250000477;1;14.0;10.0;5;20.0;
5;2;13.5450000763;8.625;4;18.4048187733;2;15.6000003815;10.0;4;21.0;
6;2;14.5928907394;8.625;4;18.8461898565;2;16.6000003815;10.0;4;21.469999671;
7;2;15.6507139206;8.79749965668;4;19.2405949831;2;17.6420001984;10.1999998093;4;21.8705514669;
8;2;16.5443572998;8.94309806824;4;20.1585245132;2;18.1223316193;10.3632001877;4;23.0649029016;
9;2;17.0951137543;9.3333568573;4;20.9767100811;2;18.8389415741;10.9097137451;4;24.0861145258;
10;2;17.586025238;9.6677980423;4;21.7020223141;2;20.8389415741;11.3658018112;4;24.9461766481;
11;2;19.586025238;9.94955635071;4;22.3446578979;2;22.8389415741;11.7372808456;4;25.6645179987;
12;2;21.586025238;10.1834592819;4;22.9165091515;2;24.0499267578;12.0336990356;5;26.2638499737;
13;2;22.7499065399;10.3752222061;3;23.4298532009;2;24.0916557312;12.6125278473;5;26.7670158148;
14;2;24.0223026276;10.5308046341;4;23.8345062733;2;25.0916557312;12.8211631775;5;27.0267930031;
15;2;25.1520595551;10.625;4;24.0649278164;2;27.0916557312;12.5;5;27.1883933544;
16;2;26.2903137207;10.625;4;24.3094062805;2;28.4046916962;12.5;5;27.3593420982;
17;2;27.4370002747;10.625;4;24.5676383972;2;29.5072612762;12.5;4;27.5396113396;
18;2;28.5919399261;10.625;4;24.8390996456;2;30.5237674713;12.5;5;27.7290761471;
19;2;28.903459549;10.625;4;25.1230297089;2;30.6374454498;12.5;5;27.9275052547;
20;2;29.0738182068;10.625;4;25.4184246063;2;30.7565040588;12.5;5;28.1345529556;
21;2;29.2510547638;10.625;5;25.7240357399;2;30.8807315826;12.5;5;28.3497540951;
22;2;29.4344215393;10.625;5;26.0383796692;2;31.009853363;12.5;5;28.5725209713;
