Turn;Planet_count_KI_1_SP_SCYLIOR;Research_KI_1_SP_SCYLIOR;Industry_KI_1_SP_SCYLIOR;Ships_KI_1_SP_SCYLIOR;Population_KI_1_SP_SCYLIOR;Planet_count_KI_6_SP_CHATO;Research_KI_6_SP_CHATO;Industry_KI_6_SP_CHATO;Ships_KI_6_SP_CHATO;Population_KI_6_SP_CHATO;
79;6;34.4000015259;44.0;7;76.0658488274;5;21.7999992371;50.0;20;68.0;
80;6;37.4000015259;46.0;8;78.3034785986;5;20.7999992371;52.0;22;68.0;
81;6;37.4000015259;46.0;9;80.2874828577;5;20.7999992371;51.0;22;68.0;
82;6;37.4000015259;47.0;10;81.9964056015;5;18.7999992371;53.0;23;68.0;
83;7;38.4000015259;50.0;10;83.435539484;5;17.7999992371;55.0;23;68.0;
84;7;37.4000015259;51.0;13;84.6296446323;5;17.7999992371;54.0;23;68.0;
85;7;38.4000015259;54.0;12;86.6141021252;5;15.7999992371;56.0;25;69.0;
86;7;40.4000015259;58.0;13;87.3640897274;5;15.7999992371;59.0;25;69.1200000048;
87;8;39.4000015259;60.0;14;91.2611438036;5;17.0;59.0;26;69.2530560493;
88;8;37.4000015259;65.0;14;94.4788740873;5;16.0;62.0;26;69.4002518654;
89;9;38.4000015259;67.8593902588;16;97.1113091707;5;16.0;65.0;26;69.5626775026;
90;9;39.4000015259;71.1527404785;15;99.2647621632;5;17.0;65.0;28;69.7414059639;
91;9;40.4000015259;74.375617981;14;100.843200922;5;16.0;67.0;29;69.9374637604;
92;9;42.4000015259;75.5;15;101.795195818;7;16.0;69.0;26;70.1517963409;
93;10;42.4000015259;79.5;10;102.503694296;6;17.0;68.0;26;70.3852276802;
94;11;43.2000007629;83.5;9;103.000162363;5;16.0;70.0;26;70.6384141445;
95;12;43.2000007629;87.5;8;104.511441708;4;17.0;69.0;26;70.9117956161;
96;12;44.2000007629;92.5;9;105.243551016;4;17.0;68.0;27;71.2055435181;
97;12;45.2000007629;97.5;7;106.023635626;4;16.0;70.0;24;71.5195090771;
98;12;46.0769348145;102.5;8;106.854058385;4;16.0;72.0;23;71.8531758785;
99;12;48.2570457458;101.5;10;108.737746596;4;16.0;74.0;23;72.2056193352;
100;12;46.2000007629;107.5;11;109.818197966;4;16.0;76.0;24;72.5754776001;
