Turn;Planet_count_KI_1_SP_SCYLIOR;Research_KI_1_SP_SCYLIOR;Industry_KI_1_SP_SCYLIOR;Ships_KI_1_SP_SCYLIOR;Population_KI_1_SP_SCYLIOR;Planet_count_KI_6_SP_CHATO;Research_KI_6_SP_CHATO;Industry_KI_6_SP_CHATO;Ships_KI_6_SP_CHATO;Population_KI_6_SP_CHATO;
1;1;11.8999996185;8.625;4;17.25;1;13.0;10.0;4;20.0;
2;1;11.8999996185;8.625;5;17.25;2;13.3999996185;10.0;4;21.0;
3;1;11.8999996185;8.625;5;17.25;2;13.3999996185;10.0;4;21.0900000334;
4;1;11.8999996185;8.625;5;17.25;2;14.6540002823;10.0;4;21.1871190071;
5;1;12.8999996185;8.625;5;17.25;2;15.7122716904;10.0;4;21.2917383909;
6;1;13.8999996185;8.625;5;17.25;2;16.7750434875;10.0;4;21.817143321;
7;1;14.8999996185;8.625;5;17.5949993134;2;17.8502864838;10.1999998093;4;22.2793469429;
8;1;15.5569992065;8.79749965668;5;17.8861961365;2;18.367609024;10.3632001877;4;23.5656701326;
9;1;15.7317180634;8.94309806824;5;18.6667137146;2;19.1394004822;10.9097137451;4;24.691826582;
10;1;16.2000274658;9.3333568573;5;19.3355960846;2;21.1394004822;11.3658018112;4;25.6707911491;
11;1;17.2000274658;9.6677980423;5;19.8991127014;2;23.1394004822;11.7372808456;3;26.5228655338;
12;1;18.2000274658;9.94955635071;5;20.3669185638;2;24.5649356842;12.0336990356;4;27.2714657784;
13;1;19.2000274658;10.1834592819;5;20.7504444122;2;25.7350196838;12.2662630081;4;27.9399077892;
14;1;20.2000274658;10.3752222061;5;21.0616092682;2;26.9200801849;12.446267128;4;28.3811409473;
15;1;21.2000274658;10.5308046341;6;21.25;2;28.1203403473;12.5;4;28.7401795387;
16;1;22.2000274658;10.625;6;21.25;2;29.3357639313;12.5;4;29.1239151955;
17;1;23.2000274658;10.625;6;21.25;2;30.5660057068;12.5;4;29.5311965942;
18;1;24.2000274658;10.625;6;21.25;2;31.7187175751;12.5;4;29.960246563;
19;1;24.75;10.625;6;21.25;2;31.976146698;12.5;5;30.4086403847;
20;1;24.75;10.625;6;21.25;2;32.2451858521;12.5;5;30.873316288;
21;1;24.75;10.625;6;21.25;2;32.5239906311;12.5;5;31.3506221771;
22;1;24.75;10.625;6;21.25;2;32.8103713989;12.5;5;31.8364052773;
23;1;24.75;10.625;7;21.25;2;33.1018447876;12.5;5;32.3261375427;
24;1;24.75;10.625;7;21.25;2;33.3956832886;12.5;5;32.815073967;
25;1;24.75;10.625;8;21.25;2;33.6890449524;12.5;5;33.2984304428;
26;1;24.75;10.625;8;21.25;2;33.979057312;12.5;6;33.7715711594;
27;1;24.75;10.625;8;21.25;3;34.2629432678;12.5;6;34.2301864624;
28;1;24.75;10.625;8;21.25;3;34.5381126404;12.5;6;34.6704492569;
29;1;24.75;10.625;8;21.25;3;34.8022689819;12.5;7;35.0891361237;
30;1;24.75;10.625;8;21.25;3;35.0534820557;12.5;7;35.4837083817;
31;1;24.75;10.625;8;21.25;3;35.2902259827;14.5;7;35.8523464203;
32;1;24.75;10.625;9;21.25;3;35.5114059448;16.5;7;36.1939411163;
33;1;24.75;10.625;10;21.25;3;35.7163619995;18.5;7;36.5080499649;
34;1;24.75;10.625;10;21.25;3;35.9048309326;20.5;7;36.7948246002;
35;1;24.75;10.625;10;21.25;3;36.0768966675;22.5;8;37.0549211502;
36;1;24.75;10.625;10;21.25;3;36.2329521179;22.5;8;37.289399147;
37;1;24.75;10.625;10;21.25;3;36.3736419678;22.5;9;37.4996213913;
38;1;24.75;11.625;10;21.25;3;36.4997711182;22.5;9;37.687163353;
39;1;24.75;12.625;12;21.25;3;36.6122970581;22.5;10;37.8537254333;
40;1;24.75;13.625;12;21.25;3;36.7122344971;22.5;8;38.0;
41;1;24.75;14.625;12;21.25;3;36.7999992371;22.5;8;38.0;
42;1;24.75;15.625;13;21.25;3;36.7999992371;22.5;8;38.0;
43;1;24.75;15.625;13;21.25;3;36.7999992371;22.5;8;38.0;
44;1;24.75;15.625;14;21.25;3;36.7999992371;22.5;8;38.0;
45;1;24.75;15.625;14;21.25;4;36.7999992371;22.5;6;53.0;
46;3;24.75;15.625;11;41.25;4;37.7999992371;23.5;6;53.75;
47;3;25.75;16.625;11;42.4500007629;4;38.7999992371;24.5;6;54.4193744659;
48;3;26.75;17.625;12;43.4675998688;4;38.7999992371;25.5;7;56.7256784439;
49;3;27.75;18.625;12;44.3079586029;4;39.6339988708;27.0;7;58.6637496948;
50;4;28.75;19.625;8;59.986333847;5;40.3116874695;28.3899993896;7;60.268445015;
51;4;30.75;21.625;8;61.273645401;5;40.8547477722;29.6872596741;7;61.5821180344;
52;4;32.75;22.625;8;62.3620681763;5;41.2861099243;30.9097423553;7;62.5005998611;
53;5;33.75;23.625;7;85.0072898865;5;41.5384597778;32.0;8;63.1211147308;
54;5;33.375;26.625;7;87.6037693024;6;42.6639328003;34.0;8;64.6385192871;
55;5;36.375;28.625;7;88.9723424911;6;43.7726745605;36.0;8;65.0962511301;
56;5;39.375;31.625;8;90.0977263451;6;43.7999992371;38.0;8;65.2980040312;
57;6;40.375;34.625;7;91.0109379292;6;42.5788002014;41.0;10;65.4758565426;
58;6;41.375;37.625;7;91.745325923;6;41.6855125427;44.0;11;65.6754535437;
59;6;42.375;39.625;8;92.211841464;6;40.8052711487;46.0;11;65.8987001181;
60;6;43.375;41.2309188843;8;95.2282338142;6;38.7999992371;48.9493484497;12;66.1474545002;
61;6;45.078125;42.6644287109;7;97.648026824;7;37.7999992371;51.9493484497;11;66.4234571457;
62;7;46.6442680359;44.0266151428;6;99.4641052485;7;36.7999992371;54.9493484497;11;66.7282443047;
63;7;48.091545105;44.6102333069;8;100.721381664;7;35.7999992371;57.9493484497;11;67.0630478859;
