Turn;Planet_count_KI_1_SP_SCYLIOR;Research_KI_1_SP_SCYLIOR;Industry_KI_1_SP_SCYLIOR;Ships_KI_1_SP_SCYLIOR;Population_KI_1_SP_SCYLIOR;Planet_count_KI_6_SP_CHATO;Research_KI_6_SP_CHATO;Industry_KI_6_SP_CHATO;Ships_KI_6_SP_CHATO;Population_KI_6_SP_CHATO;
1;1;11.8999996185;8.625;4;17.25;1;13.0;10.0;4;20.0;
2;1;11.8999996185;8.625;5;17.25;1;13.0;10.0;5;20.0;
3;1;11.8999996185;8.625;5;17.25;1;13.0;10.0;5;20.0;
4;1;11.8999996185;8.625;5;17.25;1;14.0;10.0;4;20.0;
5;1;12.8999996185;8.625;5;17.25;1;15.0;10.0;4;20.0;
6;1;13.8999996185;8.625;5;17.25;1;16.0;10.0;4;20.3999996185;
7;2;15.5;8.625;4;18.5949993134;1;17.0;10.1999998093;3;20.7264003754;
8;2;16.156999588;8.79749965668;4;18.9711961746;1;17.4358406067;10.3632001877;3;21.8194274902;
9;2;16.3827171326;8.94309806824;4;19.8647165298;1;18.0916557312;10.9097137451;3;22.7316036224;
10;2;16.9188289642;9.3333568573;4;20.6570171118;1;19.0916557312;11.3658018112;3;23.4745616913;
11;2;18.9188289642;9.6677980423;4;21.3550356627;1;20.0916557312;11.7372808456;3;24.0673980713;
12;2;20.9188289642;9.94955635071;4;21.9690755606;2;22.0916557312;12.0336990356;3;25.5325260162;
13;2;22.16132164;10.1834592819;4;22.5111804008;2;24.0916557312;12.2662630081;3;25.9425342083;
14;2;23.2564697266;10.3752222061;4;22.993827939;2;25.7216567993;12.446267128;3;26.1019749641;
15;2;24.3593597412;10.5308046341;5;23.3670890331;2;26.7528400421;12.5;3;26.1559499502;
16;2;25.470281601;10.625;5;23.5657336712;2;27.7852249146;12.5;2;26.2119446993;
17;2;26.5894680023;10.625;5;23.778416872;2;28.8188228607;12.5;2;26.269973278;
18;2;27.7170772552;10.625;5;24.0052559376;2;29.7619838715;12.5;2;26.3300433159;
19;2;28.4031524658;10.625;5;24.2461960316;2;29.7980270386;12.5;3;26.3921557665;
20;2;28.5477180481;10.625;5;24.5009865761;2;29.8352928162;12.5;4;26.4563041925;
21;2;28.700592041;10.625;5;24.7691609859;2;29.8737831116;12.5;4;26.5224741697;
22;2;28.8614959717;10.625;6;25.0500195026;2;29.9134845734;12.5;4;26.5906432867;
23;2;29.0300121307;10.625;6;25.3426203728;2;29.9543857574;12.5;4;26.6607804298;
