Turn;Planet_count_KI_1_SP_SCYLIOR;Research_KI_1_SP_SCYLIOR;Industry_KI_1_SP_SCYLIOR;Ships_KI_1_SP_SCYLIOR;Population_KI_1_SP_SCYLIOR;Planet_count_KI_6_SP_CHATO;Research_KI_6_SP_CHATO;Industry_KI_6_SP_CHATO;Ships_KI_6_SP_CHATO;Population_KI_6_SP_CHATO;
1;1;11.8999996185;8.625;4;17.25;1;13.0;10.0;4;20.0;
2;1;11.8999996185;8.625;5;17.25;1;13.0;10.0;5;20.0;
3;1;11.8999996185;8.625;4;17.25;1;13.0;10.0;5;20.0;
4;1;11.8999996185;8.625;5;17.25;1;14.0;10.0;5;20.0;
5;1;12.8999996185;8.625;5;17.25;1;15.0;10.0;5;20.0;
6;1;13.8999996185;8.625;4;17.25;1;16.0;10.0;5;20.3999996185;
7;1;14.8999996185;8.625;4;17.5949993134;1;17.0;10.1999998093;5;20.7264003754;
8;1;15.5569992065;8.79749965668;4;17.8861961365;2;18.0358409882;10.3632001877;4;22.8194274902;
9;1;15.7317180634;8.94309806824;4;18.6667137146;2;18.6916561127;10.9097137451;4;23.7916035652;
10;1;16.2000274658;9.3333568573;4;19.3355960846;2;20.6916561127;11.3658018112;4;24.5975255966;
11;1;17.2000274658;9.6677980423;4;19.8991127014;2;22.6916561127;11.7372808456;4;25.2563589811;
12;1;18.2000274658;9.94955635071;4;20.3669185638;2;23.8050327301;12.0336990356;5;25.7905778885;
13;1;19.2000274658;10.1834592819;4;20.7504444122;2;24.8464870453;12.2662630081;5;26.2228227854;
14;1;19.4502677917;10.3752222061;4;21.0616092682;2;25.8898296356;12.446267128;5;26.4057120085;
15;1;19.6369667053;10.5308046341;4;21.25;2;26.9350833893;12.5;5;26.484351635;
16;1;19.75;10.625;4;21.25;2;27.9822673798;12.5;5;26.5662232637;
17;1;19.75;10.625;4;21.25;2;29.0313892365;12.5;5;26.6513283253;
18;1;19.75;10.625;4;21.25;2;29.9907970428;12.5;5;26.7396525145;
19;1;19.75;10.625;4;21.25;2;30.0437908173;12.5;6;26.8311642408;
20;1;19.75;10.625;4;21.25;2;30.0986976624;12.5;6;26.9258141518;
21;1;21.75;10.625;5;21.25;2;30.1554889679;12.5;6;27.0235335827;
22;1;22.75;10.625;5;21.25;2;30.2141208649;12.5;6;27.1242339611;
23;1;23.75;10.625;5;21.25;2;30.2745399475;12.5;6;27.2278065681;
24;1;24.75;10.625;5;21.25;2;30.3366832733;12.5;6;27.3341217041;
