Turn;Planet_count_KI_1_SP_SCYLIOR;Research_KI_1_SP_SCYLIOR;Industry_KI_1_SP_SCYLIOR;Ships_KI_1_SP_SCYLIOR;Population_KI_1_SP_SCYLIOR;Planet_count_KI_6_SP_CHATO;Research_KI_6_SP_CHATO;Industry_KI_6_SP_CHATO;Ships_KI_6_SP_CHATO;Population_KI_6_SP_CHATO;
1;1;11.8999996185;8.625;4;17.25;1;13.0;10.0;4;20.0;
2;2;12.8999996185;8.625;4;18.25;1;13.0;10.0;5;20.0;
3;2;13.8999996185;8.625;4;18.3624999523;1;13.0;10.0;5;20.0;
4;2;14.8999996185;8.625;4;18.4864046574;1;14.0;10.0;5;20.0;
5;2;16.6418418884;8.625;4;18.6225773096;1;15.0;10.0;5;20.0;
6;2;17.7235450745;8.625;4;19.1306034327;1;16.0;10.0;5;20.3999996185;
7;2;18.8213615417;8.79749965668;4;19.6016869545;2;17.6000003815;10.1999998093;4;21.7264003754;
8;2;19.761013031;8.94309806824;4;20.6315426826;2;18.0358409882;10.3632001877;4;22.8694274426;
9;2;20.3789253235;9.3333568573;4;21.5811042786;2;18.721654892;10.9097137451;4;23.8335785866;
10;2;20.9486618042;9.6677980423;4;22.4590928555;2;20.721654892;11.3658018112;4;24.6305116415;
11;2;22.9486618042;9.94955635071;4;23.2773604393;2;22.7216567993;11.7372808456;4;25.2793427706;
12;2;24.9486618042;10.1834592819;4;24.0491263866;2;23.8188228607;12.0336990356;4;25.8024992943;
13;2;26.4294776917;10.3752222061;4;24.7875139713;2;24.8536396027;12.2662630081;4;26.2225775719;
14;2;27.8368988037;10.5308046341;5;25.4425406456;2;25.8896827698;12.446267128;4;26.3921557665;
15;2;29.1168804169;10.625;5;25.9480543137;2;26.9269485474;12.5;4;26.4563041925;
16;2;30.4201889038;10.625;5;26.4907708168;2;27.9654388428;12.5;4;26.5224741697;
17;2;31.7458190918;10.625;4;27.0677394867;2;29.0051403046;12.5;4;26.5906432867;
18;2;33.091999054;10.625;4;27.6746611595;2;29.9543857574;12.5;4;26.6607804298;
19;2;33.6047973633;10.625;4;28.3059058189;2;29.9964675903;12.5;5;26.7328453064;
20;2;33.983543396;10.625;4;28.9546322823;2;30.0397071838;12.5;5;26.8067884445;
21;2;34.3727798462;10.625;4;29.6130218506;2;30.084072113;12.5;4;26.8825509548;
22;2;34.7678146362;10.625;5;30.272611618;2;30.129529953;12.5;4;26.9600640535;
23;2;35.1635665894;10.625;5;30.9247112274;2;30.1760387421;12.5;4;27.0392494202;
24;2;35.5548248291;10.625;5;31.5608510971;2;30.2235488892;12.5;3;27.120018959;
25;2;35.9365081787;10.625;5;32.1732282639;2;30.2720108032;12.5;3;27.2022752762;
26;2;36.3039360046;10.625;5;32.7550840378;2;30.3213653564;12.5;2;27.2859115601;
27;2;36.653049469;10.625;5;33.3009910583;2;30.371547699;12.5;2;27.3708124161;
28;2;36.980594635;10.625;5;33.8070135117;2;30.4224872589;12.5;2;27.4568536282;
29;2;37.2842102051;12.625;5;34.2707424164;2;30.474111557;12.5;3;27.5439035892;
30;3;37.5624465942;14.625;4;34.6912155151;2;29.0;13.5;3;27.6318233013;
31;3;37.8147277832;16.625;4;35.0687503815;2;29.0;13.815911293;4;27.7204678059;
32;3;38.0412521362;18.625;6;35.404718399;2;30.0;15.8159122467;4;27.8096864223;
