Turn;Planet_count_KI_1_SP_SCYLIOR;Research_KI_1_SP_SCYLIOR;Industry_KI_1_SP_SCYLIOR;Ships_KI_1_SP_SCYLIOR;Population_KI_1_SP_SCYLIOR;Planet_count_KI_6_SP_CHATO;Research_KI_6_SP_CHATO;Industry_KI_6_SP_CHATO;Ships_KI_6_SP_CHATO;Population_KI_6_SP_CHATO;
1;1;11.8999996185;8.625;4;17.25;1;13.0;10.0;4;20.0;
2;1;11.8999996185;8.625;5;17.25;1;13.0;10.0;5;20.0;
3;1;11.8999996185;8.625;5;17.25;1;13.0;10.0;5;20.0;
4;1;11.8999996185;8.625;6;17.25;1;14.0;10.0;5;20.0;
5;1;12.8999996185;8.625;6;17.25;1;15.0;10.0;5;20.0;
6;1;13.8999996185;8.625;6;17.25;1;16.0;10.0;5;20.3999996185;
7;1;14.8999996185;8.625;6;17.5949993134;2;17.6000003815;10.1999998093;4;21.7264003754;
8;2;16.156999588;8.79749965668;5;18.8861961365;2;18.0358409882;10.3632001877;3;22.8494274616;
9;2;16.3317184448;8.94309806824;5;19.7067136765;2;18.7096557617;10.9097137451;2;23.7921946049;
10;2;16.8240280151;9.3333568573;5;20.416779995;2;20.7096557617;11.3658018112;2;24.5663278103;
11;2;18.8240280151;9.6677980423;5;21.0226662159;2;22.7096557617;11.7372808456;2;25.1909153461;
12;2;20.8240280151;9.94955635071;5;21.5340260267;2;23.7657661438;12.0336990356;3;25.6883610487;
13;2;21.9002914429;10.1834592819;5;21.9622858763;2;24.78515625;12.2662630081;3;26.0812431574;
14;2;22.1773719788;10.3752222061;5;22.3193571568;2;25.8048820496;12.446267128;3;26.2221269608;
15;2;22.3916149139;10.5308046341;5;22.5548160076;2;26.8249320984;12.5;3;26.2560760975;
16;2;22.5328903198;10.625;5;22.6030313969;2;27.8453006744;12.5;3;26.2905418873;
17;2;22.5618190765;10.625;5;22.6523760557;2;28.8659801483;12.5;3;26.3255085945;
18;2;22.591424942;10.625;5;22.7028282881;2;29.7953052521;12.5;3;26.3609591722;
19;2;22.6216964722;10.625;5;22.7543625832;2;29.816576004;12.5;4;26.3968753815;
20;2;22.6526184082;10.625;5;22.8069496155;2;29.8381252289;12.5;4;26.4332377911;
21;2;24.6841697693;10.625;5;22.8605561256;2;29.8599433899;12.5;4;26.4700255394;
22;2;25.7163333893;10.625;5;22.9151450396;2;29.8820152283;12.5;4;26.5072168112;
