Turn;Planet_count_KI_1_SP_GEORGE;Research_KI_1_SP_GEORGE;Industry_KI_1_SP_GEORGE;Ships_KI_1_SP_GEORGE;Population_KI_1_SP_GEORGE;Planet_count_KI_6_SP_CHATO;Research_KI_6_SP_CHATO;Industry_KI_6_SP_CHATO;Ships_KI_6_SP_CHATO;Population_KI_6_SP_CHATO;
1;2;6.0;14.3000001907;3;21.0;1;13.0;10.0;4;20.0;
2;2;7.15000009537;13.0;3;21.0900000334;1;13.0;10.0;5;20.0;
3;2;8.16349983215;12.0;3;21.1871190071;1;13.0;10.0;5;20.0;
4;2;8.17806816101;11.0;3;21.2917383909;1;14.0;10.0;5;20.0;
5;2;8.19376087189;10.0;3;21.4042263031;1;15.0;10.0;5;20.0;
6;2;9.31595134735;10.0;3;21.5249304771;2;17.0;10.0;4;21.3999996185;
7;2;9.84310913086;10.0;3;21.6541694403;2;19.0;10.1999998093;4;21.7664003372;
8;2;9.87218856812;10.0;3;22.2087649107;2;20.4358406067;10.3632001877;4;22.9110114574;
9;2;9.99697208405;10.1999998093;3;22.7014135122;2;21.7466068268;10.9097137451;4;23.8767670393;
10;2;10.1078176498;10.3632001877;3;23.1436295509;2;23.7466049194;11.3658018112;4;24.6753208637;
11;2;10.2073163986;10.4951858521;3;24.4502608776;2;25.7466049194;11.7372808456;3;25.325784564;
12;2;10.5013093948;11.0209560394;3;25.6018667221;2;26.8466873169;12.0336990356;4;25.8505803347;
13;2;12.3275251389;11.4571752548;3;26.6129477024;2;27.8824882507;12.2662630081;4;26.2722991705;
14;2;14.3275251389;11.8107032776;3;27.5041275024;2;28.9195137024;12.446267128;4;26.4435132742;
15;2;15.7228336334;13.087890625;4;28.2981133461;2;29.9577636719;12.5;4;26.5092867613;
16;3;17.5498218536;12.3113050461;4;29.0167398453;2;30.9972267151;12.5;4;26.5770645142;
17;3;18.6352043152;12.4808797836;4;29.4582490921;2;32.0378952026;12.5;4;26.6468170881;
18;3;18.7228336334;13.5;4;29.883644104;2;32.9880905151;12.5;4;26.7185060978;
19;3;20.625;12.5;4;30.3288545609;2;33.0311050415;12.5;4;26.7920838594;
20;3;20.8239917755;12.5;5;30.7909274101;2;33.0752487183;12.5;4;26.8674932718;
21;3;20.9279594421;12.5;5;31.2663087845;2;33.1204948425;12.5;6;26.9446675777;
22;3;21.0349197388;12.5;6;31.7509255409;2;33.1668014526;12.5;6;27.0235302448;
23;3;21.1439590454;12.5;6;32.2403049469;2;33.2141189575;12.5;6;27.1039953232;
24;3;21.2540683746;12.5;6;32.7297272682;2;33.2623977661;12.5;6;27.1859669685;
25;3;19.625;13.5;5;33.2144021988;2;33.311580658;12.5;7;27.2693405151;
26;3;19.625;14.5;6;33.6896543503;2;33.3616027832;12.5;7;27.3540019989;
27;3;18.625;13.5;6;34.1511049271;2;33.412399292;12.5;7;27.4398288727;
28;3;18.625;14.5;6;34.5948324203;2;33.4638977051;12.5;7;27.5266909599;
29;3;15.625;16.5;6;35.0175008774;2;33.5160140991;12.5;7;27.6144506931;
30;3;14.625;18.5;5;35.4164476395;2;33.5686721802;14.5;7;27.7029643059;
31;3;14.0;20.5;6;35.7897262573;2;33.6217803955;16.5;7;27.7920820713;
32;3;14.0;22.5;6;36.1361055374;2;33.6752471924;18.5;7;27.8816497326;
33;3;14.0;24.5;7;36.455031395;2;33.7289886475;20.5;8;27.9715096951;
34;3;14.0;26.5;6;36.7465581894;3;33.7829055786;22.5;6;34.8165092468;
35;3;14.0;28.5;6;37.0112600327;3;34.8368988037;23.5;6;35.2945463657;
36;3;14.0;30.5;7;37.2501325607;4;35.89087677;24.5;7;35.7669658661;
37;3;14.0;32.0750923157;7;37.4644937515;4;35.9447402954;25.5;7;36.2307341099;
38;3;14.0;33.2251434326;8;37.6558866501;4;35.9983901978;26.5;7;36.6830384731;
39;3;14.0;34.3591194153;10;37.8259963989;4;36.0517349243;27.5;8;37.1213624477;
40;4;14.0;35.4781990051;8;37.9765739441;4;36.1046791077;27.5;8;37.5435445309;
41;4;14.0;36.5836029053;9;38.0;4;36.1571311951;27.5;8;37.9478173256;
42;4;14.0;37.5999984741;10;38.0;4;36.2090072632;27.5;9;38.3328244686;
43;4;14.0;38.5999984741;10;38.0;4;36.260219574;27.5;9;38.6976208687;
44;4;15.0;36.5999984741;11;38.0;4;36.3106880188;28.5;9;40.0416555405;
45;4;14.0;37.5999984741;13;38.0;4;37.3603401184;30.5;10;40.3947360516;
46;4;14.0;38.5999984741;13;39.0;4;38.4091072083;29.5;10;40.7275831699;
47;4;16.0;36.5999984741;13;39.0299999714;4;38.4569244385;30.5;11;42.1040552855;
48;4;16.0;37.5999984741;15;39.0605909824;5;39.103729248;32.0;7;55.2383807898;
49;4;16.2386322021;38.5999984741;16;39.091766119;5;40.617477417;34.3899993896;8;57.005650878;
50;4;17.2456474304;36.5999984741;19;39.1235172749;5;42.0188293457;36.2820053101;8;58.5535660982;
51;4;16.2527923584;37.5999984741;20;39.1558350325;5;42.3292961121;37.5271492004;9;59.7581988573;
52;4;18.2600631714;34.5999984741;20;39.1887089014;5;42.4799118042;38.6406555176;8;60.6978969574;
53;4;20.0;33.5999984741;21;39.2221269608;5;42.5210075378;39.6644744873;9;61.5510004759;
54;4;22.1999778748;32.5999984741;21;39.2560760975;5;42.5608711243;40.6888694763;11;62.246365428;
55;4;22.9249992371;32.5;22;39.2905418873;5;42.59948349;41.7138214111;11;62.819503665;
56;4;23.9249992371;32.5;21;39.3255085945;5;42.6368331909;42.7393226624;11;63.3282899857;
57;4;24.8482379913;31.5;20;39.3609591722;5;42.6729164124;43.7653579712;12;63.7780108452;
58;4;24.5499992371;31.452671051;21;39.3968753815;5;42.7077293396;44.7919082642;13;64.1746243238;
59;5;24.8642959595;29.5;21;39.4332377911;5;42.7412796021;45.8189620972;13;64.5243006945;
60;5;24.5499992371;28.5;21;39.4700255394;5;42.7735710144;46.846496582;13;64.7489811182;
61;6;24.5499992371;27.5;15;54.5072168112;5;42.7999992371;47.8744888306;15;64.8058408499;
62;7;25.5499992371;28.5;14;55.2947884798;5;42.7999992371;49.9029197693;15;64.8635222912;
63;7;26.5499992371;29.5;14;56.0020908117;5;42.7999992371;51.9317626953;15;64.9219712019;
64;7;26.5499992371;30.5;15;56.6282650232;5;42.7999992371;53.9609832764;16;64.9811300039;
65;7;26.5499992371;31.5;15;57.1758081913;5;42.7999992371;55.990562439;16;65.0409376621;
66;7;26.5499992371;32.5;14;57.6497057676;5;42.7999992371;54.6204681396;17;65.1013302803;
67;7;26.5499992371;32.5;13;58.0565595627;5;42.7999992371;53.6506652832;16;65.1622409821;
68;7;26.5499992371;32.5;13;58.403798461;5;42.7999992371;52.6811218262;17;65.2236001492;
69;7;26.5499992371;32.5;13;59.6990451813;5;42.7999992371;53.7117996216;17;65.285336256;
70;7;27.5499992371;33.5;13;59.8859447241;5;38.7999992371;56.7426681519;17;65.3473753929;
