Turn;Planet_count_KI_1_SP_GEORGE;Research_KI_1_SP_GEORGE;Industry_KI_1_SP_GEORGE;Ships_KI_1_SP_GEORGE;Population_KI_1_SP_GEORGE;Planet_count_KI_6_SP_CHATO;Research_KI_6_SP_CHATO;Industry_KI_6_SP_CHATO;Ships_KI_6_SP_CHATO;Population_KI_6_SP_CHATO;
1;1;6.0;14.0;4;20.0;1;13.0;10.0;4;20.0;
2;2;7.0;13.3000001907;5;21.0;2;13.3999996185;10.0;4;21.0;
3;2;8.14999961853;12.0;5;21.0299999714;2;13.3999996185;10.0;4;21.0449999571;
4;2;8.15450000763;11.0;5;21.0605909824;2;14.626999855;10.0;4;21.0915547609;
5;2;8.15908908844;10.0;5;21.091766119;2;15.6549329758;10.0;4;21.1396753788;
6;2;9.24564743042;10.0;5;21.1235172749;2;16.6838054657;10.0;4;21.6007653475;
7;2;9.75279140472;10.0;5;21.1558350325;2;17.7204589844;10.1999998093;4;21.9907975197;
8;2;9.76006317139;10.0;5;21.6002668142;2;18.1944789886;10.3632001877;4;23.1626673937;
9;2;9.86006069183;10.1999998093;4;21.9722745419;2;18.897600174;10.9097137451;4;24.15754354;
10;2;9.94376182556;10.3632001877;4;22.2830175161;2;20.897600174;11.3658018112;4;24.9871140718;
11;2;10.0136785507;10.4951858521;4;23.3954073191;2;22.897600174;11.7372808456;4;25.6705137491;
12;2;10.263967514;11.0209560394;4;24.3307359219;2;24.0535259247;12.0336990356;5;26.2301756144;
13;2;12.0415201187;11.4571752548;4;25.1027135849;2;25.110244751;12.2662630081;5;26.6886874437;
14;2;14.0415201187;11.8107032776;4;25.7315064669;2;26.1693477631;12.446267128;5;26.8986029625;
15;2;15.7228336334;12.55610466;4;26.2397767305;2;27.2308177948;12.5;5;27.0049512386;
16;2;17.0866966248;12.3113050461;4;26.6498038769;2;28.294626236;12.5;5;27.1151242256;
17;2;17.7228336334;12.9872932434;4;26.7608320713;2;29.3607292175;12.5;4;27.2290210724;
18;2;19.119020462;12.5;5;26.8354767561;2;30.3374118805;12.5;4;27.3465123177;
19;2;19.625;13.0506429672;5;26.9119156599;2;30.407907486;12.5;5;27.4674396515;
20;2;19.625;13.2647666931;6;26.9900764227;2;30.480463028;12.5;6;27.5916149616;
21;2;20.0727672577;12.5;6;27.0698769093;2;30.5549697876;12.5;6;27.7188212872;
22;2;20.0907230377;12.5;6;27.1512255669;2;30.6312923431;12.5;6;27.8488130569;
23;2;19.625;13.3604898453;6;27.2340214252;2;30.7092876434;12.5;6;27.9813165665;
24;3;19.625;13.3936080933;5;27.3181540966;2;30.7887897491;12.5;6;28.1160328388;
25;3;17.625;13.5;7;27.4035048485;2;30.8696193695;12.5;6;28.2526385784;
26;3;17.1657886505;14.5;7;27.4899468422;2;30.9515838623;12.5;6;28.3907899857;
27;3;16.1852378845;15.5;7;27.5773453712;2;31.0344734192;12.5;6;28.5301246643;
28;3;15.2049026489;16.5;7;27.6655590534;2;31.1180744171;12.5;6;28.6702661514;
29;3;14.5997505188;17.5;7;27.754440546;2;31.2021598816;12.5;6;28.8108274937;
30;3;14.6197490692;18.5;8;27.8438374996;2;27.2021598816;14.5;6;28.9514155388;
31;3;14.6398639679;19.5;8;28.93359375;2;28.0;14.4757080078;6;29.0916347504;
32;3;15.6600589752;20.5;8;29.0535495281;2;30.0;16.4757080078;6;29.231092453;
33;3;16.6802978516;21.5;8;29.1741349697;2;31.0;18.4757080078;6;29.3694028854;
34;3;16.9391803741;22.5;8;29.2951812744;2;31.6216411591;20.4757080078;7;29.5061912537;
35;3;16.9664154053;23.5;8;29.4165186882;2;31.7037143707;21.5;7;29.6410980225;
36;3;16.9937171936;24.5;9;29.5379780531;3;31.784658432;22.5;6;29.7737822533;
37;3;17.0210456848;25.5;9;29.6593915224;3;31.8642692566;22.5;7;29.9039258957;
38;3;17.0483627319;26.5;10;29.7805941105;3;31.9423561096;22.5;7;30.031235218;
39;3;17.0756340027;27.5;10;29.901424408;4;33.0187416077;23.5;7;31.155444622;
40;3;17.1028213501;28.5;8;30.0217254162;4;34.0932655334;24.5;7;31.406316638;
41;3;17.1298885345;29.5;7;30.1413457394;4;34.1657905579;25.5;7;31.6690763235;
42;3;18.1568031311;27.5;7;30.2601402998;4;34.2361869812;26.5;8;31.944978714;
43;3;17.1835327148;28.5;7;30.3779711723;4;34.3043518066;27.5;8;32.2353351116;
44;3;17.2100448608;29.5;9;30.4947082996;4;34.3702011108;28.3091678619;8;33.5414801836;
45;3;18.2363090515;27.5;11;30.6102290154;4;35.4336624146;29.4093551636;8;33.8647296429;
46;3;17.2623023987;28.5;11;30.7244194746;4;36.4946861267;30.5201263428;9;34.2063293457;
47;3;17.2879943848;29.5;12;30.8371754885;4;37.1532402039;31.6421318054;9;34.5673940182;
48;3;18.3133640289;27.5;13;30.9484008551;4;37.2093086243;32.7759399414;10;34.9488360882;
49;4;17.3383903503;28.5;12;31.05800879;4;37.2628860474;33.9220123291;10;35.3512883186;
50;4;17.0;28.5;13;31.1659214497;5;37.3139915466;34.0806503296;9;36.8682479858;
51;4;18.3733959198;29.5;13;31.2720702887;5;37.3626441956;34.7835845947;9;38.1994068623;
52;5;19.3821353912;30.5;12;44.1263957024;5;38.5132369995;35.3953361511;10;39.3790729046;
53;5;21.0;32.5;12;44.8663457632;5;38.9325294495;35.9330215454;10;40.4419662952;
54;5;24.0;34.5;12;45.5509076118;5;39.2601165771;36.4139595032;10;41.2147725821;
55;5;26.1053600311;34.5;13;46.177395463;5;39.3935012817;36.7794685364;11;41.828058362;
56;5;26.7099533081;35.5;13;47.7453032732;5;39.4132232666;37.0696754456;11;42.4668560028;
57;5;28.0515403748;36.5;13;48.2959686518;5;39.4332733154;37.3723640442;11;43.1250479221;
58;5;30.625;36.5;13;48.7933433056;5;39.4536437988;37.6844863892;11;43.7955315113;
59;5;31.7468795776;36.8829116821;13;49.2045166492;5;39.4743270874;38.002494812;12;44.4704976082;
60;5;31.625;37.5;13;49.5587075949;5;39.4953079224;38.3224945068;14;45.1417876482;
61;5;32.8875999451;39.5;14;49.8743983507;6;39.5165710449;39.3224945068;12;45.8012990952;
62;6;33.0801544189;41.3482894897;13;50.1432044506;6;38.6999969482;40.3224945068;12;46.4413936138;
63;6;33.4454956055;41.0;14;50.2300891876;6;38.6999969482;42.0391159058;12;47.0552725792;
64;6;33.4560852051;41.0;14;50.3179974556;7;38.6999969482;43.0575065613;12;47.6372760534;
65;6;33.4669342041;41.0;14;50.4068800211;7;38.6999969482;44.0761032104;12;48.1830741167;
66;6;33.1624984741;41.9816627502;14;50.496684432;7;38.6999969482;45.0948867798;12;48.689748168;
67;7;34.4893875122;42.0;13;51.5873551369;7;38.6999969482;46.1138534546;11;49.1557594538;
68;7;35.5009841919;43.0;14;52.8488332033;7;38.6999969482;47.1329803467;12;49.5808327198;
69;7;36.5128135681;45.0;14;53.2279678583;8;38.6999969482;48.1522636414;11;49.9657696486;
70;7;37.8324317932;47.0;14;54.3153501749;8;36.6999969482;50.1716842651;11;51.3122320175;
71;7;37.4640007019;50.0;15;55.3551228046;8;36.6999969482;53.1912307739;12;51.6425150633;
72;7;38.529750824;50.0;14;57.7349710464;8;36.7999992371;56.2108840942;12;51.9395289421;
73;7;38.2740325928;53.5;15;59.8676490784;8;36.7999992371;59.2306365967;12;52.2062118053;
74;8;39.3168106079;53.2238540649;13;61.8029904366;8;36.7999992371;62.2504653931;12;52.4455752373;
75;8;39.5421295166;53.1872596741;14;63.5942941904;8;36.7999992371;65.270362854;11;52.5375250578;
76;8;37.2836341858;56.1872596741;16;65.1440587044;8;36.7999992371;67.8412628174;12;52.5983988047;
77;8;36.44090271;58.7312049866;16;66.5517983437;9;36.7999992371;69.8716888428;13;52.6594700813;
78;8;35.568447113;60.3184967041;16;67.8728275299;9;36.7999992371;71.9022293091;13;52.7206995487;
79;8;34.6092681885;61.9558143616;17;69.2068879604;9;36.7999992371;73.1103515625;13;52.7820472717;
80;9;33.6092681885;64.6519012451;16;70.6379082203;9;36.7999992371;75.1530456543;15;52.8434730768;
