Turn;Planet_count_KI_1_SP_GEORGE;Research_KI_1_SP_GEORGE;Industry_KI_1_SP_GEORGE;Ships_KI_1_SP_GEORGE;Population_KI_1_SP_GEORGE;Planet_count_KI_6_SP_CHATO;Research_KI_6_SP_CHATO;Industry_KI_6_SP_CHATO;Ships_KI_6_SP_CHATO;Population_KI_6_SP_CHATO;
1;1;6.0;14.0;4;20.0;1;13.0;10.0;4;20.0;
2;1;7.0;13.0;6;20.0;1;13.0;10.0;5;20.0;
3;1;8.0;12.0;6;20.0;1;13.0;10.0;6;20.0;
4;2;8.0;11.3000001907;5;21.0;1;14.0;10.0;6;20.0;
5;2;8.14999961853;10.0;5;21.0599999428;1;15.0;10.0;6;20.0;
6;2;9.23849964142;10.0;5;21.1229639053;1;16.0;10.0;6;20.3999996185;
7;2;9.75266647339;10.0;5;21.1889609098;1;17.0;10.1999998093;6;20.7264003754;
8;2;9.76751613617;10.0;5;21.6699410677;1;17.4358406067;10.3632001877;6;21.8194274902;
9;2;9.87573719025;10.1999998093;5;22.0818096399;1;18.0916557312;10.9097137451;6;22.7316036224;
10;2;9.96840667725;10.3632001877;5;22.4358423948;1;19.0916557312;11.3658018112;6;23.4745616913;
11;2;10.0480642319;10.4951858521;5;23.611035943;1;20.0916557312;11.7372808456;6;24.0673980713;
12;2;10.3124837875;11.0209560394;5;24.615765214;2;22.0916557312;12.0336990356;5;25.5325260162;
13;2;12.1056518555;11.4571752548;5;25.4640146494;2;23.7195167542;12.2662630081;5;26.0225342512;
14;2;14.1056518555;11.8107032776;5;26.1761806011;2;24.6135196686;12.446267128;5;26.2754310369;
15;2;16.1056518555;12.0916318893;5;26.7751014233;2;24.7652587891;12.5;5;26.4377241135;
16;2;17.2071437836;12.3113050461;5;27.2831678391;2;26.7981548309;12.5;5;26.6183350086;
17;2;18.2451515198;12.4808797836;5;27.4996597767;2;27.9065208435;12.5;5;26.8187118769;
18;2;19.2852573395;12.5;6;27.687142849;2;29.0267467499;12.5;6;27.0402543545;
19;2;20.2296066284;12.5;6;27.883649826;2;30.1596717834;12.5;6;27.2842636108;
20;2;20.2738208771;12.5;6;28.0888605118;2;30.370557785;12.5;6;27.5518820286;
21;2;20.3199939728;12.5;6;28.3023359776;2;30.531129837;12.5;6;27.8440244198;
22;2;20.368024826;12.5;7;28.5235154629;2;30.7064151764;12.5;6;28.1613030434;
23;2;20.4177913666;12.5;7;28.7517154217;2;30.8967819214;12.5;6;28.5039470196;
24;2;20.4691352844;12.5;6;28.986133337;2;31.1023674011;12.5;6;28.871723175;
25;3;20.5218811035;12.5;5;29.22585392;2;31.3230342865;12.5;7;29.263862133;
26;3;19.625;13.5;5;29.4698610306;3;31.5583171844;12.5;6;29.6789975166;
27;3;19.625;14.2879447937;4;29.7170505524;3;31.8073997498;12.5;6;30.1151270866;
28;3;19.625;14.3868198395;5;29.9662499428;3;32.0690765381;12.5;6;30.5695996284;
29;3;18.625;13.5;5;30.2162384987;3;32.341758728;12.5;6;31.0391392708;
30;3;17.7986526489;14.5;5;30.4657707214;3;32.6234817505;12.5;6;31.5199065208;
31;3;16.8547973633;15.5;5;30.7136011124;3;32.911945343;12.5;6;32.007601738;
32;3;15.9105606079;16.5;5;30.9585089684;3;33.2045593262;14.5;6;32.4976010323;
33;3;15.3406639099;17.5;5;31.1993217468;3;33.4985618591;16.5;6;32.9851250648;
34;3;15.3948478699;18.5;5;32.4349379539;3;33.7910766602;18.5;6;33.465420723;
35;3;16.4478607178;19.5;5;32.69434762;3;34.0792541504;20.5;6;33.9339466095;
36;3;17.4994773865;20.5;5;32.9472382069;3;34.3603668213;22.5;6;34.3865451813;
37;3;17.7881278992;21.5;5;33.1928188801;3;34.6319274902;22.5;7;34.8195896149;
38;3;17.8433837891;22.5;5;33.4304258823;3;34.8917541504;22.5;7;35.2300891876;
39;3;16.2527923584;24.5;6;33.6595252752;3;35.138053894;22.5;7;35.6157541275;
40;3;16.2600631714;26.5;6;33.8797146082;4;35.3694534302;22.5;6;35.9750175476;
41;3;16.2674598694;28.5;8;34.0907173157;4;35.5850105286;22.5;6;36.307009697;
42;3;16.2749786377;30.5;8;34.292378664;4;35.7842063904;22.5;6;37.6115064621;
43;3;16.282617569;32.5;10;34.4846527576;4;36.9669036865;23.5;6;37.9388463497;
44;3;16.2903709412;34.2358779907;10;34.6675963402;4;38.1333084106;24.5;6;38.2418131828;
45;3;16.2982406616;35.3394622803;10;34.8413516283;4;38.2839050293;25.5;6;38.5216087103;
