Turn;Planet_count_KI_1_SP_GEORGE;Research_KI_1_SP_GEORGE;Industry_KI_1_SP_GEORGE;Ships_KI_1_SP_GEORGE;Population_KI_1_SP_GEORGE;Planet_count_KI_6_SP_CHATO;Research_KI_6_SP_CHATO;Industry_KI_6_SP_CHATO;Ships_KI_6_SP_CHATO;Population_KI_6_SP_CHATO;
72;9;33.7249984741;68.4025344849;13;81.5678200722;5;39.7999992371;41.0;17;46.9102208614;
73;9;33.7249984741;72.5151443481;14;82.1410099268;5;39.7999992371;41.0;18;46.9952175617;
74;10;33.7249984741;76.6284942627;13;82.7465407848;6;39.7999992371;42.0;17;47.0815964937;
75;10;33.7249984741;80.4668884277;14;83.3911275864;6;36.7999992371;44.0;17;47.1693136692;
76;11;34.7249984741;83.674697876;14;85.0819180012;7;36.7999992371;44.0;16;47.2583208084;
77;11;35.7249984741;85.874710083;14;85.8862220049;7;36.7999992371;45.0;16;47.3485655785;
78;11;35.7249984741;89.9027557373;16;86.6766648293;7;33.7999992371;47.0;16;47.4399911165;
79;12;35.7249984741;93.0162506104;20;87.5215080976;7;32.7999992371;49.0;17;47.5325367451;
80;13;35.7249984741;96.1290817261;17;103.449840307;7;31.7999992371;51.0;17;47.6261372566;
81;14;36.7249984741;100.121665955;17;105.513703942;7;30.7999992371;53.0;18;47.8716586828;
82;15;37.7249984741;103.283096313;18;107.567021012;8;30.7999992371;52.0;17;49.1946649551;
83;15;37.7249984741;106.445465088;18;109.594276667;8;29.7999992371;55.0;18;49.5743566751;
84;15;38.7249984741;108.60861969;18;111.58231771;8;29.7999992371;58.0;18;49.9718441963;
85;15;41.608921051;107.694854736;19;113.519160032;8;29.7999992371;58.0;18;50.3868983984;
86;15;41.3705406189;112.768341064;23;115.392830729;8;27.7999992371;61.0;19;50.8191177845;
87;15;42.3845901489;116.239311218;23;117.190730214;8;26.7999992371;64.0;19;51.2679153681;
88;15;42.398651123;114.372711182;25;118.899742126;8;26.7999992371;63.0;18;52.7325127125;
89;15;42.4127120972;114.438964844;28;120.507072449;8;25.7999992371;66.0;19;53.2419354916;
90;15;41.8820381165;115.090896606;26;121.902812481;8;25.7999992371;69.0;12;53.7656054497;
91;15;43.9186935425;115.090896606;26;124.086020708;8;25.7999992371;69.0;13;54.3021581173;
92;15;44.2059288025;118.345825195;27;125.382576704;8;24.0;72.0;13;54.8500503302;
93;15;46.2437133789;119.345825195;24;126.622695088;8;24.0;75.0;14;55.4075781107;
94;15;46.0557670593;123.345825195;24;127.810324073;8;25.0;74.0;14;55.9728986025;
95;15;48.7074394226;123.345825195;23;128.954394341;8;24.0;76.0;14;56.5440577269;
96;15;50.6658782959;121.5;29;130.067537546;8;25.0;80.8554840088;15;57.119020462;
97;15;56.3277816772;123.5;29;131.164630413;8;28.0;77.9606018066;15;57.6957062483;
98;15;59.3951263428;125.5;29;132.258072138;8;27.0;81.0112838745;17;58.2720230818;
99;14;59.6565284729;128.5;30;133.309716463;9;28.391626358;83.1346817017;16;58.8459038734;
100;14;59.1141929626;132.5;31;134.291369915;9;29.7403945923;79.0;17;59.4153425694;
