Turn;Planet_count_KI_1_SP_CRAY;Research_KI_1_SP_CRAY;Industry_KI_1_SP_CRAY;Ships_KI_1_SP_CRAY;Population_KI_1_SP_CRAY;Planet_count_KI_6_SP_FULVER;Research_KI_6_SP_FULVER;Industry_KI_6_SP_FULVER;Ships_KI_6_SP_FULVER;Population_KI_6_SP_FULVER;
72;8;35.6700439453;49.9735717773;8;50.9979013205;5;23.8776321411;32.5;16;37.5820605755;
73;8;36.7231063843;51.9735717773;8;51.7563151121;5;23.8823757172;32.5;17;37.6657543182;
74;8;37.5703582764;54.7735710144;9;55.3679136038;5;23.625;33.0825614929;18;37.7496328354;
75;8;38.4192466736;59.6267700195;12;58.5481626987;5;23.625;33.0932502747;18;37.833610177;
76;8;39.0561332703;64.2418746948;11;60.0537700653;5;23.625;33.1040077209;19;37.9175997972;
77;8;38.9970321655;68.1150436401;12;61.5612401962;5;24.625;33.1148300171;19;38.0015158653;
78;8;38.949420929;70.1413955688;12;63.0547883511;5;24.862537384;33.1257171631;20;38.0852726698;
79;8;38.9120330811;72.0522003174;15;64.5254766941;5;24.8903808594;33.1366577148;20;38.1687855721;
80;8;38.8836975098;73.9730529785;15;65.9707446098;5;25.2095108032;32.5;20;38.2519716024;
81;8;38.8633651733;75.9029388428;15;67.3930294514;6;24.94556427;33.1586914062;21;39.5734413862;
82;8;38.8500671387;77.6040878296;14;68.7978136539;6;23.8500003815;33.6697731018;20;40.6632705927;
83;8;38.8429260254;78.6634597778;16;70.1915493011;6;24.0255012512;34.0708961487;20;41.5560362339;
84;8;38.8411483765;79.7324371338;15;71.5695533752;7;24.4706897736;33.6872596741;17;52.2878264189;
85;8;38.8440170288;80.8058166504;16;72.9254980087;7;25.2593841553;35.6129760742;14;53.2439633608;
86;8;38.8508720398;81.8787078857;17;74.1779036522;7;26.2999992371;36.7144393921;14;53.9811635017;
87;8;38.8611221313;82.9580993652;16;75.3359117508;7;26.2999992371;37.7256622314;13;54.6732980013;
88;9;38.8742332458;84.0429077148;16;76.5188379288;7;26.2999992371;38.7369003296;14;55.2267516851;
89;9;38.8897247314;85.1320800781;16;77.70890522;8;24.2999992371;40.7481498718;13;55.7456541061;
90;9;38.9071655273;86.224609375;16;78.8877863884;8;23.2999992371;42.7593994141;12;57.2295377254;
91;9;38.9261741638;88.9128265381;17;80.037768364;8;23.2999992371;45.7706451416;10;57.8287217617;
92;9;38.946395874;91.0581283569;15;81.1428828239;8;23.2999992371;48.7818870544;11;58.4149433374;
93;10;38.967540741;93.2031478882;13;85.2973647118;7;20.2999992371;46.7931175232;11;54.4949946404;
94;10;39.7107849121;92.9128341675;15;86.2205502987;7;20.0;49.8043289185;10;54.9545137882;
95;10;41.4797058105;95.651550293;15;88.2271199226;7;20.0;52.251285553;11;55.4159121513;
96;10;42.7119827271;99.044128418;18;89.6674313545;7;20.0;54.1317062378;12;55.883923173;
97;10;43.2231254578;102.223487854;19;90.7797986269;7;20.0;55.3211326599;12;56.2674671412;
98;12;43.2739028931;105.397651672;17;91.814525485;6;20.0;56.4767684937;11;56.6346876621;
99;12;43.3232803345;107.566047668;17;92.774392128;6;20.0;57.625869751;12;57.0381064415;
100;13;44.3712387085;105.72819519;15;103.661203742;5;18.0;53.7894363403;13;47.478759408;
