Turn;Planet_count_KI_1_SP_CRAY;Research_KI_1_SP_CRAY;Industry_KI_1_SP_CRAY;Ships_KI_1_SP_CRAY;Population_KI_1_SP_CRAY;Planet_count_KI_6_SP_FULVER;Research_KI_6_SP_FULVER;Industry_KI_6_SP_FULVER;Ships_KI_6_SP_FULVER;Population_KI_6_SP_FULVER;
1;1;11.0;10.0;4;20.0;1;6.0;12.0;4;20.0;
2;1;11.0;10.0;5;20.0;2;7.0;11.1999998093;4;21.0;
3;1;11.0;10.0;6;20.0;2;8.14999961853;10.0;4;21.0599999428;
4;1;11.0;10.0;6;20.0;2;8.15900039673;10.0;4;21.1229639053;
5;1;12.0;10.0;6;20.0;2;8.16844463348;10.0;4;21.1889609098;
6;2;13.4499998093;10.0;5;21.0;2;9.26751613617;10.0;4;21.2580518723;
7;2;14.4499998093;10.0;5;21.4999996424;2;9.7830619812;10.0;4;21.3302885294;
8;2;14.6750001907;10.1999998093;5;21.9353003502;2;9.7993144989;10.0;4;21.8190145493;
9;2;14.8708848953;10.3632001877;5;23.1829590797;2;9.90927886963;10.1999998093;4;22.2388005257;
10;2;15.4323320389;10.9097137451;5;24.267437458;2;10.0037298203;10.3632001877;4;22.6008902788;
11;2;17.4323310852;11.3658018112;5;25.2018244267;2;10.0852003098;10.4951858521;4;23.7875448465;
12;2;19.4323310852;11.7372808456;5;26.0066431761;2;10.3521976471;11.0209560394;5;24.8040741682;
13;2;20.6914024353;12.0336990356;5;26.7056586742;2;12.148021698;11.4571752548;5;25.6643919945;
14;2;21.0175457001;12.2662630081;5;27.3226804733;2;14.148021698;11.8107032776;4;26.3888099194;
15;2;21.2952060699;12.446267128;5;27.7113106251;2;16.148021698;12.0916318893;4;27.0000665188;
16;2;21.4700889587;12.5;5;28.0173821449;2;17.2577610016;12.3113050461;3;27.5204386711;
17;2;23.559463501;12.5;5;28.3487696648;2;18.2985363007;12.4808797836;3;27.7490785122;
18;2;24.7085876465;12.5;5;28.7054548264;2;18.7228336334;12.5;3;27.9484119415;
19;2;25.8690948486;12.5;6;29.0869145393;2;19.625;12.5;3;28.156321764;
20;2;27.0407524109;12.5;6;29.4920539856;2;19.625;12.5;3;28.3723301888;
21;2;27.2714233398;12.5;6;29.9191560745;2;19.625;12.5;5;28.5958371162;
22;3;27.4636192322;12.5;5;30.3658571243;2;19.625;12.5;5;28.8261203766;
23;3;27.6646347046;12.5;5;30.8291530609;2;20.4858779907;12.5;5;29.0623402596;
24;3;27.8731193542;12.5;6;31.3054442406;2;20.5390262604;12.5;6;29.303548336;
25;4;28.0874500275;12.5;5;31.790620327;2;20.5932979584;12.5;7;29.5486979485;
26;4;28.3057785034;12.5;5;32.2801818848;3;20.6484565735;12.5;6;34.796661377;
27;4;28.5260810852;12.5;5;32.7693967819;3;21.7042484283;12.5;6;35.1962480545;
28;4;28.7462291718;12.5;5;33.2534770966;3;21.625;13.5;6;35.5930013657;
29;4;28.9640655518;12.5;5;33.7277650833;3;22.625;14.5;6;35.9853076935;
30;4;26.9640655518;13.5;5;35.187912941;3;23.2569885254;15.2726745605;6;36.3715987206;
31;4;26.9640655518;14.5;5;35.6600430012;3;22.2987670898;14.2726745605;6;36.7503805161;
32;4;27.25;15.5;5;36.1114628315;3;18.625;17.2726745605;6;37.1202578545;
33;4;27.7272663116;16.5;5;36.5395600796;3;17.625;20.2726745605;7;37.4799561501;
