Turn;Planet_count_KI_1_SP_CRAY;Research_KI_1_SP_CRAY;Industry_KI_1_SP_CRAY;Ships_KI_1_SP_CRAY;Population_KI_1_SP_CRAY;Planet_count_KI_6_SP_FULVER;Research_KI_6_SP_FULVER;Industry_KI_6_SP_FULVER;Ships_KI_6_SP_FULVER;Population_KI_6_SP_FULVER;
20;2;25.8140716553;12.5;5;26.3968753815;2;18.6017875671;12.5;5;26.4377241135;
21;2;25.8785934448;12.5;7;26.4332377911;2;19.6383037567;12.5;7;26.6183350086;
22;2;25.8949565887;12.5;7;26.4700255394;2;19.9891242981;12.5;7;26.8187118769;
23;2;25.9115104675;12.5;7;26.5072168112;2;20.0342102051;12.5;7;27.0402543545;
24;3;25.9282474518;12.5;5;26.5447884798;2;20.0840568542;12.5;8;27.2842636108;
25;3;25.9451541901;12.5;5;26.5827163458;2;20.1389598846;12.5;8;27.5518820286;
26;3;25.962223053;12.5;6;26.6209751368;3;19.625;13.2655649185;7;32.8440244198;
27;3;25.9794387817;12.5;6;26.6595385075;3;20.625;13.3532075882;7;33.3113031387;
28;3;25.9967918396;12.5;5;26.6983793974;3;22.3362922668;12.5;6;33.8007218838;
29;3;26.0142707825;12.5;5;26.7374696732;3;22.625;13.5;6;34.3116817474;
30;3;26.0318603516;12.5;5;26.7767804861;3;23.2569885254;13.6615171432;6;34.8430857658;
31;3;26.0495510101;12.5;5;26.8162822723;3;23.2987670898;14.6319313049;6;35.3932814598;
32;3;26.0673274994;12.5;5;26.8559447527;3;23.3392848969;14.8394985199;6;35.9600234032;
33;3;26.0851745605;12.5;5;26.8957372904;3;24.3784694672;12.8394985199;6;36.5404596329;
34;3;26.1030807495;12.5;6;26.9356285334;3;24.669418335;12.5;6;37.1311564445;
35;3;26.1210327148;12.5;6;27.9755871296;3;23.4526062012;13.5;7;37.728158474;
36;3;24.25;14.6902341843;6;28.0555810928;3;24.4874763489;12.5;7;38.3270897865;
37;3;27.1570110321;17.6902351379;7;28.136762619;3;25.0975570679;12.5;7;38.9232888222;
38;3;28.6615428925;20.6902351379;8;28.219101429;3;23.5527057648;13.5;7;39.511973381;
39;3;28.6985969543;23.6902351379;8;28.3025640249;3;24.5830535889;12.5;7;40.0884194374;
40;3;28.7361545563;26.6902332306;8;28.3871146441;3;23.6119003296;13.5;7;40.6481442451;
41;3;28.7742004395;27.5;7;28.4727139473;3;24.6392593384;12.5;7;41.1870741844;
42;3;28.8127212524;27.5;7;28.559319973;3;25.6651592255;12.5;7;41.7016887665;
43;3;28.8516941071;27.5;7;28.6468875408;3;25.8990364075;12.5;7;42.1891231537;
44;3;28.8910980225;27.5;7;28.7353686094;3;24.0144805908;13.5;7;42.6157541275;
45;3;28.9309158325;27.5;6;28.8247119188;3;25.1135444641;16.5;7;42.9750175476;
46;3;28.3173484802;27.5;7;28.914863348;3;26.1943778992;19.5;7;43.307009697;
47;3;28.3347244263;27.5;8;29.0057651997;3;24.1943778992;22.5;7;43.6115064621;
48;3;28.3519668579;27.5;8;29.0973572731;3;23.7250003815;25.5;7;43.8888463974;
