Turn;Planet_count_KI_1_SP_CRAY;Research_KI_1_SP_CRAY;Industry_KI_1_SP_CRAY;Ships_KI_1_SP_CRAY;Population_KI_1_SP_CRAY;Planet_count_KI_6_SP_FULVER;Research_KI_6_SP_FULVER;Industry_KI_6_SP_FULVER;Ships_KI_6_SP_FULVER;Population_KI_6_SP_FULVER;
1;2;11.3000001907;10.0;3;21.0;1;6.0;12.0;4;20.0;
2;2;11.3000001907;10.0;3;21.0900000334;1;7.0;11.0;5;20.0;
3;2;11.3269996643;10.0;3;21.1871190071;1;8.0;10.0;5;20.0;
4;2;11.3561353683;10.0;3;21.2917383909;1;8.0;10.0;5;20.0;
5;2;12.5812826157;10.0;3;21.4042263031;1;8.0;10.0;5;20.0;
6;2;13.631901741;10.0;3;21.5249304771;1;9.0;10.0;5;20.0;
7;2;14.6862182617;10.0;3;22.0694183111;1;9.5;10.0;5;20.0;
8;2;14.9312381744;10.1999998093;3;22.5515855551;1;9.5;10.0;5;20.3999996185;
9;2;15.1482124329;10.3632001877;3;23.8668255806;1;9.59000015259;10.1999998093;5;20.7264003754;
10;2;15.7400722504;10.9097137451;3;25.0237190723;1;9.66343975067;10.3632001877;4;20.9903717041;
11;2;17.7400722504;11.3658018112;3;26.0350353718;1;9.72283363342;10.4951858521;4;22.0419120789;
12;2;19.7400722504;11.7372808456;3;26.9207777977;2;9.95943069458;11.2209558487;4;23.9143505096;
13;2;21.1027641296;12.0336990356;3;27.703961134;2;11.9478340149;11.4571752548;4;24.7514065504;
14;2;22.2458877563;12.2662630081;3;28.4073903561;2;13.9478340149;11.8107032776;4;25.4586948156;
15;2;23.400428772;12.446267128;4;28.8833937645;2;15.9478340149;12.0916318893;4;26.0603342056;
16;2;24.5662689209;12.5;4;29.2762613297;2;17.0463218689;12.3113050461;4;26.5800945759;
17;2;25.7430610657;12.5;4;29.692073822;2;18.0869598389;12.4808797836;4;26.8187118769;
18;2;26.9301757812;12.5;4;30.1288084984;2;19.1320438385;12.5;4;27.0402543545;
19;2;27.557964325;12.5;5;30.5837950706;2;20.0840568542;12.5;5;27.2842636108;
20;2;27.7627067566;12.5;5;31.0537385941;2;20.1389598846;12.5;5;27.5518820286;
21;2;27.9741821289;12.5;5;31.534784317;2;20.1991729736;12.5;5;27.8440244198;
22;2;28.1906528473;12.5;5;32.0226202011;2;20.2649059296;12.5;6;28.1613030434;
23;2;28.4101791382;12.5;5;32.5126152039;2;20.3362922668;12.5;6;28.5039470196;
24;2;28.6306762695;12.5;5;32.9999876022;2;20.4133872986;12.5;6;28.871723175;
25;2;26.6306762695;13.5;5;33.4799880981;2;20.496137619;12.5;6;29.263862133;
26;2;25.6306762695;14.5;6;33.9480848312;3;20.5843696594;12.5;6;29.6789975166;
27;2;25.25;15.5;7;34.4001340866;3;20.6777744293;12.5;6;30.1151270866;
28;2;25.25;16.2600536346;8;34.8325281143;3;20.7759037018;12.5;6;30.5695996284;
29;2;25.25;16.4330120087;8;35.2422962189;3;20.8781604767;12.5;6;31.0391392708;
30;2;25.25;16.5969181061;8;35.6271715164;3;19.625;13.5;6;31.5199065208;
31;3;25.25;16.750869751;7;35.9856081009;3;20.625;12.5;6;32.007601738;
32;3;25.25;16.8942432404;7;36.3167572021;3;21.2017097473;12.5;6;32.4976010323;
33;3;25.25;17.0267028809;7;36.6204128265;3;19.625;13.5;6;32.9851250648;
34;3;25.25;17.1481647491;7;36.8969306946;3;20.625;12.5;6;33.465420723;
35;3;25.25;17.2587718964;7;37.1471309662;3;19.625;13.5;6;33.9339466095;
36;3;26.25;18.5;7;37.3722009659;3;20.625;12.5;6;34.3865451813;
37;3;27.25;19.5;7;37.5735960007;3;21.625;12.5;6;34.8195896149;
38;3;28.25;20.5;8;37.7529459;3;21.8344078064;12.5;7;35.2300891876;
39;3;29.25;21.5;8;37.9119815826;3;21.9267692566;12.5;8;35.6157541275;
40;3;30.25;22.5;8;38.0;3;19.9267692566;13.5;8;35.9750175476;
41;3;31.1000003815;22.5;9;38.0;3;19.625;14.5;7;36.307009697;
42;3;31.1000003815;22.5;9;38.0;3;19.625;12.5;8;36.6115064621;
43;4;32.0999984741;23.5;8;39.0;3;19.625;13.5;7;36.8888463974;
44;4;33.0999984741;24.5;8;40.0399999619;3;19.625;12.5;7;37.1398382187;
45;4;34.5680007935;26.5;9;40.1111838818;3;19.625;13.5;7;37.3656587601;
46;4;35.5865325928;28.5;9;40.1841444969;3;20.625;15.5;7;37.5677556992;
47;5;36.082862854;30.5;8;40.2588735819;3;21.625;17.5;8;37.747756958;
48;5;35.0999984741;31.5;10;40.3353587389;3;22.4932441711;19.5;10;37.9073896408;
49;5;36.1509094238;32.5;10;40.413582921;3;22.5291633606;21.5;10;38.0;
50;5;36.1861114502;32.5;11;40.493524909;3;22.5499992371;22.5;10;38.0;
51;5;36.2220840454;32.5;11;40.5751583576;3;22.5499992371;22.5;12;38.0;
52;5;36.2588195801;32.5;11;40.6584521532;3;22.5499992371;22.5;12;38.0;
53;5;36.2963027954;32.5;12;40.7433701754;3;22.5499992371;22.5;12;38.0;
54;5;36.3345184326;32.5;12;41.8298711777;3;22.5499992371;22.5;14;38.0;
55;5;37.3734436035;33.5;12;43.3912514448;3;22.5499992371;22.5;14;38.0;
56;5;39.0580635071;35.0;13;44.6976464987;3;22.5499992371;22.5;14;38.0;
57;5;39.627407074;36.3899993896;13;45.7851586342;3;22.5499992371;22.5;15;38.0;
58;5;40.0977210999;37.6872596741;14;46.6919362545;3;22.5499992371;22.5;15;38.0;
59;5;40.4861717224;38.9097442627;14;47.3057025671;3;22.5499992371;22.5;15;38.0;
60;5;40.7422370911;39.6059188843;14;47.713239193;3;22.5499992371;22.5;15;38.0;
61;5;40.9049682617;39.6288757324;16;48.0979665518;3;22.5499992371;22.5;14;38.0;
62;6;41.0569152832;39.6524085999;15;48.3519128561;3;22.5499992371;22.5;14;38.0;
63;6;39.3499984741;40.5995521545;15;48.5650296211;4;22.5499992371;22.5;9;46.5;
64;6;40.3499984741;40.4218864441;17;48.7826310396;4;23.5499992371;23.5;10;46.8400001526;
65;6;40.4616928101;40.470161438;18;49.0044611692;5;24.5499992371;24.5;9;47.1635437012;
66;6;39.3499984741;43.4728775024;18;49.2302370071;5;25.5499992371;25.5;8;47.4692811966;
67;6;39.3499984741;45.4991760254;18;49.4596493244;5;22.5499992371;28.5;8;47.7562685013;
68;6;39.3499984741;47.5259780884;20;49.6923640966;5;21.625;31.5;9;48.0239543915;
69;7;39.3499984741;49.5532722473;19;49.9280238152;5;21.625;33.5;9;48.272151947;
70;7;39.3499984741;50.7206993103;19;50.1662499905;5;22.625;32.5;9;48.5009994507;
71;7;39.3499984741;53.609249115;20;50.4066463709;5;24.0;32.5;10;48.7109146118;
72;7;39.3499984741;55.6378860474;21;50.6488004923;6;25.9249992371;33.5;8;50.3460969925;
73;8;39.3499984741;57.6669235229;20;50.892287612;6;27.0127506256;34.5;8;51.699508667;
74;8;39.3499984741;58.7206993103;19;51.1366736889;6;27.0127506256;33.5;8;52.8080825806;
75;8;39.3499984741;60.9870376587;20;51.3815188408;6;28.0127506256;33.5;8;54.7110319138;
76;8;39.3499984741;62.0474586487;21;51.626380682;6;30.2053833008;34.5;9;55.3373165131;
77;8;39.3499984741;62.6637039185;21;51.8708190918;6;30.2799491882;34.5;9;55.736260891;
78;8;39.3499984741;62.7675933838;21;52.114397049;6;30.3468341827;35.5;9;56.0780117512;
79;8;39.3499984741;62.8711776733;23;52.3566870689;6;31.6527996063;37.5;10;56.1671074629;
80;8;39.3499984741;62.974281311;24;52.5972731113;6;29.3999996185;40.5;10;56.211841464;
81;8;39.3499984741;63.0767364502;24;52.835752964;6;28.3999996185;43.1059188843;10;56.2577478886;
82;8;37.3499984741;64.1783599854;25;53.0717422962;7;28.3999996185;45.1288757324;10;56.3048160076;
83;8;36.3499984741;65.279006958;25;53.3048765659;8;28.3999996185;47.1524085999;10;56.3530313969;
84;8;35.3499984741;66.3785095215;25;53.534812212;8;26.3999996185;50.1765136719;10;56.4023760557;
85;8;34.3499984741;67.1883544922;25;53.7612302303;8;25.3999996185;53.2011871338;11;56.4528282881;
86;8;34.3499984741;67.3222351074;24;53.9838364124;8;24.3999996185;56.2264137268;11;56.5043625832;
87;8;34.3499984741;68.4539871216;23;54.2023625374;8;25.3999996185;55.2011871338;11;56.5569496155;
88;8;34.3499984741;69.5834579468;24;54.4165666103;8;25.0;57.2011871338;12;57.6105561256;
89;9;33.3499984741;70.7104949951;20;71.8762340546;8;27.0;60.2011871338;13;57.6851450205;
90;9;35.3499984741;69.8349761963;21;73.4180531502;8;28.375;63.2011871338;14;57.760871172;
