Turn;Planet_count_KI_1_SP_GYSACHE;Research_KI_1_SP_GYSACHE;Industry_KI_1_SP_GYSACHE;Ships_KI_1_SP_GYSACHE;Population_KI_1_SP_GYSACHE;Planet_count_KI_6_SP_REPLICON;Research_KI_6_SP_REPLICON;Industry_KI_6_SP_REPLICON;Ships_KI_6_SP_REPLICON;Population_KI_6_SP_REPLICON;
1;2;6.0;14.3000001907;3;21.0;1;6.0;14.0;4;20.0;
2;2;7.30000019073;13.0;3;21.0900000334;1;7.0;13.0;6;20.0;
3;2;8.32699966431;12.0;3;21.1871190071;1;8.0;12.0;6;20.0;
4;2;9.35613536835;11.0;3;21.2917383909;1;8.0;11.0;6;20.0;
5;2;10.3875217438;10.0;3;21.4042263031;1;8.0;10.0;6;20.0;
6;2;11.631901741;10.0;3;21.5249304771;2;9.0;10.3000001907;5;21.0;
7;2;12.6862182617;10.0;3;21.6541694403;2;9.72500038147;10.0;5;21.0900000334;
8;2;13.7443761826;10.0;3;22.2087649107;2;9.74524974823;10.0;5;21.5980186462;
9;2;14.8139448166;10.1999998093;3;22.7014135122;2;9.85955429077;10.1999998093;5;22.0418490171;
10;2;15.2156352997;10.3632001877;3;24.0319356918;2;9.95941543579;10.3632001877;5;22.4332156181;
11;2;15.814371109;10.9097137451;3;25.2049109936;2;10.0474739075;10.4951858521;5;23.6659361124;
12;2;16.3422107697;11.3658018112;3;26.2329595089;2;10.3248357773;11.0209560394;5;24.7393633127;
13;2;18.9317321777;11.7372808456;4;27.1358840466;2;12.1334619522;11.4571752548;5;25.6686143875;
14;2;20.9317321777;12.0336990356;4;27.9364440441;2;14.1334609985;11.8107032776;5;26.4751701355;
15;2;22.3505058289;12.2662630081;4;28.6571342945;2;16.1334609985;12.0916318893;5;27.1828548908;
16;2;23.5128135681;12.446267128;5;29.1499218941;2;16.7228336334;13.0793781281;5;27.8148901463;
17;2;24.6862068176;12.5;6;29.5586924553;2;18.3647880554;12.4808797836;5;28.1711652279;
18;2;25.8701553345;12.5;6;29.9890928268;2;18.7228336334;13.4513492584;6;28.5145654678;
19;2;27.063835144;12.5;6;30.4386553764;2;19.625;13.5543699265;6;28.8830828667;
20;2;27.6973953247;12.5;6;30.9042773247;2;20.4986934662;12.5;6;29.2759313583;
21;2;27.9069252014;12.5;6;31.3822712898;2;19.625;13.5;6;29.6917257309;
22;2;28.1220207214;12.5;6;31.86845541;2;20.625;12.5;7;30.1284441948;
23;2;28.3408050537;12.5;7;32.3582825661;2;20.7789001465;12.5;7;30.5834169388;
24;2;26.3408050537;13.5;7;32.8469986916;3;20.881269455;12.5;6;31.0533499718;
25;2;25.3408050537;13.5;7;33.3298244476;3;20.9870033264;12.5;7;31.5343885422;
26;2;25.3408050537;14.5;7;33.8021402359;3;19.625;13.5;7;32.0222206116;
27;3;25.2109642029;15.5;6;34.2596635818;3;19.625;14.5;7;32.5122156143;
28;3;24.4168491364;16.5;6;34.6986026764;3;20.625;12.5;7;32.9995918274;
29;3;23.6143722534;17.5;6;35.1157779694;3;17.625;14.5;7;33.4795999527;
30;3;22.8021011353;18.5;6;35.5086975098;3;16.625;16.5;7;33.9477081299;
31;3;21.8021011353;17.5;5;35.8755874634;3;15.625;18.5;7;34.399772644;
32;3;21.8021011353;17.5;5;36.215385437;3;14.625;20.5;7;34.8321838379;
33;3;20.8021011353;16.5;5;36.5276908875;3;14.0;22.5;7;35.2419710159;
34;3;19.8021011353;15.5;6;36.8126907349;3;14.0;24.5;7;35.6268672943;
35;3;18.8021011353;15.5;6;37.0710706711;3;14.0;26.5;8;35.9853258133;
36;3;18.8021011353;16.5;6;37.3039131165;3;14.0;28.1897277832;8;36.3164978027;
37;3;18.8021011353;17.5;6;37.5125980377;3;14.0;29.4215488434;8;36.6201763153;
38;3;17.8021011353;16.5;6;37.6987104416;3;14.0;30.6341228485;10;36.8967161179;
39;3;17.8021011353;18.5;5;38.8639574051;3;14.0;31.8277015686;10;37.1469373703;
40;3;20.8021011353;21.5;5;39.0900000334;3;14.0;33.0028572083;11;37.3720273972;
41;3;23.8021011353;23.5;5;39.1871190071;3;14.0;34.1604194641;14;37.5734405518;
42;3;26.3363037109;25.5;5;39.2917383909;3;14.0;35.3014068604;14;37.7528085709;
43;3;28.3833808899;26.5;5;39.4042263031;3;14.0;36.4269638062;15;37.911860466;
44;3;29.8021011353;27.5;5;39.5249304771;4;14.0;37.5383033752;13;66.75;
45;3;31.1000003815;28.5;6;39.6541694403;4;15.0;38.5999984741;13;68.7625007629;
46;3;32.8443756104;27.5;7;39.7922235727;4;17.0;36.5999984741;14;70.2967796326;
47;3;33.0999984741;28.5;7;39.9393253326;4;17.0;37.5999984741;14;71.4120597839;
48;3;33.0999984741;28.8575286865;8;40.0956480503;4;18.0;38.5999984741;14;72.1932144165;
49;3;33.0999984741;28.9669532776;8;40.261295557;5;20.0;36.5999984741;12;89.975528717;
50;3;33.0999984741;29.082906723;9;40.4362905025;5;21.0;38.5999984741;12;90.8624992371;
51;4;33.0999984741;29.2054023743;9;40.6205644608;5;25.0;36.5999984741;13;91.6119041443;
52;5;35.0999984741;28.5;8;41.8139474392;5;28.0;36.5999984741;14;92.2509632111;
53;5;35.0999984741;30.5;9;42.0561592579;6;31.9249992371;37.5999984741;14;93.7870521545;
54;5;34.5679969788;31.5;9;42.3079869747;6;34.9249992371;39.5;14;94.3604611158;
55;6;34.0999984741;32.5;7;57.5689144135;6;37.1792488098;41.5;15;94.8683017492;
56;6;36.0999984741;35.5;7;58.5882993937;6;38.836971283;42.5;15;95.3238801956;
57;6;38.6251983643;34.5;6;59.5347505808;6;39.2984886169;43.5;17;95.6183350086;
58;6;37.0999984741;37.3482894897;7;61.7349383831;6;38.9749984741;44.5;18;95.8187118769;
59;7;38.6659851074;39.5;6;64.3497987986;6;38.9749984741;44.7730979919;18;96.0402543545;
60;7;38.5499992371;41.9309806824;6;66.6082019806;6;39.4340553284;43.5;20;96.2842636108;
61;7;38.9010009766;44.3737640381;8;68.5490249395;7;39.4889564514;44.5;18;96.5518820286;
62;7;38.1685333252;46.7260627747;8;70.2169356346;8;39.5491752625;45.5;12;111.84402442;
63;7;41.0734062195;46.9097442627;9;71.5083839893;8;39.9749984741;48.5;13;112.911303043;
64;7;40.1929283142;49.0;9;72.5197817087;8;40.9749984741;51.5;14;113.923321486;
65;7;42.2326660156;49.0;9;74.4441008568;8;41.7633857727;51.5;16;114.879013062;
66;7;43.1533508301;52.7421760559;9;75.0672404766;8;40.9749984741;54.5;16;115.780131817;
67;7;44.1484603882;55.7831115723;10;75.6052012444;8;41.9343681335;55.5;17;116.630323887;
68;7;42.2820281982;57.8256645203;13;76.1456069946;8;42.0277748108;57.5;18;117.434216976;
69;8;43.3057060242;59.8698272705;11;76.6868876219;8;42.1259040833;59.5;21;124.024051189;
70;8;43.3499984741;63.0;12;77.227596879;8;42.9393119812;64.0;21;128.547180295;
71;8;41.3499984741;66.6335601807;12;77.7664331198;8;44.6451644897;68.3899993896;21;132.134994626;
72;8;41.3499984741;66.7097930908;12;78.3022489548;9;46.4076080322;69.6872558594;19;134.962129354;
73;8;41.3499984741;67.7877120972;13;78.8340564966;9;47.4513473511;72.9097442627;20;136.76046598;
74;8;39.3499984741;69.0;9;79.3610260487;9;43.5363082886;77.9097442627;20;138.00271821;
75;8;36.3499984741;50.0;6;59.8824759722;10;42.9113426208;81.9097442627;17;159.927940726;
76;8;35.3499984741;54.0;6;60.4578567743;10;43.6241378784;83.9097442627;18;160.710232139;
77;8;34.3499984741;56.1134796143;6;61.1612664461;10;43.0133209229;85.9097442627;20;161.432393193;
78;8;35.3499984741;55.1134796143;8;61.873983264;11;42.0410461426;88.9097442627;19;173.133483529;
79;8;33.3499984741;58.1134796143;8;62.5958557129;11;42.375;95.9097442627;20;174.36816144;
80;8;30.3499984741;62.1134796143;8;63.3266137838;11;44.375;102.361686707;20;175.547855377;
81;8;28.3499984741;64.453453064;9;65.0658355951;11;45.4772605896;108.462242126;20;176.66687572;
82;8;27.75;65.453453064;8;65.6850395203;11;46.5053100586;111.5675354;22;177.721846342;
83;8;27.75;68.0;9;66.300976634;12;47.5346717834;117.677474976;22;178.711538196;
84;8;26.75;71.0;11;66.8135365248;12;48.565372467;122.791931152;24;179.636581779;
85;8;26.0;74.0;12;67.3316754103;12;49.5974273682;127.910720825;24;180.499114752;
86;8;26.0;77.0;13;67.8545761108;12;51.6308517456;130.033599854;25;181.302410483;
87;8;26.0;79.0;9;68.3814035654;12;50.6656455994;135.160308838;24;182.050510883;
88;8;26.0;81.0;10;68.9113128185;12;50.7018127441;140.290512085;26;182.747900128;
89;8;26.0;83.0;11;69.4434498549;12;50.7393531799;145.423797607;27;183.398032546;
90;8;27.0;82.0;11;69.9769611359;12;51.7782440186;147.559783936;28;183.858058453;
91;8;28.0;82.0;8;70.5109952688;12;50.8184700012;152.697967529;30;184.206526041;
92;9;29.0;82.0;10;71.044705987;12;51.8600006104;154.83782959;31;184.50872159;
93;9;30.0;82.0;10;71.5772585869;12;53.9028015137;150.978881836;32;184.814660549;
94;9;31.0;82.0;10;72.1078310013;12;52.9468154907;159.49659729;35;185.123400211;
95;9;32.0;82.0;11;72.6356182098;13;55.9920043945;159.49659729;35;185.433970451;
96;9;32.75;82.0;13;73.1598343849;14;57.0382881165;162.646606445;35;185.745388508;
97;9;32.75;82.0;13;73.6797151566;15;59.0856018066;165.646606445;35;186.056670904;
98;9;33.75;79.0;14;75.1945202351;15;62.1338653564;165.646606445;38;186.36684823;
99;9;33.75;81.0;14;75.7635350227;16;64.5579833984;166.646606445;37;186.674977779;
100;9;34.75;83.0;15;76.3290364742;16;67.0618667603;164.646606445;38;186.980154037;
