Turn;Planet_count_KI_1_SP_GYSACHE;Research_KI_1_SP_GYSACHE;Industry_KI_1_SP_GYSACHE;Ships_KI_1_SP_GYSACHE;Population_KI_1_SP_GYSACHE;Planet_count_KI_6_SP_REPLICON;Research_KI_6_SP_REPLICON;Industry_KI_6_SP_REPLICON;Ships_KI_6_SP_REPLICON;Population_KI_6_SP_REPLICON;
1;1;6.0;14.0;4;20.0;1;6.0;14.0;4;20.0;
2;1;7.0;13.0;6;20.0;1;7.0;13.0;4;20.0;
3;1;8.0;12.0;6;20.0;1;8.0;12.0;4;20.0;
4;1;9.0;11.0;6;20.0;1;8.0;11.0;4;20.0;
5;1;10.0;10.0;6;20.0;1;8.0;10.0;4;20.0;
6;1;11.0;10.0;6;20.0;1;9.0;10.0;4;20.0;
7;1;12.0;10.0;6;20.0;2;10.5;10.3000001907;3;21.0;
8;1;13.0;10.0;5;20.3999996185;2;11.5;10.0;2;21.3999996185;
9;1;14.0;10.1999998093;4;20.7264003754;2;12.5900001526;10.1999998093;2;21.7264003754;
10;1;14.3268795013;10.3632001877;4;21.8194274902;2;12.8884391785;10.3632001877;2;21.9903717041;
11;1;14.8187427521;10.9097137451;4;22.7316036224;2;12.9478340149;10.4951858521;2;23.0719120502;
12;2;15.2292222977;11.665802002;3;24.4745616913;2;13.1911811829;11.0209560394;2;23.9749414921;
13;2;17.8187427521;11.7372808456;3;25.0973980427;2;15.9545841217;11.4571752548;2;24.7131726742;
14;2;19.8187427521;12.0336990356;3;25.5931169987;2;17.9545841217;11.8107032776;2;25.3067810535;
15;2;21.8187427521;12.2662630081;3;25.984300375;2;18.7228336334;12.4286870956;3;25.7784451246;
16;2;23.8187427521;12.446267128;3;26.1235172749;3;19.9828968048;12.3113050461;3;26.1504684687;
17;2;25.009601593;12.5;3;26.1558350325;3;20.7228336334;12.8374919891;3;26.2221269608;
18;2;26.0726203918;12.5;3;26.1887089014;3;21.9978122711;12.5;3;26.2560760975;
19;2;27.1367263794;12.5;3;26.2221269608;3;22.625;12.8768224716;3;26.2905418873;
20;2;27.6331481934;12.5;3;26.2560760975;3;22.625;13.0162162781;3;26.3255085945;
21;2;27.6993484497;12.5;2;26.2905418873;3;22.9232406616;12.5;3;26.3609591722;
22;2;27.7665557861;12.5;7;26.3255085945;3;22.625;13.0443840027;4;26.3968753815;
23;3;27.8347415924;12.5;2;35.6265288591;3;22.625;13.0587501526;4;26.4332377911;
