Turn;Planet_count_KI_1_SP_GYSACHE;Research_KI_1_SP_GYSACHE;Industry_KI_1_SP_GYSACHE;Ships_KI_1_SP_GYSACHE;Population_KI_1_SP_GYSACHE;Planet_count_KI_6_SP_REPLICON;Research_KI_6_SP_REPLICON;Industry_KI_6_SP_REPLICON;Ships_KI_6_SP_REPLICON;Population_KI_6_SP_REPLICON;
1;1;6.0;14.0;4;20.0;1;6.0;14.0;4;20.0;
2;1;7.0;13.0;6;20.0;1;7.0;13.0;6;20.0;
3;1;8.0;12.0;6;20.0;1;8.0;12.0;6;20.0;
4;1;9.0;11.0;6;20.0;1;8.0;11.0;6;20.0;
5;1;10.0;10.0;6;20.0;1;8.0;10.0;6;20.0;
6;1;11.0;10.0;6;20.0;1;9.0;10.0;6;20.0;
7;1;12.0;10.0;6;20.0;1;9.5;10.0;6;20.0;
8;1;13.0;10.0;6;20.3999996185;1;9.5;10.0;6;20.3999996185;
9;1;14.0;10.1999998093;6;20.7264003754;1;9.59000015259;10.1999998093;6;20.7264003754;
10;1;14.3268795013;10.3632001877;6;21.8194274902;1;9.66343975067;10.3632001877;6;20.9903717041;
11;2;14.8187427521;11.2097139359;5;23.7316036224;2;9.72283363342;10.7951860428;5;23.0419120789;
12;2;15.6792221069;11.3658018112;4;24.5045616627;2;10.184431076;11.0209560394;5;23.9543504715;
13;2;18.268743515;11.7372808456;4;25.1279890537;2;11.9568338394;11.4571752548;5;24.7025904655;
14;2;20.268743515;12.0336990356;4;25.6242921352;2;13.9568338394;11.8107032776;5;25.3068172932;
15;2;21.3100376129;12.2662630081;4;26.0160515308;2;15.9568338394;12.0916318893;5;25.789717555;
16;2;22.3243255615;12.446267128;4;26.1558350325;2;16.9854335785;12.3113050461;5;26.1736010313;
17;2;23.3388690948;12.5;4;26.1887089014;2;17.7228336334;12.8444318771;5;26.2577478886;
18;2;24.3536624908;12.5;3;26.2221269608;2;19.0058269501;12.5;6;26.3048160076;
19;2;25.3687000275;12.5;6;26.2560760975;2;19.9185829163;12.5;6;26.3530313969;
20;3;25.8152351379;12.5;3;36.2905418873;2;19.9294319153;12.5;6;26.4023760557;
21;3;26.8307437897;12.5;3;36.725508213;2;19.625;13.0609502792;6;26.4528282881;
22;3;27.8464794159;12.5;4;37.1353589296;2;19.9518871307;12.5;7;26.5043625832;
23;3;28.8624305725;12.5;4;37.5188140869;2;19.9634819031;12.5;7;26.5569496155;
24;3;29.8785934448;12.5;4;37.8752725124;2;19.9753131866;12.5;7;26.6105561256;
25;3;28.8949565887;13.5;4;38.2047438622;2;19.9873752594;12.5;7;26.6651450396;
26;3;28.4319267273;14.5;4;38.5077594519;2;19.9996566772;12.5;8;26.72067523;
27;4;27.5284099579;15.5;3;38.7852765322;2;20.0121517181;12.5;8;26.7771017551;
28;4;26.6173019409;16.5;4;39.0385774374;2;20.024848938;12.5;8;26.8343759775;
29;5;25.6989822388;17.5;3;39.2691723108;2;18.0377349854;13.5;8;26.8924454451;
30;5;24.7738990784;18.5;3;39.4787142277;2;17.0508003235;14.5;8;26.9512542486;
31;5;23.8425445557;19.5;3;39.6689270735;2;16.064031601;15.5;8;27.0107431412;
