Turn;Planet_count_KI_1_SP_GYSACHE;Research_KI_1_SP_GYSACHE;Industry_KI_1_SP_GYSACHE;Ships_KI_1_SP_GYSACHE;Population_KI_1_SP_GYSACHE;Planet_count_KI_6_SP_REPLICON;Research_KI_6_SP_REPLICON;Industry_KI_6_SP_REPLICON;Ships_KI_6_SP_REPLICON;Population_KI_6_SP_REPLICON;
1;1;6.0;14.0;4;20.0;1;6.0;14.0;4;20.0;
2;1;7.0;13.0;4;20.0;1;7.0;13.0;6;20.0;
3;1;8.0;12.0;4;20.0;1;8.0;12.0;6;20.0;
4;1;9.0;11.0;4;20.0;1;8.0;11.0;6;20.0;
5;1;10.0;10.0;4;20.0;1;8.0;10.0;6;20.0;
6;1;11.0;10.0;4;20.0;1;9.0;10.0;5;20.0;
7;2;12.0;10.3000001907;3;21.0;1;9.5;10.0;5;20.0;
8;2;13.4499998093;10.0;3;21.3999996185;1;9.5;10.0;5;20.3999996185;
9;2;14.4499998093;10.1999998093;3;21.7264003754;1;9.59000015259;10.1999998093;5;20.7264003754;
10;2;14.7768793106;10.3632001877;3;22.8494274616;1;9.66343975067;10.3632001877;5;20.9903717041;
11;2;15.282242775;10.9097137451;3;23.7921946049;1;9.72283363342;10.4951858521;5;22.0419120789;
12;2;15.7064886093;11.3658018112;3;24.5663278103;1;9.95943069458;11.0209560394;5;22.9143505096;
13;2;18.2960090637;11.7372808456;3;25.1909153461;2;11.7228336334;11.7571754456;4;24.6214065552;
14;2;20.2960090637;12.0336990356;3;25.6883610487;2;13.7228336334;11.8107032776;4;25.2132637501;
15;2;21.3388690948;12.2662630081;4;26.0812431574;2;15.7228336334;12.0916318893;4;25.6832010746;
16;3;22.3536624908;12.446267128;3;26.2221269608;2;16.9614658356;12.3113050461;4;26.0535256863;
17;3;23.3687000275;12.5;3;26.2560760975;2;17.9684810638;12.4808797836;4;26.1235172749;
18;3;24.3839759827;12.5;4;26.2905418873;2;18.9756240845;12.5;5;26.1558350325;
19;3;25.3994865417;12.5;4;26.3255085945;2;19.8850631714;12.5;5;26.1887089014;
20;3;25.8464794159;12.5;6;26.3609591722;2;19.625;12.8566131592;6;26.2221269608;
21;3;25.8624305725;12.5;6;26.3968753815;2;19.8999786377;12.5;6;26.2560760975;
22;3;25.8785934448;12.5;6;26.4332377911;2;19.625;13.0024299622;6;26.2905418873;
23;3;25.8949565887;12.5;6;26.4700255394;2;19.625;13.0162162781;7;26.3255085945;
24;3;25.9115104675;12.5;6;26.5072168112;2;19.9232387543;12.5;7;26.3609591722;
25;3;23.9282474518;13.5;6;26.5447884798;2;19.625;13.0443840027;7;26.3968753815;
26;3;22.9451541901;14.5;6;26.5827163458;2;19.9392967224;12.5;7;26.4332377911;
27;3;21.962223053;15.5;6;26.6209751368;2;19.947479248;12.5;8;26.4700255394;
28;3;20.9794387817;16.5;6;26.6595385075;3;19.625;13.0880098343;7;26.5072168112;
29;3;19.9967918396;17.5;6;26.6983793974;3;19.625;13.1028871536;7;26.5447884798;
30;3;19.0142707825;18.5;6;26.7374696732;3;17.9725780487;13.5;7;26.5827163458;
31;3;18.0318603516;19.5;6;26.7767804861;3;16.9811115265;14.5;7;26.6209751368;
32;3;17.0495510101;20.5;6;26.8162822723;3;15.9897193909;15.5;7;26.6595385075;
33;3;16.0673274994;21.5;7;26.8559447527;3;14.9983959198;16.5;7;26.6983793974;
34;3;15.0851745605;22.5;7;26.8957372904;3;14.3821353912;17.5;7;26.7374696732;
35;3;14.8530817032;23.5;7;26.9356285334;3;14.3909301758;18.5;7;26.7767804861;
36;3;14.8710327148;24.5;8;26.9755871296;3;14.3997755051;19.5;7;26.8162822723;
37;3;14.8890142441;25.5;8;27.015581131;3;14.4086637497;20.5;8;26.8559447527;
38;3;14.9070110321;26.5;10;27.0555787086;3;14.4175872803;21.5;8;26.8957372904;
39;3;14.9250106812;27.5;10;27.0955479145;3;14.4265403748;22.5;8;26.9356285334;
40;3;14.9429969788;28.5;10;27.135456562;3;14.4355163574;23.5;10;26.9755871296;
41;3;14.9609556198;29.5;11;27.17527318;3;14.4445075989;24.5;10;27.015581131;
42;3;15.9788722992;27.5;10;27.2149660587;3;14.4535055161;25.5;10;27.0555787086;
43;3;14.9967346191;28.5;10;27.2545039654;3;14.4625053406;26.5;11;27.0955479145;
44;3;16.0145263672;27.5;12;27.293856144;3;14.4714984894;27.5;11;27.135456562;
45;4;17.0;28.5;12;28.3329925537;3;14.4804782867;28.5;11;27.17527318;
46;4;19.0;29.5;13;28.4018836021;4;14.4894361496;29.5;10;43.2149660587;
47;4;20.0;30.5;14;28.4710917473;4;17.4983673096;28.5;10;44.0545039177;
48;4;21.0;31.5;13;28.5405817032;4;18.0;30.2350006104;11;44.815205574;
49;4;22.0;31.5;13;28.6103184223;4;18.0;29.5;12;45.4962323904;
50;4;23.0;30.5;13;28.6802664995;4;19.0;27.5;12;46.1000980139;
51;4;24.0;29.5;13;28.750390172;4;20.0;29.5;12;46.6318004131;
52;4;25.0;28.5;14;28.8206534386;4;21.0;31.5;12;47.0979487896;
53;4;26.0;27.5;14;28.891020298;4;22.0;33.5;13;47.5059748888;
54;4;27.0;27.5;12;28.9614546299;4;23.5595302582;35.5;13;47.8634985685;
55;4;27.25;27.5;12;29.0319201946;4;24.5206661224;37.5;15;48.0841554403;
56;4;27.25;27.5;13;29.1023806334;5;23.625;37.5;14;48.1891697645;
57;4;27.25;27.5;13;29.1727998257;5;24.2096691132;37.5;14;48.2957246304;
58;4;27.25;27.5;13;29.2431416512;5;24.5915393829;37.5;16;48.403758049;
59;4;27.25;27.5;14;29.3133699894;5;24.6158466339;37.5;15;48.5132000446;
60;4;27.25;27.5;15;29.3834489584;5;23.625;37.5;17;48.6239724159;
61;4;27.25;27.5;15;29.4533427954;5;23.625;38.5;17;48.7359884977;
62;4;27.25;27.5;16;29.5230158567;5;24.2495822906;40.5;17;48.8491532803;
63;4;27.25;27.5;17;29.592433095;5;24.2572288513;41.9274749756;18;49.963363409;
64;4;27.25;27.5;17;29.6595385075;5;25.7417564392;42.5;19;50.1285073757;
65;4;27.25;27.5;17;29.6983793974;6;26.7676639557;44.5;17;72.0464408398;
66;4;27.25;27.5;18;29.7374696732;6;26.625;47.5;19;73.3045614958;
67;4;27.25;27.5;18;29.7767804861;6;27.625;50.5;19;74.3712724447;
68;4;27.25;28.5;19;29.8162822723;6;29.2935791016;53.5;19;75.2613294125;
69;4;27.25;29.5;19;30.934107542;6;29.625;54.7999992371;20;75.972233057;
70;4;27.7000007629;30.1420001984;19;31.8320548534;6;30.625;55.7999992371;20;76.5580791235;
71;4;26.7000007629;29.1420001984;20;32.5445170403;7;31.625;55.7999992371;19;77.0159906149;
72;4;26.1301136017;30.0;14;33.107306242;7;32.625;55.7999992371;19;77.1717983484;
73;4;25.1561698914;31.0;14;33.4053976536;7;34.6199035645;55.7999992371;20;77.3298660517;
74;4;24.7000007629;30.0;15;33.5226063728;7;34.9828948975;56.7999992371;20;77.4900019169;
75;5;25.7000007629;32.0;17;33.6393277645;7;35.7236785889;57.7999992371;20;78.2718271017;
76;5;27.7000007629;31.0;16;33.7554428577;7;36.0630607605;57.1990013123;21;80.6051279306;
