Turn;Planet_count_KI_1_SP_ABADDONI;Research_KI_1_SP_ABADDONI;Industry_KI_1_SP_ABADDONI;Ships_KI_1_SP_ABADDONI;Population_KI_1_SP_ABADDONI;Planet_count_KI_6_SP_EGASSEM;Research_KI_6_SP_EGASSEM;Industry_KI_6_SP_EGASSEM;Ships_KI_6_SP_EGASSEM;Population_KI_6_SP_EGASSEM;
1;2;6.0;12.1999998093;3;21.0;1;6.0;13.3000001907;4;17.0;
2;2;7.15000009537;11.0;3;21.0900000334;1;7.0;12.3000001907;5;17.0;
3;2;8.16349983215;10.0;3;22.2198190689;1;7.55000019073;11.3000001907;4;17.0;
4;2;8.33297252655;10.5;3;23.2035161257;1;7.55000019073;10.3000001907;4;17.0;
5;2;8.48052787781;10.9200000763;3;24.0523250103;1;7.55000019073;9.30000019073;4;17.0;
6;2;9.61849117279;11.2650718689;3;24.7834995985;1;8.55000019073;8.5;4;17.0;
7;2;10.5762882233;11.543302536;3;25.4170395136;1;8.82499980927;8.5;4;17.0;
8;2;10.7188329697;11.7641716003;3;26.2273244858;1;8.82499980927;8.5;4;17.0;
9;2;10.9011478424;12.0549411774;3;26.9346363544;1;8.82499980927;8.5;4;17.3400001526;
10;2;11.0602931976;12.2827939987;3;27.5625505447;1;8.9015007019;8.67000007629;4;17.6278438568;
11;2;11.2015733719;12.4589796066;3;27.9448955059;1;8.96626472473;8.81392192841;4;17.869726181;
12;2;14.1222896576;12.5;3;28.2704567909;1;9.02068901062;8.93486309052;4;18.786491394;
13;2;16.1222896576;12.5;3;28.6213619709;1;9.22696018219;9.39324569702;5;19.5780620575;
14;2;17.3420639038;12.5;3;28.9972100258;1;11.0206890106;9.78903102875;5;20.2480106354;
15;2;18.4266281128;12.5;3;29.3970427513;1;12.0206890106;10.1240053177;3;20.8052330017;
16;2;19.5165901184;12.5;3;29.8192887306;1;13.0206890106;10.4026165009;3;21.2618598938;
17;2;20.6115951538;12.5;4;30.261733532;1;14.0206890106;10.6309299469;3;21.6314201355;
18;2;20.808889389;12.5;4;30.7215180397;1;15.0206890106;10.8157100677;3;21.9274635315;
19;2;20.9123420715;12.5;4;31.1951727867;1;16.0206890106;10.9637317657;3;22.0;
20;2;21.018913269;12.5;4;31.6786952019;1;16.9500007629;11.0;4;22.0;
21;2;21.1277065277;12.5;4;32.1676626205;1;16.9500007629;11.0;3;22.0;
22;2;21.2377243042;12.5;3;32.6573815346;1;16.9500007629;11.0;4;22.0;
23;2;21.3479118347;12.5;4;33.1430597305;1;16.9500007629;11.0;5;22.0;
24;2;21.4571876526;12.5;5;33.6199941635;1;16.9500007629;11.0;6;22.0;
25;4;19.625;13.5;3;34.0837507248;1;16.9500007629;11.0;6;22.0;
26;4;18.625;13.5;2;34.530330658;1;16.9500007629;11.0;6;22.0;
27;4;18.625;13.5;1;34.9563045502;1;16.9500007629;11.0;6;22.0;
28;4;17.625;13.5;1;35.3589067459;1;16.9500007629;11.0;7;22.0;
29;4;17.625;14.5;1;35.7360839844;1;16.9500007629;11.0;7;22.0;
30;4;16.625;13.5;1;36.0865011215;1;16.9500007629;11.0;5;22.0;
31;4;15.625;13.5;1;36.4095058441;1;16.9500007629;11.0;5;22.0;
32;4;15.625;13.5;1;36.7050685883;1;16.9500007629;11.0;5;22.0;
33;4;16.625;14.5;2;36.9736919403;1;14.9500007629;12.0;5;22.0;
34;4;17.625;15.5;2;37.2163162231;1;13.9500007629;13.0;5;22.0;
35;4;18.625;16.5;2;37.4342164993;1;12.9500007629;14.0;5;22.0;
36;4;17.625;15.5;2;37.628909111;1;12.0;15.0;5;22.0;
37;4;17.625;15.5;2;37.8020629883;1;12.0;16.0;5;22.0;
38;4;16.625;14.5;2;37.9554233551;1;12.0;17.0;5;22.0;
39;4;15.625;13.5;2;39.0;1;12.0;18.0;5;22.0;
40;4;17.0;14.5;2;39.0499999523;1;12.0;19.0;6;22.0;
41;4;18.9249992371;15.5;3;39.1019749641;1;12.0;20.0;6;22.0;
42;4;19.1729431152;16.5;3;39.1559499502;1;12.0;21.0;7;22.0;
43;4;19.185087204;17.5;2;39.2119446993;1;12.0;22.0;8;22.0;
44;4;19.197687149;18.5;2;40.269973278;1;12.0;23.0;8;22.0;
45;4;19.9249992371;20.6349868774;4;40.4200433493;1;12.0;24.0;8;22.0;
46;4;21.9249992371;21.6349868774;4;40.5792747736;1;12.0;25.0;10;22.0;
47;4;23.5053348541;24.6349868774;4;40.7480425835;1;12.0;26.0;11;22.0;
48;4;23.9249992371;27.6349868774;6;40.9267004728;1;12.0;27.0;12;22.0;
49;4;25.2675552368;30.6349868774;6;41.1155737638;1;12.0;28.0;13;22.0;
50;4;26.2828941345;33.0;7;41.3149498701;1;12.0;29.0;13;22.0;
51;4;27.2958641052;32.5;8;41.5250688791;1;12.0;30.0;14;22.0;
52;4;26.9398899078;33.3961105347;10;41.7461137772;1;13.0;28.0;14;22.0;
53;5;26.95652771;33.4696617126;8;56.9781990051;1;12.0;29.0;15;22.0;
54;5;28.021522522;34.4412765503;9;57.9713596106;1;12.0;30.0;15;22.0;
55;5;28.5499992371;36.4800338745;9;58.8949143887;1;13.0;28.0;15;22.0;
56;5;29.5499992371;37.7377700806;10;59.7478733063;1;12.0;29.0;14;22.0;
57;5;31.6166305542;36.5;11;60.5324923992;1;12.0;30.0;15;22.0;
58;5;32.0455093384;38.5;12;61.2533972263;1;13.0;28.0;15;22.0;
59;5;33.7429695129;37.5;13;61.9167053699;1;12.0;29.0;16;22.0;
60;5;34.0834312439;38.5;13;62.529232502;1;12.0;30.0;16;22.0;
61;5;34.1381034851;40.2226791382;14;63.097858429;1;12.0;31.0;17;22.0;
62;5;35.0408477783;38.7719497681;15;63.5353579521;1;12.0;32.0;18;22.0;
63;5;35.1282958984;38.8159103394;15;63.8619801998;1;12.0;33.0;19;22.0;
64;5;35.7939491272;37.5;15;64.1938288212;1;12.0;34.0;19;22.0;
65;5;35.8686103821;37.5;16;64.5296738148;1;12.0;35.0;20;22.0;
66;5;34.9023475647;38.5;17;64.8682057858;1;13.0;33.0;20;22.0;
67;5;35.25;38.5;17;67.216848135;1;12.0;34.0;20;22.0;
68;6;33.6737174988;40.0396118164;16;69.2132771015;1;12.0;35.0;19;22.0;
69;6;31.6514167786;41.9745788574;14;70.9023680687;1;13.0;33.0;20;22.0;
70;6;31.7689495087;44.316696167;16;72.3317086697;1;12.0;34.0;20;22.0;
71;6;33.4863967896;43.5838470459;16;73.3834750652;2;12.0;35.0;19;22.0;
72;6;33.7687416077;40.9097442627;17;73.9754059315;2;13.0;33.0;20;22.0;
73;6;35.0617294312;40.0;17;74.5325274467;2;12.0;34.0;22;22.0;
74;6;34.1266784668;41.8061599731;18;74.9453356266;2;12.0;35.0;21;22.0;
75;6;33.5649032593;42.8492889404;18;76.3024439812;2;13.0;33.0;21;22.0;
76;6;33.5649032593;45.8918457031;18;76.6680486202;2;12.0;34.0;21;22.0;
77;6;32.5649032593;48.0;19;77.0212111473;2;12.0;35.0;21;22.0;
78;6;33.4208450317;52.0;19;77.3610121012;2;13.0;33.0;22;23.0;
79;6;34.463924408;56.0;19;77.6867541075;2;15.0;33.0;22;23.0199999809;
80;6;32.959487915;61.0;20;77.9979560375;2;17.0;33.0;23;23.0401959419;
81;6;33.9683074951;62.0;20;78.2943428755;2;18.2340431213;33.0;24;23.0605818033;
82;6;32.9771957397;65.1319656372;20;78.5758271217;2;19.1886310577;33.0;24;23.0811508894;
83;6;33.9861526489;65.1689758301;20;78.8424899578;2;19.1932601929;33.0;23;23.1018965244;
84;6;33.9951782227;65.2050247192;20;79.0945589542;2;19.197927475;32.0;24;23.1228116751;
85;6;33.0042610168;65.2400817871;21;79.332383275;2;19.2026329041;31.0;24;23.1438889503;
86;6;34.0134048462;65.2741317749;22;79.5564132929;3;19.2073764801;30.0;23;23.1651208401;
87;6;34.022605896;65.307144165;22;79.7671744823;3;18.9500007629;29.0;24;23.1864993572;
88;6;33.0318603516;68.3391113281;22;79.9652518034;3;19.2169628143;28.0;24;23.2080165148;
89;6;34.0411605835;68.3700332642;22;80.0950870514;4;19.2218036652;27.0;23;23.2296639681;
90;6;35.0505027771;65.3998947144;23;80.1747757196;4;18.9500007629;26.0;22;23.2514331341;
91;6;33.0598869324;68.4286956787;22;80.2524431944;4;19.2315731049;25.0;21;23.2733153105;
92;6;34.0693092346;68.4564437866;22;80.3280938864;4;19.2364959717;24.0;22;23.2953014374;
93;7;35.0787620544;65.4831542969;22;80.3841004372;4;19.241443634;23.0;22;23.3173824549;
94;7;33.0882415771;68.5;23;80.4064661264;4;19.2464122772;22.0;22;23.3395489454;
95;7;34.0977478027;68.5;23;80.428878665;4;19.2513999939;21.0;22;23.3617914915;
96;7;35.1072731018;65.5;24;80.4513280392;4;19.2564048767;21.0;22;23.3841004372;
97;7;33.1168136597;68.5;24;80.4738043547;4;19.261423111;21.0;22;23.4064661264;
98;7;34.1263656616;68.5;24;80.4962974787;4;19.266456604;21.0;21;25.0888785124;
99;7;35.135925293;65.5;24;80.5187973976;4;18.2714977264;23.0;21;25.7215727568;
100;7;33.145488739;68.5;24;80.5412938595;4;20.276550293;23.595123291;21;26.2492723465;
101;7;33.1550521851;72.5;25;81.5637768507;4;21.5438518524;24.8049659729;21;27.6912726164;
102;7;34.164604187;76.5;25;81.6762361526;4;23.0055351257;26.9690628052;21;27.9329665899;
