Turn;Planet_count_KI_1_SP_ABADDONI;Research_KI_1_SP_ABADDONI;Industry_KI_1_SP_ABADDONI;Ships_KI_1_SP_ABADDONI;Population_KI_1_SP_ABADDONI;Planet_count_KI_6_SP_EGASSEM;Research_KI_6_SP_EGASSEM;Industry_KI_6_SP_EGASSEM;Ships_KI_6_SP_EGASSEM;Population_KI_6_SP_EGASSEM;
81;9;35.5052833557;54.0;18;72.9789046049;4;21.272480011;32.0499992371;24;28.9700255394;
82;9;35.5322303772;57.0;18;73.4191968441;4;21.2807559967;32.0499992371;24;29.0072168112;
83;10;35.5588607788;59.5814437866;18;73.8892748356;4;21.2891235352;32.0499992371;24;29.7047883272;
84;11;35.5851211548;60.0;17;74.3908982277;4;19.2975769043;33.0499992371;26;31.3709088564;
85;11;35.6109466553;63.0;18;74.9018881321;5;21.3095874786;33.735874176;26;31.9540951252;
86;11;35.6362876892;66.0;19;75.4308998585;5;23.3218193054;35.0327606201;26;32.4439710379;
87;11;35.6611022949;68.6004257202;19;75.9949917793;5;24.0089759827;36.2802085876;26;32.6656856537;
88;11;35.685333252;70.9198913574;19;76.5933775902;5;24.0425643921;37.3908309937;26;32.8236670494;
89;11;35.7089538574;73.2652740479;20;77.2242217064;5;24.0625514984;38.4668884277;27;32.979780674;
90;11;35.7319259644;75.6354064941;21;78.8845205307;5;24.0828475952;38.5393829346;27;33.1264029741;
91;11;36.7542152405;79.0282669067;22;80.6300411224;5;24.1034393311;38.5999984741;27;33.2191591263;
92;11;39.7758026123;80.4409790039;23;81.48830688;5;24.1243095398;38.5999984741;27;33.3130784035;
93;11;40.0493278503;83.8697814941;24;82.3699711561;5;24.1454429626;38.5999984741;28;33.4080817699;
94;12;40.0843009949;87.3101654053;23;83.2680648565;5;24.1668167114;38.5999984741;28;33.5040857792;
95;12;41.1192207336;87.7569656372;25;84.1750246286;5;24.188419342;38.5999984741;29;33.6010032892;
96;13;40.1540908813;90.2046127319;24;85.0830620527;6;24.2102241516;38.5999984741;28;33.6987438202;
97;13;41.2157402039;90.556968689;24;85.9845632315;6;23.3999996185;38.5999984741;28;33.7972135544;
98;14;42.5959014893;90.556968689;24;86.8724787235;6;23.3999996185;40.5999984741;29;33.8963162899;
99;14;42.6680603027;90.556968689;25;87.7406651974;6;23.3999996185;42.5999984741;29;33.9959532022;
100;14;43.2666473389;90.556968689;25;89.5841346979;6;23.3999996185;46.5999984741;29;34.0960236788;
