Turn;Planet_count_KI_1_SP_ETTY;Research_KI_1_SP_ETTY;Industry_KI_1_SP_ETTY;Ships_KI_1_SP_ETTY;Population_KI_1_SP_ETTY;Planet_count_KI_6_SP_SCYLIOR;Research_KI_6_SP_SCYLIOR;Industry_KI_6_SP_SCYLIOR;Ships_KI_6_SP_SCYLIOR;Population_KI_6_SP_SCYLIOR;
1;2;9.19999980927;10.0;3;21.0;2;12.2999992371;8.625;3;18.25;
2;2;9.19999980927;10.0;3;21.0900000334;2;12.2999992371;8.625;3;18.3624999523;
3;2;9.21800041199;10.0;3;21.1871190071;2;12.3449993134;8.625;3;18.4864046574;
4;2;9.23742389679;10.0;3;21.2917383909;2;13.6418428421;8.625;3;18.6225773096;
5;2;10.3875217438;10.0;3;21.4042263031;2;14.7235460281;8.625;3;18.7718783617;
6;2;11.4212675095;10.0;3;21.5249304771;2;15.813126564;8.625;3;19.2953654528;
7;2;11.4574794769;10.0;3;22.0694183111;2;16.5772190094;8.79749965668;3;19.7829483747;
8;2;11.6208257675;10.1999998093;3;22.5515855551;2;16.86977005;8.94309806824;4;20.8357114792;
9;2;11.7654762268;10.3632001877;3;22.983014226;3;17.5014266968;9.3333568573;4;21.8100104332;
10;2;11.8949041367;10.4951858521;3;24.2738182545;3;19.5014266968;9.6677980423;4;22.7143921852;
11;2;12.2821455002;11.0209560394;3;25.4089095592;3;21.5014266968;9.94955635071;4;23.5604228973;
12;2;14.2821455002;11.4571752548;3;26.4029755592;3;23.1161308289;10.1834592819;4;24.3609085083;
13;2;16.2821464539;11.8107032776;3;27.276881218;3;23.6165466309;10.3752222061;4;25.1284193993;
14;2;17.5406589508;12.0916318893;3;28.0536293983;3;24.0770530701;10.5308046341;4;25.812277317;
15;2;18.6418800354;12.3113050461;3;28.755402565;3;24.4873657227;10.625;4;26.3455038071;
16;2;19.750667572;12.4808797836;4;29.1808357239;3;24.807302475;10.625;4;26.9138817787;
17;3;20.8668251038;12.5;4;29.5913586617;3;25.1483287811;10.625;4;27.513466835;
18;3;21.9899806976;12.5;4;30.0233430862;3;25.5080795288;10.625;4;28.1389698982;
19;3;23.0070037842;12.5;4;30.4742712975;3;25.8833808899;10.625;4;28.7838482857;
20;3;23.1422805786;12.5;4;30.9409928322;3;26.2703094482;10.625;5;29.4405097961;
21;3;23.2822971344;12.5;4;31.4197778702;3;28.6643066406;10.625;5;30.1006231308;
22;3;23.4259338379;12.5;4;31.906411171;3;30.0603733063;10.625;5;30.7555141449;
23;3;23.5719223022;12.5;5;32.3963236809;3;31.4533081055;10.625;5;31.3966121674;
24;3;23.7188968658;12.5;5;32.8847527504;3;32.8379669189;10.625;5;32.0158996582;
25;4;23.8654251099;12.5;4;33.3669252396;3;33.2095413208;10.625;5;32.6063127518;
26;4;21.8654251099;13.5;4;33.8382406235;3;33.5637893677;10.625;5;33.1620550156;
27;4;21.5;14.5;4;34.2944498062;3;33.8972320557;10.625;5;33.6787929535;
28;4;21.5;15.5;4;34.7318048477;3;34.2072753906;10.625;5;34.1537227631;
29;4;21.5;16.3927211761;4;35.1471776962;3;34.4922332764;10.625;5;34.5855169296;
30;4;20.5;15.3927221298;5;35.5381307602;3;34.7513122559;10.625;5;34.9741783142;
31;4;20.5;15.3927221298;5;35.9029474258;3;34.9845046997;10.625;6;35.3208265305;
32;4;19.5;14.3927221298;5;36.2406177521;3;35.1924972534;10.625;6;35.627453804;
33;4;19.5;14.5;5;36.5507898331;3;35.3764724731;12.625;6;35.8966779709;
34;4;18.5;13.5;5;36.8336925507;4;35.5380058289;14.625;5;36.1315116882;
35;4;17.5;13.5;5;37.0900468826;4;35.6789093018;16.625;5;36.3351631165;
36;4;17.5;14.5;6;38.3209609985;4;35.8010978699;18.625;5;36.5;
37;5;17.5;13.8999996185;4;38.6578348875;4;35.9000015259;20.625;6;36.5;
38;5;19.5;14.9519996643;4;38.9876960516;4;35.9000015259;20.625;6;36.5;
39;5;18.8826293945;13.5;4;39.3136892319;4;35.9000015259;20.625;6;36.5;
40;5;18.9313163757;13.5;4;39.6183350086;4;35.9000015259;20.625;8;36.5;
41;5;19.9855003357;14.5;4;39.8187118769;4;35.9000015259;20.625;8;36.5;
42;5;20.5;16.2274856567;4;40.0402543545;4;35.9000015259;20.625;8;36.5;
43;5;21.5;17.3161010742;3;40.2842636108;4;35.9000015259;20.625;8;36.5;
44;5;24.1852798462;20.3161010742;3;40.5518820286;4;35.9000015259;20.625;8;36.5;
45;5;26.2655639648;22.3161010742;3;40.8440244198;5;35.9000015259;20.625;6;51.5;
46;5;27.3532066345;24.3161010742;4;41.1613030434;5;36.9000015259;21.625;6;53.25;
47;5;28.3483905792;26.3161010742;5;41.5039470196;5;38.9000015259;23.625;6;54.0718744993;
48;5;28.4511833191;27.5;4;41.871723175;5;39.9000015259;25.625;6;54.8337886333;
49;5;27.3999996185;28.5;6;42.263862133;5;40.6958999634;27.625;6;57.2861019373;
50;5;27.3999996185;29.2055454254;7;42.6789975166;5;41.6578140259;30.0234375;7;59.4521193504;
51;5;28.3999996185;27.5;7;43.1151270866;5;42.5134849548;32.3489723206;7;61.3590261936;
52;5;28.9345378876;27.5;9;43.5695996284;5;43.2778549194;31.6102333069;7;63.0422046185;
53;5;27.3999996185;28.5;9;44.0391392708;5;43.9680862427;31.8168411255;7;64.5405657291;
54;5;26.3999996185;28.5;9;44.5199065208;6;44.6017456055;31.9782962799;6;65.6863224506;
55;5;26.35597229;29.5;10;45.007601738;6;45.0715179443;32.0;6;66.7365653515;
56;5;25.6022796631;30.5;9;45.4976010323;7;45.5248413086;33.0;5;67.5148301125;
57;5;23.6022796631;32.5;10;45.9851250648;7;45.9089012146;34.0;5;68.1688108444;
58;5;24.6022796631;32.5;11;46.465420723;7;46.3012886047;35.0;6;68.8837189674;
59;5;24.5;31.5;13;46.9339466095;7;46.7302322388;36.0;6;69.6554441452;
60;5;23.5;33.5;14;47.3865451813;7;47.1932678223;37.0;4;70.4770293236;
61;5;24.5;32.5;14;47.8195896149;7;47.6862182617;38.0;3;72.3386049271;
62;5;26.5;30.5;14;48.2300891876;7;49.203163147;40.0;5;73.327616334;
63;5;26.5;31.5;13;48.6157541275;7;50.7365684509;42.0;7;74.3382744789;
64;5;26.6847267151;32.5;14;48.9750175476;7;51.2776260376;44.0;7;75.3551776409;
65;5;27.7925052643;30.5;13;49.307009697;7;51.8167495728;46.0;7;76.3627156019;
66;5;26.8921031952;31.5;13;49.6115064621;7;52.3442420959;48.0;8;77.346208334;
67;5;24.8921031952;33.5;14;51.5110769272;8;52.8509788513;49.0;8;78.2929543257;
68;5;27.1921024323;31.0;11;53.1107234955;8;51.3290405273;51.0;8;79.1930253506;
69;5;29.4261035919;30.3899993896;11;54.4450292587;8;50.7722015381;53.0;8;80.0397050381;
70;5;25.6044597626;32.6872596741;11;55.5519151688;8;50.1762123108;55.0;8;80.8295433521;
71;5;25.6044597626;30.6872596741;11;56.3199892044;8;49.5388183594;56.5;7;81.5620758533;
72;5;26.6044597626;30.6872596741;11;56.8378124237;8;47.5388183594;54.5;6;82.239303112;
73;5;27.4317321777;31.6872596741;11;57.2912540436;9;46.5388183594;54.5;5;83.8650438786;
74;5;27.5133953094;32.6872596741;10;57.5752458572;9;46.5388183594;54.5;5;84.5417708158;
75;5;25.0133953094;34.6872596741;10;57.782907486;9;47.5388183594;55.5;5;87.385365963;
