Turn;Planet_count_KI_1_SP_ETTY;Research_KI_1_SP_ETTY;Industry_KI_1_SP_ETTY;Ships_KI_1_SP_ETTY;Population_KI_1_SP_ETTY;Planet_count_KI_6_SP_SCYLIOR;Research_KI_6_SP_SCYLIOR;Industry_KI_6_SP_SCYLIOR;Ships_KI_6_SP_SCYLIOR;Population_KI_6_SP_SCYLIOR;
1;1;9.0;10.0;4;20.0;1;11.8999996185;8.625;4;17.25;
2;1;9.0;10.0;5;20.0;1;11.8999996185;8.625;5;17.25;
3;1;9.0;10.0;6;20.0;1;11.8999996185;8.625;5;17.25;
4;1;9.0;10.0;6;20.0;1;11.8999996185;8.625;5;17.25;
5;1;10.0;10.0;6;20.0;1;12.8999996185;8.625;5;17.25;
6;1;11.0;10.0;6;20.0;1;13.8999996185;8.625;5;17.25;
7;1;11.0;10.0;6;20.3999996185;1;14.8999996185;8.625;5;17.5949993134;
8;1;11.1199998856;10.1999998093;6;20.7264003754;1;15.5569992065;8.79749965668;5;17.8861961365;
9;1;11.2179203033;10.3632001877;6;20.9903717041;1;15.7317180634;8.94309806824;5;18.6667137146;
10;1;11.2971115112;10.4951858521;6;22.0419120789;1;16.2000274658;9.3333568573;5;19.3355960846;
11;1;11.6125736237;11.0209560394;6;22.9143505096;1;17.2000274658;9.6677980423;5;19.8991127014;
12;1;11.8743057251;11.4571752548;6;23.6214065552;1;18.2000274658;9.94955635071;5;20.3669185638;
13;1;12.8743057251;11.8107032776;6;24.1832637787;2;20.2000274658;10.1834592819;4;21.7504444122;
14;1;13.8743057251;12.0916318893;6;24.6226100922;2;22.2000274658;10.3752222061;4;22.2616093159;
15;1;14.3867835999;12.3113050461;6;24.9617595673;2;23.9200267792;10.5308046341;5;22.6876000166;
16;2;16.3867835999;12.4808797836;5;26.0;2;25.062587738;10.625;5;22.9688290358;
17;2;18.3867835999;12.5;5;26.1299999952;2;26.2313251495;10.625;5;23.3002393246;
18;2;19.9517841339;12.5;5;26.2754310369;2;27.4301719666;10.625;5;23.688754797;
19;2;21.0244998932;12.5;6;26.4377241135;2;28.2132530212;10.625;5;24.1414179802;
20;2;22.1056461334;12.5;5;26.6183350086;2;28.4848518372;10.625;5;24.6650128365;
21;2;23.1959514618;12.5;5;26.8187118769;2;28.7990074158;10.625;5;25.2655425072;
22;2;24.2961387634;12.5;5;27.0402543545;2;29.159324646;10.625;6;25.9475607872;
23;2;25.4069099426;12.5;5;27.2842636108;2;29.5685367584;10.625;6;26.7133779526;
24;2;26.5289154053;12.5;5;27.5518820286;2;30.0280265808;10.625;6;27.5622024536;
25;3;27.6627235413;12.5;5;27.8440244198;2;30.5373210907;10.625;6;28.4893260002;
26;3;27.9220123291;12.5;6;28.1613030434;2;31.0935955048;10.625;6;29.4855060577;
27;3;28.0806522369;12.5;6;28.5039470196;2;31.6913032532;10.625;6;30.5367269516;
28;3;28.2519741058;12.5;6;28.871723175;2;32.3220367432;10.625;6;31.6245069504;
29;3;28.4358615875;12.5;6;29.263862133;2;32.9747047424;10.625;6;32.726849556;
30;3;28.6319313049;12.5;6;29.6789975166;2;33.6361083984;10.625;6;33.8198070526;
