Turn;Planet_count_KI_1_SP_ETTY;Research_KI_1_SP_ETTY;Industry_KI_1_SP_ETTY;Ships_KI_1_SP_ETTY;Population_KI_1_SP_ETTY;Planet_count_KI_6_SP_SCYLIOR;Research_KI_6_SP_SCYLIOR;Industry_KI_6_SP_SCYLIOR;Ships_KI_6_SP_SCYLIOR;Population_KI_6_SP_SCYLIOR;
96;7;35.2000007629;66.1999969482;8;72.0;10;37.0;83.3499984741;12;78.5;
97;7;34.2000007629;68.1999969482;7;72.0;10;37.0;85.3499984741;12;78.5;
98;7;34.2000007629;70.1999969482;8;72.0;10;38.0;84.3499984741;13;78.5;
99;7;35.2000007629;69.1999969482;8;72.0;10;37.0;86.3499984741;14;78.8600000143;
100;6;35.2000007629;68.1999969482;9;72.0;11;37.0540008545;88.5389938354;14;79.2304401398;
101;6;34.2000007629;70.1999969482;8;72.0;11;39.1122741699;85.5389938354;15;79.6102575064;
102;6;35.2000007629;69.1999969482;8;72.0;11;37.1750450134;88.5389938354;15;79.9983234406;
103;6;35.2000007629;68.1999969482;9;72.0;11;37.2425384521;91.5389938354;14;81.39346838;
104;6;34.2000007629;70.1999969482;9;72.0;11;39.4000015259;90.5389938354;14;82.8345063925;
105;6;34.2000007629;72.9499969482;10;72.0;11;40.3925018311;94.5389938354;15;84.3414422274;
106;6;34.2000007629;74.9499969482;10;72.0;11;41.4000015259;101.538993835;15;85.9160921574;
107;6;34.2000007629;76.9499969482;10;72.0;11;45.4000015259;104.538993835;14;86.5603837967;
108;6;34.2000007629;78.9499969482;12;72.0;11;45.4000015259;108.738998413;15;87.2163624763;
109;6;34.2000007629;80.9499969482;12;72.0;11;45.4000015259;113.738998413;16;87.8832244873;
110;6;36.2000007629;76.9499969482;13;72.0;11;46.8617744446;116.738998413;17;88.5602052212;
