Turn;Planet_count_KI_1_SP_ETTY;Research_KI_1_SP_ETTY;Industry_KI_1_SP_ETTY;Ships_KI_1_SP_ETTY;Population_KI_1_SP_ETTY;Planet_count_KI_6_SP_SCYLIOR;Research_KI_6_SP_SCYLIOR;Industry_KI_6_SP_SCYLIOR;Ships_KI_6_SP_SCYLIOR;Population_KI_6_SP_SCYLIOR;
91;13;39.5999984741;94.2426834106;15;90.7581547499;9;39.5500030518;62.5;18;75.9608197212;
92;13;40.5999984741;98.279083252;16;91.4913338423;9;39.5500030518;64.5;19;76.1908078194;
93;13;42.5999984741;99.3157653809;17;92.2229702473;9;39.5500030518;66.5;19;77.1155147552;
94;13;41.5999984741;103.35269928;17;92.9505234957;10;39.5500030518;68.5;18;95.3210611343;
95;13;41.5999984741;106.920043945;18;93.6715499163;10;40.5500030518;71.5;18;97.636077404;
96;13;42.5999984741;106.9715271;19;95.3837432861;10;41.5500030518;74.5;19;99.8196358681;
97;13;43.5999984741;107.601211548;20;96.1149735451;10;40.5500030518;73.5;19;102.847518921;
98;13;43.5999984741;110.669677734;20;96.8339061737;10;41.5500030518;76.5;19;104.768054008;
99;13;44.5999984741;110.738601685;23;97.538838625;10;43.5500030518;80.5;20;107.522901535;
100;13;44.5999984741;110.807929993;24;98.2283121347;10;45.5500030518;82.5;19;109.178151488;
101;13;44.5999984741;111.771018982;25;98.9011176825;10;46.5500030518;83.5;19;110.687166214;
102;13;45.5999984741;112.862953186;25;99.5562976599;10;45.5500030518;88.5;19;112.062320232;
103;13;46.5999984741;113.955215454;26;100.193139791;10;46.5500030518;89.5;20;113.221686244;
104;13;47.5999984741;115.047698975;29;100.811164379;10;45.5500030518;93.5;19;114.14834702;
105;13;48.5999984741;116.140327454;31;101.41010499;10;45.5500030518;96.5;20;115.027964592;
106;13;49.0;118.233016968;31;101.989892602;10;47.5500030518;93.5;21;115.85917449;
107;13;49.0;120.325683594;31;102.550626636;10;45.5500030518;96.5;21;116.641821861;
108;13;49.0;121.643112183;33;104.815698385;10;45.5500030518;99.5;21;117.376780629;
109;13;50.0;120.059654236;34;107.110404849;10;47.5500030518;96.5;22;118.065754294;
110;13;49.0;121.498596191;36;109.41909349;10;45.5500030518;99.5;23;118.711076379;
111;13;49.0;122.959991455;36;111.727177739;10;45.5500030518;102.5;23;119.315523386;
112;13;50.0;121.443702698;37;114.021725178;10;47.5500030518;99.5;23;119.831086397;
113;13;49.0;122.949401855;39;116.291864157;10;50.7751350403;103.5;22;120.227337599;
114;13;49.0;124.4765625;42;118.528963089;10;51.4227371216;107.5;23;120.610415459;
115;14;50.0;123.024421692;40;120.726601362;10;52.8610458374;105.5;23;120.981241703;
