Turn;Planet_count_KI_1_SP_SCYLIOR;Research_KI_1_SP_SCYLIOR;Industry_KI_1_SP_SCYLIOR;Ships_KI_1_SP_SCYLIOR;Population_KI_1_SP_SCYLIOR;Planet_count_KI_6_SP_REPLICON;Research_KI_6_SP_REPLICON;Industry_KI_6_SP_REPLICON;Ships_KI_6_SP_REPLICON;Population_KI_6_SP_REPLICON;
1;1;11.8999996185;8.625;4;17.25;1;6.0;14.0;4;20.0;
2;1;11.8999996185;8.625;5;17.25;1;7.0;13.0;6;20.0;
3;1;11.8999996185;8.625;5;17.25;1;8.0;12.0;6;20.0;
4;1;11.8999996185;8.625;5;17.25;1;8.0;11.0;6;20.0;
5;1;12.8999996185;8.625;5;17.25;1;8.0;10.0;6;20.0;
6;1;13.8999996185;8.625;5;17.25;1;9.0;10.0;5;20.0;
7;1;14.8999996185;8.625;5;17.5949993134;1;9.5;10.0;5;20.0;
8;1;15.5569992065;8.79749965668;5;17.8861961365;1;9.5;10.0;5;20.3999996185;
9;2;16.3317184448;8.94309806824;4;19.6667137146;1;9.59000015259;10.1999998093;5;20.7264003754;
10;2;16.8000278473;9.3333568573;4;20.3755960464;1;9.66343975067;10.3632001877;5;20.9903717041;
11;2;18.8000278473;9.6677980423;4;20.9802966118;2;9.72283363342;10.7951860428;4;23.0419120789;
12;2;20.8000278473;9.94955635071;4;21.4904720783;2;10.184431076;11.0209560394;4;23.964350462;
13;2;21.8741588593;10.1834592819;4;21.9175518751;2;11.9590835571;11.4571752548;4;24.7233815193;
14;2;22.2000274658;10.6086435318;4;22.2734507322;2;13.9590835571;11.8107032776;4;25.3392137289;
15;2;23.2000274658;10.7731733322;5;22.5077478886;2;15.7228336334;12.438416481;4;25.8345547915;
16;2;24.2000274658;11.0023241043;5;22.5548160076;2;16.7228336334;12.6748886108;4;26.2317328453;
17;2;25.2000274658;11.0164451599;5;22.6030313969;2;17.7228336334;12.8618717194;4;26.3300433159;
18;2;26.2000274658;11.0309095383;5;22.6523760557;2;18.7228336334;12.8990125656;5;26.3921557665;
19;2;26.75;11.045712471;5;22.7028282881;2;19.9382343292;12.5;5;26.4563041925;
20;2;26.75;11.0608482361;5;22.7543625832;2;19.625;12.9368915558;5;26.5224741697;
21;2;26.75;11.0763092041;6;22.8069496155;2;19.9675559998;12.5;5;26.5906432867;
22;2;26.75;11.0920848846;6;22.8605561256;2;19.625;13.1362571716;4;26.6607804298;
23;2;26.75;11.4302778244;6;22.9151450396;3;19.625;13.1643123627;3;26.7328453064;
24;2;26.75;11.457572937;6;22.97067523;3;20.0148906708;12.5;3;26.8067884445;
25;3;24.75;12.4853372574;5;23.0271017551;3;20.0315284729;12.5;6;26.8825509548;
26;3;25.75;10.625;5;23.0843759775;4;19.625;13.2530202866;5;26.9600640535;
27;3;26.75;11.5421876907;5;23.1424454451;4;19.625;13.2840251923;6;27.0392494202;
28;3;26.75;11.5712223053;5;23.2012542486;4;19.625;13.3156995773;7;27.120018959;
29;3;26.75;11.6006269455;5;23.2607431412;4;20.1020050049;12.5;7;27.2022752762;
30;3;26.75;11.6303710938;6;23.3208494186;4;18.1205120087;13.5;7;27.2859115601;
31;4;24.75;12.6604251862;5;23.3815076351;4;17.1393299103;14.5;7;27.3708124161;
32;4;25.75;11.6907539368;5;23.4426498413;4;16.1584320068;15.5;7;27.4568536282;
33;4;23.75;12.7213249207;5;23.5042052269;4;15.1777915955;16.5;7;27.5439035892;
34;4;24.75;11.7521028519;5;23.5661010742;4;14.5723781586;17.5;8;27.6318233013;
35;4;25.75;11.7830505371;5;23.6282629967;4;14.5921602249;18.5;9;27.7204678059;
36;4;26.75;13.7830505371;5;23.6906147003;4;14.6121053696;19.5;9;27.8096864223;
37;4;26.75;15.7830505371;5;23.7530794144;4;14.6321792603;20.5;9;27.8993241787;
38;4;26.75;17.7830505371;6;23.8155794144;4;14.6523475647;21.5;11;27.989222765;
39;4;26.75;19.7830505371;6;23.878036499;4;14.6725749969;22.5;11;28.079221487;
40;4;26.75;21.7830505371;7;23.940372467;4;14.6928253174;23.5;11;28.1691586971;
41;4;26.75;21.9701862335;8;24.0025100708;4;14.713060379;24.5;13;28.258872509;
42;4;26.75;22.0012550354;8;24.0643725395;5;14.7332458496;25.5;12;28.348202467;
43;4;26.75;22.0321865082;9;24.1258842945;6;14.7533454895;26.5;9;43.4369900227;
44;4;26.75;22.0629425049;9;24.186971426;6;15.7733230591;28.5;9;44.2750804424;
45;4;26.75;22.0934867859;9;24.2475619316;6;17.0;28.5;10;45.0316977501;
46;4;26.75;22.1237812042;9;24.3075861931;6;18.0;29.5;10;45.7058637142;
47;4;26.75;22.153793335;9;24.3669772148;6;19.0;30.0890007019;10;46.2999634743;
48;5;26.75;22.1834888458;7;40.4256706238;6;17.8513317108;30.0890007019;10;46.8188784122;
49;5;29.75;22.625;7;41.2536053658;6;16.8701992035;31.5;10;47.269115448;
50;5;30.75;25.625;8;42.0002939701;6;17.8887557983;31.5;10;48.6580181122;
51;5;30.75;28.270362854;9;42.6648427248;6;19.9069747925;33.5;11;49.0231335163;
52;6;30.75;30.2984848022;8;43.24971807;6;21.9248332977;35.5;10;49.2486321926;
53;6;31.75;30.625;9;43.7598788738;6;23.1809425354;37.5;10;49.3556931019;
54;6;32.75;31.1759490967;10;44.2019056082;6;24.2050304413;39.5;10;49.461468935;
55;6;32.8560028076;31.1864051819;9;44.5832099915;6;24.6010398865;40.5;11;49.5658854246;
56;6;32.8873825073;31.1969451904;9;44.9114019871;6;24.877325058;40.5;13;49.6688767672;
57;6;32.9181098938;31.2075614929;10;45.1001183987;6;24.6330375671;42.3320960999;15;49.7703857422;
58;6;32.9481735229;31.2182502747;10;46.6382197142;6;24.9233360291;42.0;15;49.8703639507;
59;6;33.5161247253;31.6274452209;10;48.9366084337;6;24.6632156372;42.8792533875;16;49.9687702656;
60;6;34.9968338013;32.9638061523;9;50.0827543736;6;24.6776008606;42.9033813477;16;50.0655722618;
61;6;36.400390625;35.23595047;11;51.0497716665;6;24.6915149689;42.0;17;50.1607447863;
62;7;36.7380752563;37.4534988403;10;51.8526166677;6;24.70495224;42.952671051;19;50.2542686462;
63;7;37.0210113525;38.9782943726;10;52.1344710588;6;24.717912674;42.0;20;50.34613204;
64;7;37.1354217529;41.6586914062;11;52.3743515015;6;24.7304000854;42.0;20;50.4363279343;
65;7;37.2227096558;43.3349189758;12;52.6152927876;6;24.7424182892;42.0;20;50.5072168112;
66;7;37.3086738586;44.3837547302;13;52.8569345474;6;24.75;42.0;22;50.5447884798;
67;8;35.3086738586;48.3571968079;12;53.0989296436;6;24.75;42.0;22;50.5827163458;
68;8;34.4000015259;50.665145874;12;53.3409472704;6;24.75;42.0;23;50.6209751368;
69;9;34.4000015259;54.3795852661;11;68.5826741457;6;24.75;42.0;22;50.6595385075;
70;9;36.4000015259;54.665145874;13;69.8738138676;6;24.75;42.0;23;50.6983793974;
71;10;38.4000015259;57.4020462036;12;71.0690661669;6;24.75;42.0;23;50.7374696732;
72;10;36.4000015259;61.4132957458;11;72.1576230526;6;24.75;42.0;23;50.7767804861;
73;10;36.4000015259;65.4245452881;12;73.1355848312;6;24.75;42.0;23;50.3162822723;
74;10;36.4000015259;69.4357910156;12;74.0050047636;6;24.75;41.75;23;50.6334449053;
75;10;36.4000015259;73.4470367432;12;74.7724229097;6;24.75;41.8887481689;23;50.8957372904;
76;10;37.4000015259;74.4582672119;12;75.4472743273;6;24.75;42.0;23;52.6745857;
77;10;36.4000015259;78.4694747925;13;76.0404355526;6;23.8500003815;43.7849998474;24;54.1364378929;
78;10;36.4000015259;82.4806671143;15;76.5630768538;6;24.0255012512;45.4127731323;24;55.3260583878;
79;10;37.4000015259;83.4918289185;15;76.9271408319;6;24.1592674255;46.9059257507;24;56.290346384;
80;10;36.4000015259;87.5029602051;15;77.1496175528;6;25.2593841553;45.2880935669;24;56.9103887081;
81;10;36.4000015259;91.2993392944;16;77.3691868782;6;24.2999992371;47.5;26;57.1025774479;
82;11;37.4000015259;91.3698577881;13;87.5856814384;6;24.8079776764;47.5;24;57.2904539108;
83;11;37.4000015259;95.4409561157;16;88.2750324011;6;25.2999992371;45.5;24;57.4737856388;
84;11;38.4000015259;99.5125198364;16;88.8912656307;6;24.8358974457;46.5;25;57.6523807049;
85;11;40.4000015259;97.5843811035;16;89.4772303104;6;24.8499279022;47.5;25;57.8260855675;
86;12;38.4000015259;101.656410217;16;105.030558467;6;24.8639831543;48.5;24;57.994784832;
87;14;39.4000015259;106.728439331;14;106.599869251;6;24.8780460358;49.5;25;58.1583976746;
88;15;41.4000015259;109.920433044;14;108.039661646;6;24.8920974731;50.5;25;58.3168749809;
89;15;41.4000015259;112.020637512;15;109.339690685;6;24.9061203003;51.5;25;58.470197916;
90;15;41.4000015259;114.120201111;16;110.497239351;6;24.9200992584;52.5;25;58.6183738708;
91;15;42.4000015259;117.218925476;17;111.516013861;6;24.9340133667;53.5;25;58.7614338398;
92;15;44.4000015259;117.316589355;18;112.404536128;6;24.9478492737;54.3174667358;26;58.8994297981;
93;15;44.4000015259;120.413017273;19;114.174423933;6;24.2999992371;54.3713226318;26;59.0009562969;
94;15;46.4000015259;124.508018494;21;115.878830671;6;24.9752140045;54.4000015259;23;59.060946703;
95;15;50.4000015259;126.601425171;22;116.530932784;6;24.2999992371;55.4000015259;23;59.1203000546;
96;15;50.7000007629;130.682022095;23;121.22748363;6;25.0020675659;54.4000015259;24;59.1789522171;
97;15;52.5279998779;136.237869263;24;124.428473234;6;25.0152626038;54.4000015259;22;59.2368423939;
98;16;55.1903152466;139.691238403;24;127.159588695;6;24.2999992371;55.4000015259;22;59.293913126;
99;16;55.709274292;141.656570435;25;129.494308591;6;24.2999992371;56.4000015259;23;59.350110054;
100;16;55.1092453003;147.94934082;32;133.667303801;6;24.2999992371;56.7450790405;23;59.40538311;
