Turn;Planet_count_KI_1_SP_ABADDONI;Research_KI_1_SP_ABADDONI;Industry_KI_1_SP_ABADDONI;Ships_KI_1_SP_ABADDONI;Population_KI_1_SP_ABADDONI;Planet_count_KI_6_SP_LAENFA;Research_KI_6_SP_LAENFA;Industry_KI_6_SP_LAENFA;Ships_KI_6_SP_LAENFA;Population_KI_6_SP_LAENFA;
80;8;29.3233566284;60.0;22;58.2928080559;7;25.6000003815;41.2436332703;14;37.6973289251;
81;8;28.2999992371;61.7864570618;22;58.8993079662;7;25.6000003815;43.3186645508;14;37.9133166075;
82;8;27.1555728912;63.0;23;59.5199409723;7;24.6000003815;45.3951797485;16;38.1351875067;
83;10;26.2999992371;64.0;21;61.1537414789;8;23.6000003815;47.4731140137;12;53.3628820181;
84;10;26.2999992371;66.0;22;61.8295917511;8;23.6000003815;50.8847427368;12;54.6463177204;
85;10;26.0;70.2618789673;22;62.5168190002;8;23.6000003815;55.2233047485;12;55.8403656483;
86;10;26.0;73.8421936035;22;63.2140140533;8;22.6000003815;58.3040847778;12;56.9343483448;
87;10;27.0;73.993637085;23;63.9020032883;8;22.0;61.3867874146;13;57.924454093;
88;10;26.0;77.1354827881;23;64.5651246309;8;22.0;64.4713668823;14;59.8127822876;
89;10;26.0;79.8380355835;23;66.2353004217;8;23.0;67.7924957275;16;60.6958780289;
90;10;28.0;79.9781188965;24;66.9406712055;8;24.0;70.9225311279;17;61.6005553007;
91;10;28.0;83.1168823242;25;67.64990592;8;24.0;74.1050720215;18;62.4459507465;
92;10;28.0;86.2537384033;25;68.3610320091;9;24.0;77.2939605713;17;63.2435690165;
93;10;30.0;83.3881378174;25;69.072052002;9;24.0;79.7428512573;17;63.9055578709;
94;10;28.0;86.5195922852;27;69.7809650898;10;25.0;79.6903152466;14;74.4489661455;
95;10;28.0;89.2255477905;27;70.4857846498;10;25.0;82.8973999023;14;76.5123724937;
96;10;30.0;85.3662338257;27;71.1845595837;10;27.0;87.1100769043;17;77.5978330374;
97;10;28.0;87.503074646;27;71.8753921986;10;29.0;88.3280029297;20;78.6722242832;
98;10;28.0;89.6358184814;29;72.5564552546;10;28.0;92.55078125;21;79.7326447964;
99;10;30.0;85.7642440796;29;73.226012826;10;29.0;93.7779464722;22;81.7769705057;
100;10;28.0;87.8882293701;29;73.882434845;10;30.0;96.0089569092;23;82.9037616253;
101;10;28.0;90.0076904297;29;74.5065733194;11;30.0;101.243225098;23;84.0210356712;
102;10;30.0;86.1226043701;31;75.0830435753;12;31.0;103.48008728;23;85.1288881302;
103;10;29.6958751678;87.3612365723;31;75.6442912817;12;31.0;105.718841553;22;86.2276718616;
104;10;29.0;90.3612365723;32;76.1892193556;12;30.0;110.958732605;23;87.3178579807;
105;10;30.3340873718;91.4162902832;32;76.7168946266;12;31.0;112.996276855;23;88.3999063969;
106;10;29.9696559906;93.4425888062;32;77.2265537977;12;31.0;113.973800659;26;89.4741735458;
107;10;29.3561115265;93.6326370239;33;77.7176067829;12;30.0;117.310783386;27;90.4451591969;
108;11;30.125;93.6604003906;33;78.1328929663;12;31.0;117.651824951;28;92.3766880035;
109;11;29.7999362946;92.3612365723;34;78.5002131462;12;32.0;118.996276855;29;93.3872261047;
110;11;30.0;96.3612365723;34;78.8551642895;12;32.0;123.343444824;31;94.4083549976;
111;11;30.0;94.9603729248;34;79.1973561049;12;33.0;124.692611694;32;95.4375519753;
112;11;29.0;95.1546478271;36;79.526538372;12;32.8686523438;131.433441162;34;96.4722182751;
113;11;30.0;97.2103042603;37;79.8425930738;12;33.0;133.760543823;34;97.5096966028;
114;13;30.0;94.2660446167;35;80.1455222368;12;33.0;137.079162598;37;98.5472975969;
115;13;29.9070186615;92.5;35;80.4354356527;12;32.6188812256;140.944580078;37;99.5823185444;
