Turn;Planet_count_KI_1_SP_ABADDONI;Research_KI_1_SP_ABADDONI;Industry_KI_1_SP_ABADDONI;Ships_KI_1_SP_ABADDONI;Population_KI_1_SP_ABADDONI;Planet_count_KI_6_SP_LAENFA;Research_KI_6_SP_LAENFA;Industry_KI_6_SP_LAENFA;Ships_KI_6_SP_LAENFA;Population_KI_6_SP_LAENFA;
1;1;6.0;12.0;4;20.0;1;6.0;14.1000003815;4;23.0;
2;1;7.0;11.0;5;20.0;1;7.0;13.1000003815;6;23.0;
3;1;8.0;10.0;6;21.0;1;8.0;12.1000003815;6;23.0;
4;2;8.14999961853;10.6999998093;5;22.8400001526;1;9.0;11.5;6;23.0;
5;2;8.42599964142;10.9200000763;5;23.6501437426;1;9.60000038147;11.5;6;23.0;
6;2;9.52799987793;11.2650718689;5;24.3396611214;1;10.6000003815;11.5;6;23.0;
7;2;10.4764242172;11.543302536;5;24.9285950661;1;11.6000003815;11.5;6;23.0;
8;2;10.6089334488;11.7641716003;5;25.6865624189;1;11.8999996185;11.5;6;23.4599990845;
9;2;10.7794761658;12.0549411774;5;26.3381440639;1;12.0380001068;11.7299995422;6;23.8212833405;
10;2;10.9260816574;12.2827939987;5;26.907253623;1;12.1463851929;11.9106416702;6;24.0;
11;2;11.0541315079;12.4589796066;5;27.2282226086;1;12.2000007629;12.0;6;25.2000007629;
12;2;13.0541324615;12.5;5;27.4905240536;1;14.1463851929;12.6000003815;6;26.1576004028;
13;2;15.0541324615;12.5;5;27.7771704197;2;16.1463851929;13.2788000107;5;27.9011039734;
14;2;16.2314033508;12.5;5;28.0888476372;2;18.1463851929;13.4505519867;5;28.505730629;
15;2;17.301530838;12.5;5;28.4258766174;2;19.4583854675;13.7328653336;5;28.9683127403;
16;2;18.377363205;12.5;5;28.7881331444;2;20.470741272;13.943564415;5;29.1235535145;
17;2;19.4588699341;12.5;5;29.1749720573;2;21.4834518433;14.0;5;29.1671074629;
18;2;20.5459098816;12.5;6;29.5851640701;2;22.4965171814;14.0;5;29.211841464;
19;2;20.6566619873;12.5;6;30.0168495178;2;22.763551712;14.0;5;29.2577478886;
20;2;19.625;13.5;6;30.4675207138;2;22.3999996185;14.3773241043;5;29.3048160076;
21;2;19.625;14.140255928;6;30.934035778;2;22.3999996185;14.3914451599;5;29.3530313969;
22;2;20.625;12.5;6;31.4126729965;2;22.8059082031;14.0;11;29.4023760557;
23;2;21.0678520203;12.5;6;31.8992233276;3;22.3999996185;14.420712471;6;58.2028282881;
24;2;21.1773262024;12.5;7;32.3891215324;3;23.3999996185;14.4358482361;6;60.2668633461;
25;2;21.2875518799;12.5;8;32.8776073456;3;24.3999996185;14.4513092041;6;61.853729248;
26;3;21.3974609375;12.5;7;33.3599052429;3;25.8670845032;14.0;6;63.0226159096;
27;3;19.625;13.5;7;33.8314113617;3;24.8831672668;15.0;6;63.8583594561;
28;4;19.625;14.5;7;34.2878704071;3;24.8995437622;16.0;6;64.4462039471;
29;5;19.625;15.5;6;44.7255268097;3;24.9162025452;17.0;7;64.5271017551;
30;5;18.625;17.5;7;45.5412416458;4;24.9331302643;18.0;6;64.5843759775;
31;5;18.625;19.5;7;46.3069677353;4;24.9503135681;19.0;6;64.6424454451;
32;5;18.625;20.7662849426;7;47.0197162628;4;24.9677333832;20.0;6;64.7012542486;
33;5;18.625;21.9488887787;7;47.6778860092;4;24.985376358;21.0;6;64.7607431412;
34;5;19.0;23.1179256439;6;49.2811450958;4;25.6032218933;22.0;6;64.8208494186;
35;5;21.0;24.7732124329;7;49.8702697754;4;26.6212539673;23.0;6;64.8815076351;
