Turn;Planet_count_KI_1_SP_ABADDONI;Research_KI_1_SP_ABADDONI;Industry_KI_1_SP_ABADDONI;Ships_KI_1_SP_ABADDONI;Population_KI_1_SP_ABADDONI;Planet_count_KI_6_SP_LAENFA;Research_KI_6_SP_LAENFA;Industry_KI_6_SP_LAENFA;Ships_KI_6_SP_LAENFA;Population_KI_6_SP_LAENFA;
91;1;18.2999992371;19.0;28;28.0;17;48.5999984741;140.414611816;13;126.352281332;
92;1;18.2999992371;19.0;28;28.0;17;49.5999984741;145.444946289;14;127.98056078;
93;1;18.2999992371;19.0;28;28.0;17;50.9998474121;148.731231689;16;130.43278265;
94;1;18.2999992371;19.0;28;28.0;17;55.6594848633;144.876617432;15;131.692299008;
95;1;18.2999992371;19.0;28;28.0;17;55.6824111938;148.020446777;15;132.801795065;
96;1;18.2999992371;19.0;27;28.0;17;56.7056655884;151.162445068;17;133.779672384;
97;1;18.2999992371;19.0;25;28.0;17;63.7121734619;156.644134521;21;134.570995271;
98;1;18.2999992371;19.0;24;28.0;17;67.7772674561;159.836761475;22;135.108688533;
99;1;18.2999992371;19.0;23;28.0;17;71.3348236084;160.025817871;24;135.455101967;
100;1;18.2999992371;19.0;23;28.0;18;71.5923309326;163.211029053;25;135.797993124;
