Turn;Planet_count_KI_1_SP_ABADDONI;Research_KI_1_SP_ABADDONI;Industry_KI_1_SP_ABADDONI;Ships_KI_1_SP_ABADDONI;Population_KI_1_SP_ABADDONI;Planet_count_KI_6_SP_LAENFA;Research_KI_6_SP_LAENFA;Industry_KI_6_SP_LAENFA;Ships_KI_6_SP_LAENFA;Population_KI_6_SP_LAENFA;
1;1;6.0;12.0;4;20.0;1;6.0;14.1000003815;4;23.0;
2;1;7.0;11.0;5;20.0;1;7.0;13.1000003815;6;23.0;
3;2;8.0;10.1999998093;4;22.0;2;9.0;12.3000001907;5;24.0;
4;2;8.29999923706;10.5;4;22.8400001526;2;11.0;11.5;5;24.2024999857;
5;2;8.42599964142;10.9200000763;4;23.5301437378;2;12.6000003815;11.5;5;24.4435712099;
6;2;9.50100040436;11.2650718689;4;24.086605072;2;14.0330715179;11.5;5;24.7294911146;
7;2;10.4194869995;11.543302536;4;24.5283432007;2;15.118847847;11.5;5;25.5443906784;
8;2;10.5188770294;11.7641716003;4;25.1298823357;2;15.6633176804;11.7299995422;5;26.3260052204;
9;2;10.6542234421;12.0549411774;4;25.6057839394;2;15.8978023529;11.9106416702;5;28.1293480396;
10;2;10.7613010406;12.2827939987;4;25.9785410166;2;16.4388046265;12.5274600983;5;29.7995557785;
11;2;10.8451719284;12.4589796066;5;26.0811508894;2;16.9398670197;13.0216779709;5;31.3769159317;
12;2;13.7658882141;12.5;5;26.1018965244;2;19.6433353424;13.4066829681;5;32.9072618484;
13;2;15.7658882141;12.5;5;26.1228116751;2;21.6433353424;13.6998376846;5;34.4330763817;
14;2;16.7798900604;12.5;5;26.1438889503;2;23.4949512482;13.9190797806;5;35.8252038956;
15;2;17.7846317291;12.5;5;26.1651208401;2;24.8640365601;14.0;5;37.1887292862;
16;2;18.7894077301;12.5;5;26.1864993572;2;26.2730941772;14.0;6;38.6645555496;
17;2;19.7942180634;12.5;5;26.2080165148;2;27.7158432007;14.0;6;40.2200279236;
18;2;19.8968029022;12.5;6;26.2296639681;2;29.0660076141;14.0;6;41.8122940063;
19;2;19.9016742706;12.5;6;26.2514331341;2;29.5436878204;14.0;6;43.3921031952;
20;2;19.9065723419;12.5;6;26.2733153105;2;30.0176315308;14.0;6;44.9094409943;
21;2;19.9114952087;12.5;6;26.2953014374;2;30.4728317261;14.0;7;46.3197822571;
22;2;19.9164428711;12.5;6;26.3173824549;3;30.8959350586;14.0;6;47.5893821716;
23;2;19.9214115143;12.5;6;26.3395489454;3;31.2768135071;14.0;6;48.6982631683;
24;3;19.926399231;12.5;5;26.3617914915;3;31.6094779968;14.0;6;49.6403942108;
25;3;19.9314041138;12.5;7;26.3841004372;3;31.892118454;14.0;6;50.4215278625;
26;4;19.625;12.9152297974;6;26.4064661264;3;32.1264572144;14.0;6;51.0557136536;
27;4;19.9414558411;12.5;6;26.428878665;3;32.3167114258;14.0;6;51.5616226196;
28;4;19.625;13.2144393921;6;26.4513280392;3;32.4684867859;14.0;6;51.9594326019;
29;4;19.95154953;12.5;6;26.4738043547;3;32.5878295898;14.0;6;52.25;
30;4;19.625;13.2369022369;6;26.4962974787;3;32.6749992371;14.0;6;52.25;
31;4;19.625;13.2481489182;6;27.5187973976;3;32.6749992371;14.0;6;52.25;
32;4;20.625;13.7593984604;6;27.5712938309;3;30.6749992371;15.0;6;52.25;
33;4;21.625;13.270647049;6;27.6243678331;3;31.6749992371;17.0;6;52.25;
34;4;21.9768505096;13.030295372;9;27.6780022383;3;32.6749992371;19.0;7;52.25;
35;4;21.8706474304;13.2931184769;9;27.7321790457;3;32.6749992371;21.0;7;52.25;
