Turn;Planet_count_KI_1_SP_ABADDONI;Research_KI_1_SP_ABADDONI;Industry_KI_1_SP_ABADDONI;Ships_KI_1_SP_ABADDONI;Population_KI_1_SP_ABADDONI;Planet_count_KI_6_SP_LAENFA;Research_KI_6_SP_LAENFA;Industry_KI_6_SP_LAENFA;Ships_KI_6_SP_LAENFA;Population_KI_6_SP_LAENFA;
77;1;17.625;17.5;17;25.0;6;20.6000003815;57.0;23;59.1058082581;
78;1;17.625;17.5;17;25.0;6;19.6000003815;59.0;24;59.1781286001;
79;1;17.625;17.5;18;25.0;6;21.6000003815;57.0;24;59.2512083054;
80;1;17.625;17.5;18;25.0;6;21.6000003815;59.0;25;59.3249988556;
81;1;17.625;17.5;18;26.0;6;22.6000003815;61.0;25;59.3994486332;
82;1;17.8500003815;18.0;18;26.7800006866;6;24.6000003815;60.0;28;59.4745035172;
83;1;18.0255012512;18.3899993896;19;27.3745174408;6;24.6000003815;62.0;28;59.5501067638;
84;2;19.1592674255;19.6872596741;17;28.8194847107;6;25.6000003815;63.7750549316;29;59.6261992455;
85;2;20.2593841553;20.9097423553;17;29.0399999619;6;27.6000003815;61.8130989075;29;59.70271945;
86;2;20.2999992371;22.0;17;29.0811839104;6;24.6000003815;61.8403053284;29;59.7796037197;
87;2;20.2999992371;23.0;17;29.1235535145;6;23.6000003815;62.8677406311;28;59.8567866087;
88;2;20.2999992371;24.0;17;29.1671074629;7;23.6000003815;58.8677406311;27;59.9342010021;
89;2;20.2999992371;24.8169746399;17;29.211841464;7;21.6000003815;58.8677406311;26;60.0117783546;
90;3;20.2999992371;24.0;17;29.2577478886;7;20.6000003815;59.018825531;26;60.089449048;
91;3;20.2999992371;24.0;17;29.3048160076;7;20.6000003815;57.018825531;26;60.1671423912;
92;3;18.2999992371;25.9133720398;17;29.3530313969;7;18.6000003815;58.018825531;27;60.2447874546;
93;3;17.2999992371;26.0;18;29.4023760557;7;18.0;60.0;27;60.3223128319;
94;3;16.2999992371;27.9816627502;18;29.4528282881;7;19.0;59.0;27;61.3996469975;
95;4;15.2999992371;28.0;17;29.5043625832;7;19.0;62.0;28;61.5367186069;
96;4;14.2999992371;29.0;17;29.5569496155;7;20.0;65.0;28;61.6764215231;
97;4;14.0;30.0;17;29.6105561256;7;21.0;65.0;28;61.8187547922;
98;4;14.0;31.0;17;29.6651450396;7;20.0;68.0;30;61.9637107849;
99;4;15.0;30.0;18;30.72067523;8;20.0;71.0;29;62.0954846144;
100;4;15.0;31.0;18;30.8371016979;8;21.0;70.665145874;30;62.2257918119;
