Turn;Planet_count_KI_1_SP_ABADDONI;Research_KI_1_SP_ABADDONI;Industry_KI_1_SP_ABADDONI;Ships_KI_1_SP_ABADDONI;Population_KI_1_SP_ABADDONI;Planet_count_KI_6_SP_ETTY;Research_KI_6_SP_ETTY;Industry_KI_6_SP_ETTY;Ships_KI_6_SP_ETTY;Population_KI_6_SP_ETTY;
127;9;24.0;65.0;22;63.1821138859;19;62.6996917725;154.078552246;29;152.147210002;
128;10;24.0;66.0;21;64.474594593;19;63.9147224426;160.368331909;30;155.242222309;
129;10;24.0;67.0;21;65.6871039867;19;68.1242218018;161.286895752;31;158.348231196;
130;10;24.0;68.0;22;66.806656599;20;70.2032470703;166.177520752;31;160.475977063;
131;10;25.0;66.0;24;67.8258948326;20;73.3304443359;169.850723267;32;163.5766083;
132;10;24.0;67.0;24;68.7428090572;20;73.657661438;175.503860474;33;165.61907351;
133;10;24.0;68.0;26;69.5598933697;21;74.8102722168;181.353622437;33;167.560080647;
134;10;25.0;66.0;26;70.2830102444;22;76.5554046631;184.040496826;33;170.534678578;
135;9;24.0;67.0;26;70.9201898575;24;77.3228530884;186.4737854;30;172.638394594;
136;9;24.0;68.0;27;71.4102144241;24;79.497718811;191.898132324;32;175.774791479;
137;9;25.0;66.0;26;71.8062756062;24;82.7623977661;198.312835693;29;178.058098912;
138;10;24.0;67.0;24;72.0470631123;24;87.156791687;198.717407227;28;181.374557734;
139;10;24.0;68.0;20;72.1622288227;24;88.0891647339;206.11151123;27;184.83743763;
140;10;25.0;66.0;20;73.5855035782;24;91.55909729;213.494888306;28;188.482249498;
141;10;24.0;67.0;19;75.0146138668;24;95.4611587524;218.149276733;30;193.000412583;
142;9;24.0;68.0;18;76.4398877621;25;97.3409805298;222.577133179;26;197.259124279;
143;9;25.0;66.0;19;77.8516507149;25;96.2378387451;228.996154785;27;202.063304186;
144;9;24.0;67.0;19;79.24051404;25;103.459197998;223.97593689;30;205.630230427;
145;9;24.0;68.0;22;80.5976443291;25;104.27999115;228.545257568;31;209.724168539;
146;10;25.0;66.0;20;82.9150137901;24;109.800506592;230.213424683;33;212.812422872;
147;10;25.0;68.0;20;84.2255952358;24;117.32056427;227.289657593;34;215.966667056;
148;10;26.0;70.0;19;85.4846949577;24;117.287452698;232.367599487;32;219.919955134;
