Turn;Planet_count_KI_1_SP_EGASSEM;Research_KI_1_SP_EGASSEM;Industry_KI_1_SP_EGASSEM;Ships_KI_1_SP_EGASSEM;Population_KI_1_SP_EGASSEM;Planet_count_KI_6_SP_SCYLIOR;Research_KI_6_SP_SCYLIOR;Industry_KI_6_SP_SCYLIOR;Ships_KI_6_SP_SCYLIOR;Population_KI_6_SP_SCYLIOR;
1;1;6.0;13.3000001907;4;17.0;1;11.8999996185;8.625;4;17.25;
2;1;7.0;12.3000001907;5;17.0;1;11.8999996185;8.625;5;17.25;
3;1;7.55000019073;11.3000001907;5;17.0;1;11.8999996185;8.625;4;17.25;
4;1;7.55000019073;10.3000001907;5;17.0;2;12.2999992371;8.625;3;18.25;
5;1;7.55000019073;9.30000019073;5;17.0;2;13.5;8.625;3;18.3624999523;
6;2;8.55000019073;9.10000038147;4;18.0;2;14.5674991608;8.625;3;18.4864046574;
7;2;8.82499980927;9.10000038147;4;18.0449999571;2;15.6418428421;8.625;3;18.9799406528;
8;2;8.82499980927;9.12699985504;4;18.0915547609;2;16.3879642487;8.79749965668;3;19.4354615211;
9;2;8.82499980927;9.15493297577;4;18.4905910492;2;16.661277771;8.94309806824;3;20.4437325001;
10;2;8.9015007019;9.36035442352;3;18.8399845362;2;17.2662391663;9.3333568573;3;21.369802475;
11;2;8.96626472473;9.54120635986;3;19.145963192;2;19.2662391663;9.6677980423;3;22.2224977016;
12;2;9.02068901062;9.70060539246;3;20.1549206972;2;21.2662391663;9.94955635071;3;23.013872385;
13;2;9.22696018219;10.2143030167;4;21.0440818071;2;22.7882003784;10.1834592819;3;23.7574646473;
14;2;11.0206890106;10.6686429977;4;21.8171498775;2;24.004240036;10.3752222061;3;24.4668486118;
15;2;13.0206890106;11.0654888153;4;22.4831271172;2;25.2431716919;10.5308046341;4;25.092634201;
16;2;15.0206890106;11.4093532562;4;23.0542217493;2;26.505607605;10.625;4;25.5694036484;
17;2;16.0206890106;11.7063474655;4;23.5440071821;2;27.7916698456;10.625;4;26.0847344398;
18;2;17.0206890106;11.963262558;4;23.9660406113;2;29.1008682251;10.625;4;26.6366324425;
19;2;18.0206890106;12.1868782043;4;24.1702980995;2;29.9819793701;10.625;4;27.2218022346;
20;2;18.9500007629;12.3021793365;5;24.3076715469;2;30.3330802917;10.625;4;27.8355960846;
21;2;18.9500007629;12.3846025467;5;24.4505701065;2;30.7013587952;10.625;5;28.4720544815;
22;2;18.9500007629;12.7153987885;5;24.5988156796;2;31.0832328796;10.625;5;29.1240577698;
23;2;18.9500007629;12.8191709518;5;24.7521765232;2;31.4744338989;10.625;5;29.7835845947;
24;3;18.9500007629;12.9265232086;4;24.9103667736;3;31.8701515198;10.625;5;30.442070961;
25;3;18.9500007629;13.0372562408;4;25.0730454922;3;32.2652435303;10.625;5;31.0908403397;
26;3;18.9500007629;13.1511316299;4;25.2398183346;3;32.6545028687;10.625;5;31.7215557098;
27;3;18.9500007629;13.2678728104;6;25.4102387428;3;33.0329360962;10.625;4;32.3266487122;
28;4;18.9500007629;13.3871669769;5;25.5838117599;3;33.3959884644;10.625;4;32.8996829987;
29;4;18.9500007629;13.5086679459;5;25.7599987984;3;33.7398071289;10.625;4;33.4356050491;
30;4;18.9500007629;13.6319990158;5;25.9382228851;3;34.0613632202;10.625;4;33.9308757782;
31;4;17.836101532;12.6319990158;5;26.1178760529;3;34.3585281372;10.625;4;34.3834724426;
32;4;16.8765220642;13.0;4;26.2983264923;3;34.6300811768;12.625;4;34.7927808762;
33;5;15.9171237946;14.0;4;37.4789280891;3;34.875667572;14.625;4;35.1594133377;
34;5;17.9500007629;14.8999996185;4;38.1340286732;3;35.0956497192;16.625;4;35.4849748611;
35;5;20.9500007629;15.967499733;4;38.7671992779;3;35.2909851074;18.625;4;35.7718133926;
36;5;22.2098350525;17.0;4;39.3767296076;3;35.4630889893;20.625;5;36.0227775574;
