Turn;Planet_count_KI_1_SP_EGASSEM;Research_KI_1_SP_EGASSEM;Industry_KI_1_SP_EGASSEM;Ships_KI_1_SP_EGASSEM;Population_KI_1_SP_EGASSEM;Planet_count_KI_6_SP_SCYLIOR;Research_KI_6_SP_SCYLIOR;Industry_KI_6_SP_SCYLIOR;Ships_KI_6_SP_SCYLIOR;Population_KI_6_SP_SCYLIOR;
1;1;6.0;13.3000001907;4;17.0;1;11.8999996185;8.625;4;17.25;
2;1;7.0;12.3000001907;5;17.0;1;11.8999996185;8.625;5;17.25;
3;1;7.55000019073;11.3000001907;5;17.0;1;11.8999996185;8.625;5;17.25;
4;2;7.55000019073;10.6999998093;4;18.0;1;11.8999996185;8.625;5;17.25;
5;2;7.7000002861;9.30000019073;4;18.0674999952;1;12.8999996185;8.625;4;17.25;
6;2;8.79018783569;8.5;4;18.1388356686;1;13.8999996185;8.625;4;17.25;
7;2;9.08123779297;8.5;4;18.2141259909;1;14.8999996185;8.625;4;17.5949993134;
8;2;9.09817790985;8.5;3;18.293479681;1;15.5569992065;8.79749965668;4;17.8861961365;
9;2;9.1160326004;8.5;3;18.7299283743;1;15.7317180634;8.94309806824;4;18.6667137146;
10;2;9.21423435211;8.67000007629;3;19.1200717688;1;16.2000274658;9.3333568573;4;19.3355960846;
11;2;9.30201625824;8.81392192841;3;19.470256567;1;17.2000274658;9.6677980423;4;19.8991127014;
12;2;9.38080787659;8.93486309052;3;20.5494670868;1;18.2000274658;9.94955635071;4;20.3669185638;
13;2;9.62362957001;9.39324569702;4;21.5171065331;2;20.2000274658;10.1834592819;3;21.7504444122;
14;2;11.4569740295;9.78903102875;4;22.3772938251;2;22.2000274658;10.3752222061;3;22.0816092491;
15;2;13.4569740295;10.1240053177;4;23.1393685341;2;23.8120269775;10.5308046341;4;22.2901959419;
16;2;15.4569740295;10.4026165009;4;23.8157744408;2;24.8241443634;10.625;4;22.3105818033;
17;2;16.5953197479;10.6309299469;4;24.4201948643;2;25.8363761902;10.625;4;22.3311508894;
18;2;17.6481628418;10.8157100677;4;24.9661467075;2;26.8487186432;10.625;4;22.3518965244;
19;2;18.7043933868;10.9637317657;4;25.3033924103;2;27.4111385345;10.625;4;22.3728116751;
20;2;18.9500007629;12.0;4;25.5824170113;2;27.4236869812;10.625;4;22.3938889503;
21;2;18.9500007629;12.7912082672;5;25.8750138283;2;27.4363327026;10.625;5;22.4151208401;
22;2;18.9500007629;12.9375066757;7;26.180170536;2;27.4490718842;10.625;5;22.4364993572;
23;2;18.9500007629;13.0900850296;7;26.4966025352;2;27.4618988037;10.625;5;22.4580165148;
24;2;18.9500007629;13.248301506;7;26.8227591515;2;27.4748096466;10.625;5;22.4796639681;
25;2;17.9500007629;12.248301506;7;27.1568431854;2;27.4877986908;10.625;5;22.5014331341;
26;2;17.1102905273;13.0;8;27.4968419075;2;27.5008602142;10.625;5;22.5233153105;
27;2;16.1867904663;14.0;8;27.8405680656;2;27.5139884949;10.625;5;22.5453014374;
28;2;15.3141279221;15.0;8;28.1857123375;2;27.5271816254;10.625;5;22.5673824549;
29;2;15.391784668;16.0;8;28.529902935;2;27.540430069;10.625;5;22.5895489454;
30;2;14.0;18.0;8;28.8707699776;2;27.553730011;10.625;5;22.6117914915;
31;2;14.0;20.0;8;29.2060108185;2;27.567073822;10.625;6;22.6341004372;
32;2;14.0;22.0;8;29.5334510803;3;27.5804595947;10.625;5;22.6564661264;
33;2;14.0;24.0;8;29.851102829;3;27.5938796997;10.625;5;22.678878665;
34;2;14.0;26.0;8;30.1572093964;3;27.6073265076;10.625;5;22.7013280392;
35;2;14.0;28.0;9;30.4502811432;3;27.6207962036;10.625;5;22.7238043547;
36;2;14.0;30.0;9;30.7291164398;3;27.6342830658;12.625;6;22.7462974787;
37;2;14.0;31.8562049866;9;30.9928131104;3;27.6477775574;14.625;6;22.7687973976;
38;2;14.0;33.0935325623;8;31.2407617569;3;27.661277771;16.625;6;22.7912938595;
