Turn;Planet_count_KI_1_SP_EGASSEM;Research_KI_1_SP_EGASSEM;Industry_KI_1_SP_EGASSEM;Ships_KI_1_SP_EGASSEM;Population_KI_1_SP_EGASSEM;Planet_count_KI_6_SP_SCYLIOR;Research_KI_6_SP_SCYLIOR;Industry_KI_6_SP_SCYLIOR;Ships_KI_6_SP_SCYLIOR;Population_KI_6_SP_SCYLIOR;
1;1;6.0;13.3000001907;4;17.0;1;11.8999996185;8.625;4;17.25;
2;1;7.0;12.3000001907;4;17.0;1;11.8999996185;8.625;4;17.25;
3;1;7.55000019073;11.3000001907;4;17.0;1;11.8999996185;8.625;4;17.25;
4;1;7.55000019073;10.3000001907;4;17.0;1;11.8999996185;8.625;4;17.25;
5;2;7.55000019073;9.69999980927;3;18.0;1;12.8999996185;8.625;4;17.25;
6;2;8.7750005722;8.5;3;18.0900000334;1;13.8999996185;8.625;4;17.25;
7;2;9.0702495575;8.5;3;18.1871190071;2;15.5;8.625;2;18.5949993134;
8;2;9.09210205078;8.5;3;18.2917383909;2;16.156999588;8.79749965668;2;18.8861961365;
9;2;9.11564064026;8.5;3;18.7571438551;2;16.3317184448;8.94309806824;2;19.696713686;
10;2;9.2203578949;8.67000007629;3;19.1807904243;2;16.8180274963;9.3333568573;2;20.396187067;
11;2;9.31567764282;8.81392192841;2;19.5693804026;2;18.8180274963;9.6677980423;2;20.9908788204;
12;2;9.40311145782;8.93486309052;2;20.7122055292;2;20.2000274658;9.94955635071;2;21.4904358387;
13;2;9.66024589539;9.39324569702;2;21.7555496693;2;21.2000274658;10.1834592819;2;21.9062794447;
14;2;11.5106239319;9.78903102875;2;22.7047069073;2;22.2000274658;10.3752222061;2;22.2503181696;
15;2;13.5106239319;10.1240053177;2;23.5700800419;2;23.2000274658;10.5308046341;3;22.4721269608;
16;2;15.5106239319;10.4026165009;2;24.3649902344;2;24.2000274658;10.625;3;22.5060760975;
17;2;16.7188930511;10.6309299469;2;25.1037259102;2;25.2000274658;10.625;3;22.5405418873;
