Turn;Planet_count_KI_1_SP_EGASSEM;Research_KI_1_SP_EGASSEM;Industry_KI_1_SP_EGASSEM;Ships_KI_1_SP_EGASSEM;Population_KI_1_SP_EGASSEM;Planet_count_KI_6_SP_SCYLIOR;Research_KI_6_SP_SCYLIOR;Industry_KI_6_SP_SCYLIOR;Ships_KI_6_SP_SCYLIOR;Population_KI_6_SP_SCYLIOR;
1;1;6.0;13.3000001907;4;17.0;1;11.8999996185;8.625;4;17.25;
2;1;7.0;12.3000001907;4;17.0;1;11.8999996185;8.625;5;17.25;
3;1;7.55000019073;11.3000001907;4;17.0;1;11.8999996185;8.625;4;17.25;
4;1;7.55000019073;10.3000001907;4;17.0;1;11.8999996185;8.625;5;17.25;
5;2;7.55000019073;9.9000005722;3;18.0;1;12.8999996185;8.625;5;17.25;
6;2;8.55000019073;9.10000038147;3;18.0249999762;1;13.8999996185;8.625;5;17.25;
7;2;8.82499980927;9.11499977112;3;18.0503686666;1;14.8999996185;8.625;5;17.5949993134;
8;2;8.82499980927;9.13022136688;3;18.0760987997;1;15.5569992065;8.79749965668;5;17.8861961365;
9;2;8.82499980927;9.14565944672;3;18.4529435635;1;15.7317180634;8.94309806824;4;18.6667137146;
10;2;8.9015007019;9.33776569366;3;18.7784832716;1;16.2000274658;9.3333568573;4;19.3355960846;
11;2;8.96626472473;9.50430583954;3;19.0589046478;1;17.2000274658;9.6677980423;3;19.8991127014;
12;2;9.02068901062;9.64836978912;3;20.0388250351;1;18.2000274658;9.94955635071;3;20.3669185638;
13;2;9.22696018219;10.1446456909;3;20.8961139917;1;19.2000274658;10.1834592819;3;20.7504444122;
14;2;11.0206890106;10.5798625946;3;21.6343632936;1;19.4502677917;10.3752222061;3;21.0616092682;
15;2;13.0206890106;10.9558172226;3;22.2624788284;1;19.6369667053;10.5308046341;3;21.25;
16;2;15.0206890106;11.2769641876;4;22.792591095;1;19.75;10.625;3;21.25;
17;3;16.0206890106;11.5493688583;3;23.238217473;1;19.75;10.625;3;21.25;
18;3;17.0206890106;11.7797880173;3;23.6128847599;1;19.75;10.625;3;21.25;
19;3;18.0206890106;11.974984169;3;23.766567111;1;19.75;10.625;3;21.25;
20;3;18.9500007629;12.0599403381;4;23.850186348;1;19.75;10.625;3;21.25;
21;3;18.9500007629;12.1101121902;4;23.9362165928;1;21.75;10.625;4;21.25;
22;3;18.9500007629;12.3553514481;4;24.0245814323;1;22.75;10.625;4;21.25;
23;3;18.9500007629;12.4172067642;4;24.1151900291;1;23.75;10.625;4;21.25;
24;3;18.9500007629;12.480632782;4;24.2079370022;1;24.75;10.625;4;21.25;
25;3;18.9500007629;12.5455560684;4;24.3027031422;1;24.75;10.625;4;21.25;
26;3;18.9500007629;12.6118917465;4;24.3993544579;1;24.75;10.625;4;21.25;
27;3;18.9500007629;12.6795482635;6;24.4977433681;1;24.75;10.625;4;21.25;
28;4;18.9500007629;12.7484207153;5;24.5977094173;1;24.75;10.625;4;21.25;
29;4;18.9500007629;12.8183965683;5;24.6990795135;1;24.75;10.625;4;21.25;
30;4;18.9500007629;12.8893556595;5;24.8016693592;1;24.75;10.625;4;21.25;
31;4;17.5803756714;12.0;5;24.9052844048;1;24.75;10.625;4;21.25;
32;4;16.6036891937;13.0;6;25.0097210407;1;24.75;10.625;4;21.25;
33;4;15.6271877289;14.0;7;25.1147687435;1;24.75;10.625;4;21.25;
