Turn;Planet_count_KI_1_SP_EGASSEM;Research_KI_1_SP_EGASSEM;Industry_KI_1_SP_EGASSEM;Ships_KI_1_SP_EGASSEM;Population_KI_1_SP_EGASSEM;Planet_count_KI_6_SP_SCYLIOR;Research_KI_6_SP_SCYLIOR;Industry_KI_6_SP_SCYLIOR;Ships_KI_6_SP_SCYLIOR;Population_KI_6_SP_SCYLIOR;
1;1;6.0;13.3000001907;4;17.0;1;11.8999996185;8.625;4;17.25;
2;1;7.0;12.3000001907;5;17.0;1;11.8999996185;8.625;5;17.25;
3;1;7.55000019073;11.3000001907;5;17.0;1;11.8999996185;8.625;5;17.25;
4;1;7.55000019073;10.3000001907;5;17.0;1;11.8999996185;8.625;6;17.25;
5;1;7.55000019073;9.30000019073;5;17.0;2;13.5;8.625;5;18.25;
6;1;8.55000019073;8.5;5;17.0;2;14.5;8.625;4;18.3624999523;
7;2;8.82499980927;9.10000038147;4;18.0;2;15.5674991608;8.625;4;18.8425289392;
8;2;8.82499980927;8.5;4;18.0974999666;2;16.3055171967;8.79749965668;4;19.2834601402;
9;2;8.82499980927;8.5;4;19.2344115973;2;16.5700759888;8.94309806824;4;20.2715096474;
10;2;9.05450057983;9.01000022888;4;20.259753108;2;17.1629047394;9.3333568573;4;21.1754176617;
11;2;9.25641441345;9.45869827271;4;21.1717824936;2;19.1629047394;9.6677980423;4;22.0040557384;
12;2;9.43018722534;9.84485912323;4;22.8077948093;2;20.2000274658;9.94955635071;4;22.7696070671;
13;2;9.75404548645;10.5645456314;5;24.2676920891;2;21.2000274658;10.1834592819;4;23.485840559;
14;2;11.4301872253;11.1847801208;5;25.5474460125;2;21.4502677917;10.3752222061;4;24.1666834354;
15;2;13.4301872253;11.7026844025;5;26.658854723;2;21.6369667053;10.5308046341;4;24.7632339001;
16;2;15.4301872253;12.1233530045;5;27.6240456104;2;21.75;10.625;4;25.210706234;
17;2;16.4301872253;12.4571447372;5;28.4699468613;2;21.75;10.625;4;25.6974492073;
18;2;17.4301872253;12.7169647217;5;29.2238988876;2;21.75;10.625;4;26.2223615646;
19;2;18.4301872253;12.9161214828;6;29.7768919468;2;21.75;10.625;4;26.7831263542;
20;2;20.2799873352;13.0;6;30.1913342476;2;21.75;10.625;4;27.3761043549;
21;2;20.793050766;13.0;6;30.2338833809;2;23.75;10.625;5;27.9963049889;
22;2;20.8026237488;12.8000001907;6;30.342651844;2;24.75;10.625;5;28.6374530792;
23;2;20.8270969391;12.6199998856;6;30.5109229088;2;25.75;10.625;6;29.2921695709;
24;2;20.8649578094;12.4580001831;6;30.7315430641;2;26.75;10.625;6;29.9522571564;
25;2;20.9145965576;12.3122005463;6;30.9969348907;2;26.75;10.625;6;30.6090812683;
26;2;20.9743099213;12.1809806824;7;31.2991681099;3;26.75;10.625;5;31.2540082932;
27;3;19.4282970428;13.0628824234;6;31.630092144;3;26.75;10.625;5;31.8788576126;
28;3;19.3804664612;13.9565944672;6;31.981511116;3;26.75;10.625;5;32.4763212204;
29;3;19.3374214172;14.8609352112;6;32.3454036713;3;26.75;10.625;5;33.0402956009;
30;3;19.2986793518;15.7748413086;6;32.7141571045;3;26.75;10.625;5;33.5661077499;
31;3;19.2638111115;16.6973571777;6;33.080783844;3;26.75;10.625;5;34.0506105423;
32;3;19.2324295044;17.627620697;6;33.4391136169;3;26.75;10.625;5;34.4921531677;
33;3;19.2041873932;18.5648593903;6;33.7839412689;3;26.75;10.625;5;34.8904571533;
34;3;19.178768158;19.5083732605;6;34.1111030579;3;26.75;10.625;5;35.2464103699;
35;3;19.1558914185;20.45753479;6;34.4174995422;3;26.75;10.625;5;35.561832428;
36;3;17.1558914185;22.45753479;6;34.7010545731;3;26.75;10.625;4;35.839220047;
37;3;18.1558914185;22.3706035614;6;34.9606313705;3;26.75;12.625;4;36.0815153122;
38;3;16.1558914185;24.3706035614;6;35.1959075928;3;26.75;14.625;4;36.2918977737;
