Turn;Planet_count_KI_1_SP_EGASSEM;Research_KI_1_SP_EGASSEM;Industry_KI_1_SP_EGASSEM;Ships_KI_1_SP_EGASSEM;Population_KI_1_SP_EGASSEM;Planet_count_KI_6_SP_SCYLIOR;Research_KI_6_SP_SCYLIOR;Industry_KI_6_SP_SCYLIOR;Ships_KI_6_SP_SCYLIOR;Population_KI_6_SP_SCYLIOR;
1;1;6.0;13.3000001907;4;17.0;1;11.8999996185;8.625;4;17.25;
2;1;7.0;12.3000001907;4;17.0;1;11.8999996185;8.625;5;17.25;
3;1;7.55000019073;11.3000001907;4;17.0;1;11.8999996185;8.625;5;17.25;
4;1;7.55000019073;10.3000001907;4;17.0;1;11.8999996185;8.625;6;17.25;
5;1;7.55000019073;9.30000019073;4;17.0;1;12.8999996185;8.625;6;17.25;
6;1;8.55000019073;8.5;4;17.0;1;13.8999996185;8.625;6;17.25;
7;1;8.82499980927;8.5;4;17.0;1;14.8999996185;8.625;6;17.5949993134;
8;1;8.82499980927;8.5;4;17.0;1;15.5569992065;8.79749965668;6;17.8861961365;
9;1;8.82499980927;8.5;4;17.3400001526;2;16.3317184448;8.94309806824;5;19.6667137146;
10;1;8.9015007019;8.67000007629;4;17.6278438568;2;16.8000278473;9.3333568573;5;20.3555960655;
11;1;8.96626472473;8.81392192841;4;17.869726181;2;18.8000278473;9.6677980423;5;20.9393086433;
12;1;9.02068901062;8.93486309052;4;18.786491394;2;20.8000278473;9.94955635071;5;21.4275003672;
13;1;9.22696018219;9.39324569702;4;19.5780620575;2;21.8363761902;10.1834592819;5;21.8315953016;
14;1;11.0206890106;9.78903102875;4;20.2480106354;2;22.0989589691;10.3752222061;5;22.1635057926;
15;1;12.0206890106;10.1240053177;4;20.8052330017;2;22.2981052399;10.5308046341;5;22.3728116751;
16;1;13.0206890106;10.4026165009;4;21.2618598938;2;22.4236869812;10.625;5;22.3938889503;
17;1;14.0206890106;10.6309299469;4;21.6314201355;2;22.4363327026;10.625;5;22.4151208401;
18;1;15.0206890106;10.8157100677;4;21.9274635315;2;22.4490718842;10.625;5;22.4364993572;
19;1;16.0206890106;10.9637317657;5;22.0;2;22.4618988037;10.625;5;22.4580165148;
20;1;16.9500007629;11.0;6;22.0;2;22.4748096466;10.625;5;22.4796639681;
21;2;16.9500007629;11.0;5;22.0;2;24.4877986908;10.625;5;22.5014331341;
22;2;16.9500007629;11.0;6;22.0;2;25.5008602142;10.625;5;22.5233153105;
23;2;16.9500007629;11.0;6;22.0;2;26.5139884949;10.625;5;22.5453014374;
24;2;16.9500007629;11.0;6;22.0;2;27.5271816254;10.625;6;22.5673824549;
25;2;16.9500007629;11.0;6;22.0;2;27.540430069;10.625;6;22.5895489454;
26;2;16.9500007629;11.0;6;22.0;2;27.553730011;10.625;7;22.6117914915;
27;2;16.9500007629;11.0;7;22.0;2;27.567073822;10.625;7;22.6341004372;
28;2;16.9500007629;11.0;7;22.0;2;27.5804595947;10.625;7;22.6564661264;
29;2;16.9500007629;11.0;7;22.0;2;27.5938796997;10.625;7;22.678878665;
30;2;16.9500007629;11.0;7;22.0;2;27.6073265076;10.625;7;22.7013280392;
31;2;16.9500007629;11.0;7;22.0;2;27.6207962036;10.625;7;22.7238043547;
32;2;16.9500007629;11.0;8;22.0;2;27.6342830658;10.625;7;22.7462974787;
