Turn;Planet_count_KI_1_SP_GEORGE;Research_KI_1_SP_GEORGE;Industry_KI_1_SP_GEORGE;Ships_KI_1_SP_GEORGE;Population_KI_1_SP_GEORGE;Planet_count_KI_6_SP_REPLICON;Research_KI_6_SP_REPLICON;Industry_KI_6_SP_REPLICON;Ships_KI_6_SP_REPLICON;Population_KI_6_SP_REPLICON;
1;1;6.0;14.0;4;20.0;1;6.0;14.0;4;20.0;
2;1;7.0;13.0;6;20.0;1;7.0;13.0;5;20.0;
3;1;8.0;12.0;6;20.0;1;8.0;12.0;5;20.0;
4;1;8.0;11.0;6;20.0;1;8.0;11.0;5;20.0;
5;1;8.0;10.0;6;20.0;1;8.0;10.0;5;20.0;
6;1;9.0;10.0;6;20.0;1;9.0;10.0;5;20.0;
7;1;9.5;10.0;6;20.0;1;9.5;10.0;5;20.0;
8;1;9.5;10.0;5;20.3999996185;1;9.5;10.0;5;20.3999996185;
9;1;9.59000015259;10.1999998093;5;20.7264003754;1;9.59000015259;10.1999998093;5;20.7264003754;
10;2;9.66343975067;10.6632003784;4;21.9903717041;1;9.66343975067;10.3632001877;5;20.9903717041;
11;2;9.94783401489;10.4951858521;4;23.0819120407;1;9.72283363342;10.4951858521;5;22.0419120789;
12;2;10.1934309006;11.0209560394;4;23.99553442;1;9.95943069458;11.0209560394;5;22.9143505096;
13;2;11.9660997391;11.4571752548;4;24.7449600697;1;11.7228336334;11.4571752548;5;23.6214065552;
14;2;13.9660997391;11.8107032776;4;25.3503712416;1;12.7228336334;11.8107032776;5;24.1832637787;
15;2;15.9660997391;12.0916318893;4;25.8344515562;1;13.7228336334;12.0916318893;5;24.6226100922;
16;2;16.9954986572;12.3113050461;4;26.2195074558;1;14.7228336334;12.3113050461;5;24.9617595673;
17;2;18.0058269501;12.4808797836;4;26.3048160076;1;15.7228336334;12.4808797836;5;25.0;
18;2;18.7228336334;12.5;5;26.3530313969;1;16.7228336334;12.5;6;25.0;
19;2;19.625;12.5;5;26.4023760557;1;17.625;12.5;6;25.0;
20;2;19.625;12.5;6;26.4528282881;1;17.625;12.5;7;25.0;
21;2;19.625;12.5;6;26.5043625832;1;17.625;12.5;7;25.0;
22;2;19.625;12.5;6;26.5569496155;1;17.625;12.5;7;25.0;
23;2;19.625;12.5;7;26.6105561256;1;17.625;12.5;8;25.0;
24;2;19.625;12.5;7;26.6651450396;1;17.625;12.5;8;25.0;
25;2;19.625;12.5;7;26.72067523;1;17.625;12.5;8;25.0;
26;2;19.625;12.5;7;26.7771017551;1;17.625;12.5;8;25.0;
27;2;20.024848938;12.5;7;26.8343759775;1;17.625;12.5;9;25.0;
28;2;19.625;13.2337503433;7;26.8924454451;1;17.625;12.5;9;25.0;
29;2;18.0508003235;13.5;7;26.9512542486;1;17.625;12.5;9;25.0;
30;2;17.064031601;14.5;7;27.0107431412;1;17.625;12.5;9;25.0;
31;2;16.0774173737;15.5;8;27.0708494186;1;15.625;13.5;9;25.0;
32;2;15.0909414291;16.5;8;27.1315076351;1;14.625;14.5;9;25.0;
33;2;14.4795894623;17.5;8;27.1926498413;1;13.625;15.5;9;25.0;
34;2;14.4933462143;18.5;8;27.2542052269;1;12.625;16.5;9;25.0;
35;2;14.5071964264;19.5;8;27.3161010742;1;12.0;17.5;9;25.0;
36;2;14.5211229324;20.5;8;27.3782629967;1;12.0;18.5;9;25.0;
37;2;14.5351085663;21.5;8;27.4406147003;1;12.0;19.5;9;25.0;
38;2;14.5491380692;22.5;9;27.5030794144;1;12.0;20.5;9;25.0;
39;2;14.5631923676;23.5;8;27.5655794144;1;12.0;21.5;10;25.0;
40;2;14.577255249;24.5;7;27.628036499;1;12.0;22.5;10;25.0;
41;2;14.0;25.5;8;27.690372467;1;12.0;23.5;10;25.0;
42;2;14.6053333282;26.5;8;27.7525100708;1;12.0;24.5;12;25.0;
43;2;14.6193141937;27.5;9;27.8143725395;1;12.0;25.5;12;25.0;
44;2;14.633234024;28.5;9;27.8758842945;1;12.0;26.5;12;25.0;
45;2;14.6470737457;29.5;10;27.936971426;1;12.0;27.5;13;25.0;
46;2;15.6608181;27.5;11;27.9975619316;1;12.0;28.5;14;25.0;
47;2;14.674451828;28.5;11;28.0575861931;1;12.0;29.5;14;25.0;
48;2;14.68795681;29.5;12;28.1169772148;1;13.0;27.5;15;25.0;
49;2;15.7013196945;27.5;13;28.1756706238;1;12.0;28.5;15;25.0;
50;2;14.7145261765;28.5;14;28.2336053848;1;12.0;29.5;17;25.0;
51;2;14.727560997;29.5;14;28.2907235622;1;13.0;27.5;16;25.0;
52;2;15.0;28.5;14;28.346971035;1;12.0;28.5;17;25.0;
53;2;16.753068924;28.5;12;28.4022974968;1;12.0;29.5;16;25.0;
54;2;17.0;28.5;12;28.4566559792;1;13.0;27.5;17;25.0;
55;2;18.0;28.5;10;28.5100040436;1;12.0;28.5;17;25.0;
56;2;19.0;28.5;11;28.5623030663;1;12.0;29.5;18;25.0;
57;2;19.625;28.5;12;28.6135182381;1;13.0;27.5;19;25.0;
58;2;20.438041687;26.5;12;28.6636190414;1;12.0;28.5;19;25.0;
59;2;19.625;26.5;13;28.7125790119;1;12.0;29.5;22;25.0;
60;2;19.625;26.5;14;28.7603754997;1;12.0;30.5;22;25.0;
61;2;20.4710845947;23.5;14;28.8069901466;1;12.0;31.5;22;25.0;
62;2;19.625;23.5;15;28.8524079323;2;12.0;32.5;21;37.75;
63;2;19.625;24.5;15;28.8966178894;3;14.0;31.5;19;53.3874998093;
64;3;21.501739502;23.5;15;29.9396123886;3;17.0;32.5;20;54.7215299606;
65;3;21.625;25.5;15;30.0113875866;3;20.0;33.5;22;55.9188146591;
66;3;22.5208129883;25.5;16;30.0605909824;3;22.0;34.5;22;56.9780426025;
67;3;22.5249996185;26.5;15;30.091766119;3;24.0;35.5;24;57.903096199;
68;3;22.5249996185;27.5;16;30.1235172749;4;26.625;36.5;24;59.7017698288;
69;3;22.5249996185;27.5;13;30.1558350325;5;29.625;36.5;21;75.5944719315;
70;3;22.5249996185;27.5;8;30.1887089014;6;30.625;39.5;20;77.1745984554;
71;3;22.5249996185;27.5;7;30.2221269608;6;32.625;42.5;25;78.6308867931;
72;3;22.5249996185;27.5;6;30.2560760975;7;34.0801544189;45.5;21;94.8755760193;
73;3;22.5249996185;27.5;8;30.2905418873;7;35.9141159058;48.5;20;96.5557074547;
74;4;22.5249996185;27.5;5;30.3255085945;7;38.4375;49.5;21;98.1543273926;
75;4;22.5249996185;27.5;6;30.3609591722;7;40.4375;50.5;21;99.6853752136;
76;4;22.5249996185;27.5;5;30.3968753815;7;42.4375;51.0262985229;21;101.166013718;
77;4;21.625;27.5;5;30.4332377911;7;41.025604248;53.4909095764;23;102.614253044;
78;4;22.5249996185;27.5;3;30.4700255394;7;40.1023330688;56.0211143494;24;103.95286417;
79;4;22.5249996185;27.5;4;30.5072168112;7;39.5125045776;58.6186408997;24;105.209034443;
80;4;22.5249996185;27.5;5;30.5447884798;7;40.5125045776;58.282409668;25;107.501058578;
81;4;22.5249996185;27.5;5;32.7181640863;8;41.5125045776;59.0078048706;25;118.800219893;
82;4;22.8500003815;30.0;5;33.7111878395;8;43.5125045776;61.0078048706;25;124.000358701;
83;4;24.9791984558;30.3899993896;5;34.5192505121;8;45.327796936;63.0078048706;26;128.718852878;
84;4;24.1592674255;32.6872596741;7;35.1779899597;8;46.7490081787;66.0078048706;27;132.9805969;
85;4;25.2593841553;32.9097442627;8;35.5722171068;8;48.1055488586;69.0078048706;28;136.806063533;
86;4;25.3313884735;34.0;7;35.7855935097;9;48.4062232971;70.0078048706;28;139.882987022;
87;4;23.3563079834;35.0;8;35.9983708858;9;49.5911865234;70.0078048706;29;141.859815717;
88;4;22.380657196;36.0;9;36.210300684;9;46.6259002686;71.0078048706;27;143.661462426;
89;4;21.4044017792;37.0;9;36.421148777;9;48.6626167297;71.0078048706;26;145.264165759;
90;4;20.4274997711;38.0;9;36.6306961775;9;48.7013702393;71.0078048706;25;146.660947561;
91;4;19.449924469;39.0;11;36.8387395144;9;45.125;76.0078048706;25;147.859204769;
92;5;19.1716499329;40.0;10;37.0450906754;9;45.125;80.5478439331;26;149.876502275;
93;5;19.192653656;41.0;10;37.2495775223;10;50.3599662781;86.6525650024;26;150.916031718;
94;5;19.2129211426;42.0;11;37.4520418644;10;55.345500946;92.7619476318;25;155.931398392;
95;5;19.2324390411;43.0;12;37.6523402929;10;58.2891387939;95.875869751;25;160.026048541;
96;5;19.251203537;44.0;12;37.8503427505;10;58.1756439209;101.994140625;25;163.357272029;
97;5;19.2692089081;45.0;13;38.0459320545;10;58.8777694702;108.116546631;26;166.061116934;
98;4;18.0;47.0;13;38.2390028238;11;60.4499435425;110.242805481;28;168.105435371;
99;4;18.0;49.0;13;38.4294599295;11;59.8983764648;115.372596741;32;169.530287981;
100;4;18.0;51.0;15;38.617218852;11;60.207660675;120.305534363;34;170.301686525;
