Turn;Planet_count_KI_1_SP_GEORGE;Research_KI_1_SP_GEORGE;Industry_KI_1_SP_GEORGE;Ships_KI_1_SP_GEORGE;Population_KI_1_SP_GEORGE;Planet_count_KI_6_SP_REPLICON;Research_KI_6_SP_REPLICON;Industry_KI_6_SP_REPLICON;Ships_KI_6_SP_REPLICON;Population_KI_6_SP_REPLICON;
83;6;27.9499988556;46.28307724;17;79.5837204456;13;32.1674423218;133.362472534;22;113.355469465;
84;6;27.6499996185;48.3444061279;17;79.8250894547;13;32.2037277222;137.373382568;23;114.551341057;
85;6;27.6499996185;48.6001739502;18;79.9274274111;13;33.239692688;140.931594849;25;116.672653079;
86;6;27.6499996185;49.6335983276;21;80.0295240879;13;37.7638168335;136.14755249;27;117.768572807;
87;7;27.6499996185;51.6661949158;18;80.1313197613;13;37.7988739014;138.35887146;28;119.766396642;
88;7;27.6499996185;53.6979522705;18;80.2327548265;13;37.8726730347;139.573730469;29;121.531300426;
89;6;25.6499996185;47.7288665771;18;59.3337696791;14;39.9164505005;141.782073975;25;144.081796288;
90;6;25.6499996185;48.7589263916;19;59.4343043566;15;37.991394043;145.983047485;26;146.281604171;
91;6;25.6499996185;49.7881355286;19;59.5107431412;16;39.0663528442;147.175994873;26;148.166241288;
92;6;25.6499996185;50.7999992371;20;59.5708494186;16;39.6831665039;148.360366821;26;149.633177996;
93;7;25.6499996185;51.7999992371;19;59.6315076351;16;40.7570495605;152.535797119;27;150.702376485;
94;7;25.6499996185;52.7999992371;19;59.6926498413;17;43.8298454285;155.826278687;28;151.546107769;
95;6;25.6499996185;54.7999992371;19;60.7542052269;19;45.901222229;156.854156494;30;152.15922296;
96;6;26.6499996185;55.7999992371;19;60.9161010981;20;48.9708557129;158.192184448;33;152.635750175;
97;6;27.6499996185;57.7999992371;19;61.0871629715;20;50.6384620667;159.389465332;33;153.099950075;
98;6;28.6499996185;56.7999992371;19;61.2678792477;20;49.7038002014;159.573974609;34;153.250948906;
99;6;27.6499996185;58.7999992371;19;61.4587267637;20;49.6991462708;159.746124268;34;153.418118477;
100;6;27.6499996185;60.7999992371;19;61.6601588726;20;51.6985816956;157.90637207;37;153.598054409;
