Turn;Planet_count_KI_1_SP_GEORGE;Research_KI_1_SP_GEORGE;Industry_KI_1_SP_GEORGE;Ships_KI_1_SP_GEORGE;Population_KI_1_SP_GEORGE;Planet_count_KI_6_SP_REPLICON;Research_KI_6_SP_REPLICON;Industry_KI_6_SP_REPLICON;Ships_KI_6_SP_REPLICON;Population_KI_6_SP_REPLICON;
1;1;6.0;14.0;4;20.0;1;6.0;14.0;4;20.0;
2;1;7.0;13.0;6;20.0;1;7.0;13.0;6;20.0;
3;1;8.0;12.0;6;20.0;1;8.0;12.0;6;20.0;
4;2;8.0;11.3000001907;5;21.0;1;8.0;11.0;6;20.0;
5;2;8.14999961853;10.0;5;21.1200000048;1;8.0;10.0;5;20.0;
6;2;9.25199985504;10.0;5;21.2530560493;1;9.0;10.0;5;20.0;
7;2;9.78193759918;10.0;5;21.4002518654;1;9.5;10.0;5;20.0;
8;2;9.81505680084;10.0;5;21.9766796827;1;9.5;10.0;5;20.3999996185;
9;2;9.94475364685;10.1999998093;5;22.4989564419;1;9.59000015259;10.1999998093;5;20.7264003754;
10;2;10.0622644424;10.3632001877;5;22.9796661139;1;9.66343975067;10.3632001877;5;20.9903717041;
11;2;10.1704244614;10.4951858521;4;24.3497066498;2;9.72283363342;10.7951860428;4;23.0419120789;
12;2;10.4786844254;11.0209560394;4;25.5842888355;2;10.184431076;11.0209560394;4;23.9343504906;
13;2;12.3235692978;11.4571752548;4;26.7006480694;2;11.9523334503;11.4571752548;4;24.6616024971;
14;2;14.3235702515;11.8107032776;4;27.7219514847;2;13.9523334503;11.8107032776;4;25.243845582;
15;2;16.3235702515;12.0916318893;4;28.6730384827;2;15.9523334503;12.0916318893;4;25.7037609816;
16;2;17.634180069;12.3113050461;4;29.5772051811;2;16.9660930634;12.3113050461;4;26.0636560917;
17;2;18.76130867;12.4808797836;3;30.2332024574;2;17.9707603455;12.4808797836;4;26.1228116751;
18;2;19.9003047943;12.5;4;30.9013147354;2;18.7228336334;12.8368434906;5;26.1438889503;
19;2;20.952796936;12.5;4;31.6152963638;2;19.625;12.8431663513;4;26.1651208401;
20;2;21.1134414673;12.5;3;32.3684282303;2;19.8871517181;12.5;4;26.1864993572;
21;2;21.2828960419;12.5;3;33.151807785;2;19.8919620514;12.5;4;26.2080165148;
22;2;21.4591560364;12.5;3;33.9546136856;2;19.8968029022;12.5;4;26.2296639681;
23;2;21.639787674;12.5;4;34.7645931244;2;19.625;12.9918651581;5;26.2514331341;
24;4;21.8220329285;12.5;2;35.5687475204;3;19.625;13.0005731583;4;26.2733153105;
25;4;22.0029678345;12.5;2;36.3541374207;3;19.625;13.0093259811;5;26.2953014374;
26;4;22.1796798706;12.5;2;37.1087179184;3;19.9164428711;12.5;5;26.3173824549;
27;4;22.3494606018;12.5;2;37.8220767975;4;19.625;13.0269527435;4;26.3395489454;
28;4;18.3494606018;14.5;2;38.485994339;4;19.625;13.0358200073;4;26.3617914915;
29;4;16.625;16.5;2;39.0947532654;4;19.9314041138;12.5;4;26.3841004372;
30;4;15.625;18.5;2;39.6451883316;4;17.936422348;13.5;5;26.4064661264;
31;4;15.625;17.5;2;40.1365070343;4;16.9414558411;14.5;5;26.428878665;
