Turn;Planet_count_KI_1_SP_LAENFA;Research_KI_1_SP_LAENFA;Industry_KI_1_SP_LAENFA;Ships_KI_1_SP_LAENFA;Population_KI_1_SP_LAENFA;Planet_count_KI_6_SP_SCYLIOR;Research_KI_6_SP_SCYLIOR;Industry_KI_6_SP_SCYLIOR;Ships_KI_6_SP_SCYLIOR;Population_KI_6_SP_SCYLIOR;
1;1;6.0;14.1000003815;4;23.0;1;11.8999996185;8.625;4;17.25;
2;1;7.0;13.1000003815;6;23.0;1;11.8999996185;8.625;5;17.25;
3;1;8.0;12.1000003815;6;23.0;1;11.8999996185;8.625;4;17.25;
4;1;9.0;11.5;6;23.0;1;11.8999996185;8.625;3;17.25;
5;1;9.60000038147;11.5;6;23.0;1;12.8999996185;8.625;3;17.25;
6;2;10.6000003815;11.6999998093;5;24.0;1;13.8999996185;8.625;3;17.25;
7;2;11.9000005722;11.5;5;24.0750000477;2;15.5;8.625;2;18.5949993134;
8;2;12.2224998474;11.5;5;24.6255679131;2;16.156999588;8.79749965668;2;18.8861961365;
9;2;12.387670517;11.7299995422;5;25.0839956999;2;16.3317184448;8.94309806824;2;19.7067136765;
10;2;12.5251989365;11.9106416702;5;25.366725564;2;16.8240280151;9.3333568573;2;20.416779995;
11;2;12.6100187302;12.0;5;26.7052203417;2;18.8240280151;9.6677980423;2;21.0226662159;
12;2;14.5979509354;12.6000003815;5;27.8132634163;2;20.8240280151;9.94955635071;2;21.5340260267;
13;2;16.597951889;13.0788002014;5;28.7197560072;2;21.9002914429;10.1834592819;2;21.9622858763;
14;2;18.5979499817;13.4505519867;4;29.4604526758;2;22.9271316528;10.3752222061;2;22.3193571568;
15;2;19.744802475;13.7328653336;4;30.0714547634;2;23.9546756744;10.5308046341;3;22.5548160076;
16;2;20.8016834259;13.943564415;4;30.3878107071;2;24.9829177856;10.625;3;22.6030313969;
17;2;21.8627281189;14.0;5;30.6053924561;2;26.0118465424;10.625;3;22.6523760557;
18;2;22.9280033112;14.0;5;30.8371319771;2;27.0414524078;10.625;3;22.7028282881;
19;3;23.2511386871;14.0;4;31.0829088688;2;27.6216964722;10.625;3;22.7543625832;
20;3;23.3248729706;14.0;4;31.342400074;2;27.6526184082;10.625;3;22.8069496155;
21;3;23.4027194977;14.0;5;31.6150596142;2;27.6841697693;10.625;4;22.8605561256;
22;4;23.4845180511;14.0;4;31.9001049995;2;27.7163333893;10.625;4;22.9151450396;
23;4;23.5700302124;14.0;4;32.1965088844;2;27.74908638;10.625;4;22.97067523;
24;4;23.658952713;14.0;4;32.5030007362;3;27.7824058533;10.625;4;23.0271017551;
25;4;23.7509002686;14.0;4;32.8180756569;3;27.8162612915;10.625;5;23.0843759775;
26;4;23.8454227448;14.0;5;33.1400156021;3;27.8506259918;10.625;5;23.1424454451;
27;4;22.3999996185;15.0;5;34.466919899;3;27.8854675293;10.625;5;23.2012542486;
28;4;24.3999996185;14.5;5;34.8817434311;3;27.920753479;10.625;5;23.2607431412;
29;4;26.1390228271;14.0;5;35.3036493063;3;27.956445694;10.625;5;23.3208494186;
30;4;26.5910949707;14.0;5;35.7307623625;3;27.9925098419;10.625;5;23.3815076351;
31;4;26.7192287445;14.0;5;36.1612095833;3;28.0289039612;10.625;5;23.4426498413;
