Turn;Planet_count_KI_1_SP_EAXAW;Research_KI_1_SP_EAXAW;Industry_KI_1_SP_EAXAW;Ships_KI_1_SP_EAXAW;Population_KI_1_SP_EAXAW;Planet_count_KI_6_SP_GEORGE;Research_KI_6_SP_GEORGE;Industry_KI_6_SP_GEORGE;Ships_KI_6_SP_GEORGE;Population_KI_6_SP_GEORGE;
1;1;6.0;12.0;4;20.0;1;6.0;14.0;4;20.0;
2;1;7.0;11.0;4;20.0;1;7.0;13.0;4;20.0;
3;1;8.0;10.0;4;20.0;1;8.0;12.0;4;20.0;
4;1;9.0;10.0;4;20.0;1;8.0;11.0;4;20.0;
5;1;9.0;10.0;4;20.0;1;8.0;10.0;4;20.0;
6;1;10.0;10.0;4;20.0;1;9.0;10.0;4;20.0;
7;1;11.0;10.0;4;20.0;1;9.5;10.0;4;20.0;
8;1;11.0;10.0;4;20.3999996185;1;9.5;10.0;4;20.3999996185;
9;1;11.1199998856;10.1999998093;4;20.7264003754;2;10.5900001526;10.5;3;21.7264003754;
10;1;11.2179203033;10.3632001877;4;20.9903717041;2;11.6634397507;10.3632001877;3;21.9903717041;
11;1;11.2971115112;10.4951858521;4;22.0419120789;2;12.7228336334;10.4951858521;3;23.0719120502;
12;1;11.6125736237;11.0209560394;4;22.9143505096;2;13.1911811829;11.0209560394;3;23.9749414921;
13;1;13.2971115112;11.4571752548;5;23.6214065552;2;14.9614667892;11.4571752548;3;24.7131726742;
14;2;15.2971115112;12.0107030869;4;25.1832637787;2;16.9614677429;11.8107032776;3;25.3067810535;
15;2;17.2971115112;12.0916318893;5;25.662610054;2;18.7228336334;12.4286870956;3;25.7784451246;
16;2;18.6091117859;12.3113050461;5;26.0429434776;2;19.9828968048;12.3113050461;3;26.1504684687;
17;2;19.6214675903;12.4808797836;5;26.1235535145;2;20.7228336334;12.8374919891;5;26.2221269608;
18;2;20.6341781616;12.5;5;26.1671074629;3;21.9978122711;12.5;4;26.2560760975;
19;2;21.6472434998;12.5;6;26.211841464;3;22.625;12.5;5;26.2905418873;
20;2;21.8635520935;12.5;6;26.2577478886;3;22.625;13.0162162781;5;26.3255085945;
21;2;21.877325058;12.5;5;26.3048160076;3;22.9232406616;12.5;5;26.3609591722;
22;2;21.8914451599;12.5;5;26.3530313969;3;22.625;13.0443840027;5;26.3968753815;
23;2;21.9059104919;12.5;6;26.4023760557;3;22.625;13.0587501526;5;26.4332377911;
24;2;21.9207134247;12.5;7;26.4528282881;3;22.625;13.0732955933;5;26.4700255394;
25;2;21.5;12.9358482361;7;26.5043625832;3;22.625;13.0880098343;5;26.5072168112;
26;2;21.5;12.9513092041;7;26.5569496155;3;22.625;13.1028871536;5;26.5447884798;
27;2;21.9670848846;12.5;7;26.6105561256;3;20.9725761414;13.5;5;26.5827163458;
28;2;19.9831676483;13.5;7;26.6651450396;3;19.9811115265;14.5;6;26.6209751368;
29;2;18.9995441437;14.5;7;26.72067523;4;18.9897193909;15.5;6;39.1391689777;
30;2;18.0162029266;15.5;7;26.7771017551;5;18.9983959198;16.5;5;39.8357323408;
31;2;16.5;16.5;7;26.8343759775;5;19.3821353912;17.5;5;40.480802536;
32;2;15.5;17.5;7;26.8924454451;5;20.3909301758;18.5;6;41.0707629919;
33;2;14.5;18.5;8;26.9512542486;5;21.3997764587;19.5;6;41.6042671204;
34;2;14.0;19.5;8;27.0107431412;5;22.4086647034;20.5;6;42.0819522142;
35;2;14.0;20.5;9;27.0708494186;5;23.4175872803;21.5;6;42.5060478449;
36;2;14.0;21.5;10;27.1315076351;5;24.4265403748;22.5;7;42.8799511194;
37;2;14.0;22.5;7;27.1926498413;6;25.4355163574;23.5;7;43.2078125477;
38;2;14.0;23.5;8;27.2542052269;6;26.4445075989;24.5;7;43.4941749573;
39;2;14.0;24.5;8;27.3161010742;7;26.8688735962;25.5;6;58.7436833382;
40;2;15.0;22.5;10;27.3782629967;7;27.5096473694;27.5;6;59.5955479145;
41;2;14.0;23.5;10;27.4406147003;7;28.5375003815;28.9668827057;7;60.304831028;
42;2;14.0;24.5;10;27.5030794144;7;31.0179786682;29.966884613;7;60.9325630665;
43;2;15.0;22.5;12;27.5655794144;7;32.5374984741;31.966884613;8;62.4812357426;
44;3;14.0;23.5;10;37.628036499;7;35.5374984741;34.966884613;8;63.0858303308;
45;3;16.0;21.5;11;38.0903720856;7;35.5374984741;39.966884613;9;63.6496770382;
46;3;16.0;22.5;13;38.5269098282;7;35.5374984741;44.966884613;11;64.1731944084;
47;3;17.0;23.5;13;38.936311245;7;36.5374984741;47.1330947876;11;64.6658989191;
48;3;19.0;21.5;13;39.3179190159;8;37.5374984741;49.1603164673;9;80.0433434248;
49;3;20.5744571686;22.5;13;39.6716897488;8;39.5374984741;51.1873512268;10;81.0786337852;
50;3;21.6403121948;23.5;13;39.9981045723;8;41.0875015259;53.2141723633;10;82.0601053238;
51;3;22.7001228333;24.5;13;40.2980742455;8;41.0875015259;55.2407608032;11;82.9884517193;
52;3;23.7541103363;25.2759513855;13;40.5728383064;8;41.0875015259;57.2671012878;11;83.8674268723;
53;3;24.8025684357;26.2544136047;22;40.8238677979;8;41.0875015259;59.2931747437;13;84.7028660774;
54;4;25.5958442688;26.2351799011;13;56.052781105;8;42.0875015259;60.3189697266;14;85.5016942024;
55;4;26.6343154907;27.218082428;13;57.0112712383;8;43.0875015259;61.3444595337;14;86.2710175514;
56;4;25.6683731079;29.2029457092;14;57.7663455009;9;45.0875015259;59.3696365356;14;87.0173795223;
57;4;25.6749992371;31.2000007629;14;58.4095873833;9;45.0875015259;60.3944892883;14;87.6525013447;
58;4;25.6749992371;32.4992713928;14;58.972925663;10;45.3624992371;61.4189949036;10;103.194798708;
59;4;25.6749992371;33.4483718872;15;59.4613304138;10;47.3624992371;60.443145752;11;107.465758324;
60;5;25.6749992371;34.4048690796;15;59.8813929558;10;47.9168434143;62.486366272;11;111.208598137;
61;5;25.9249992371;35.3680915833;16;60.2405362129;10;48.3822059631;64.5293121338;11;114.467403889;
62;5;25.9249992371;36.3372993469;14;60.5463819504;10;48.768535614;66.5719528198;14;118.294590473;
63;5;25.9249992371;37.3117256165;14;60.7125790119;10;50.0862884521;69.6142196655;14;120.471543074;
64;5;25.9249992371;38.2999992371;15;60.7603754997;10;51.2749977112;72.6560745239;15;121.823507786;
65;5;25.9249992371;39.2999992371;12;60.8069901466;11;51.2749977112;75.6974716187;14;123.071254253;
66;5;25.9249992371;40.2999992371;11;61.8524079323;11;52.2749977112;75.7383575439;18;124.216041923;
67;5;27.9249992371;39.2999992371;11;61.9966179132;11;51.2749977112;79.7383575439;18;125.26054728;
68;5;27.9249992371;41.2999992371;12;62.1485123634;11;51.2749977112;83.3442764282;19;126.109770536;
