Turn;Planet_count_KI_1_SP_EAXAW;Research_KI_1_SP_EAXAW;Industry_KI_1_SP_EAXAW;Ships_KI_1_SP_EAXAW;Population_KI_1_SP_EAXAW;Planet_count_KI_6_SP_GEORGE;Research_KI_6_SP_GEORGE;Industry_KI_6_SP_GEORGE;Ships_KI_6_SP_GEORGE;Population_KI_6_SP_GEORGE;
1;1;6.0;12.0;4;20.0;1;6.0;14.0;4;20.0;
2;1;7.0;11.0;4;20.0;1;7.0;13.0;6;20.0;
3;1;8.0;10.0;4;20.0;1;8.0;12.0;6;20.0;
4;1;9.0;10.0;4;20.0;1;8.0;11.0;6;20.0;
5;1;9.0;10.0;4;20.0;2;8.0;10.3000001907;5;21.0;
6;1;10.0;10.0;4;20.0;2;9.22500038147;10.0;5;21.0900000334;
7;1;11.0;10.0;4;20.0;2;9.74524974823;10.0;5;21.1871190071;
8;1;11.0;10.0;3;20.3999996185;2;9.76710128784;10.0;5;21.7036092281;
9;2;11.1199998856;10.3999996185;2;21.7264003754;2;9.88331222534;10.1999998093;5;22.1564130783;
10;2;11.5179204941;10.3632001877;1;21.9903717041;2;9.98519229889;10.3632001877;5;22.557236433;
11;2;11.597111702;10.4951858521;1;23.0619120598;2;10.075378418;10.4951858521;5;23.8035871983;
12;2;11.9185733795;11.0209560394;1;23.9545464516;2;10.3558073044;11.0209560394;5;24.8916251659;
13;2;13.9185733795;11.4571752548;1;24.6819883585;2;12.1677207947;11.4571752548;5;25.8364036083;
14;2;15.9185733795;11.8107032776;1;25.2644146681;2;14.1677207947;11.8107032776;5;26.6592981815;
15;2;16.9369182587;12.0916318893;1;25.7245066166;2;16.1677207947;12.0916318893;5;27.3839819431;
16;2;17.9431419373;12.3113050461;2;26.0845712423;2;17.3441429138;12.3113050461;5;28.0334718227;
17;3;18.9494171143;12.4808797836;1;26.1438889503;2;18.4139690399;12.4808797836;5;28.407397747;
18;3;19.6125736237;12.5;1;26.1651208401;2;19.4894981384;12.5;6;28.7683298588;
19;3;20.9621105194;12.5;1;26.1864993572;2;20.4728736877;12.5;6;29.1538929939;
20;3;21.8559494019;12.5;2;26.2080165148;2;20.5596256256;12.5;6;29.562889576;
21;3;21.8624038696;12.5;2;26.2296639681;2;20.6516494751;12.5;6;29.9934945107;
22;3;21.8688983917;12.5;2;26.2514331341;3;20.7485351562;12.5;5;30.4432339668;
23;3;21.8754291534;12.5;2;26.2733153105;3;20.8497276306;12.5;6;30.9089989662;
24;3;21.8819942474;12.5;2;26.2953014374;4;20.9545249939;12.5;5;31.3870959282;
25;3;21.5;12.8885908127;3;26.3173824549;4;21.0620956421;12.5;5;31.8733391762;
26;4;21.8952140808;12.5;3;26.3395489454;4;21.1715011597;12.5;5;32.36317873;
27;4;21.9018650055;12.5;4;26.3617914915;4;21.2817153931;12.5;5;32.8518595695;
28;4;21.5;13.1808958054;4;26.3841004372;4;21.3916683197;12.5;5;33.3346033096;
29;4;21.5;13.1920499802;4;26.4064661264;4;17.625;14.5;5;34.8067913055;
30;4;21.9219398499;12.5;4;26.428878665;4;17.625;16.5;5;35.3141467571;
31;4;21.5;13.2144393921;4;26.4513280392;4;17.625;18.5;5;35.8048577309;
32;4;21.5;13.2256641388;4;26.4738043547;4;16.8729438782;20.5;5;36.2757772207;
33;4;19.9421405792;13.5;4;26.4962974787;4;16.2600898743;22.5;5;36.7244387865;
34;4;18.9488887787;14.5;4;26.5187973976;4;16.272687912;24.5;5;37.1490912437;
35;4;17.9556388855;15.5;3;26.5412938595;4;16.2857437134;26.5;5;37.5486855507;
36;4;16.962387085;16.5;3;26.5637768507;4;16.2992591858;28.3530502319;5;37.9228287935;
37;4;15.9691333771;17.5;3;26.5862361193;4;16.3132362366;29.571472168;6;38.2717071772;
38;4;14.9758710861;18.5;3;26.6086617708;4;16.3276672363;30.7707824707;6;38.5959957838;
39;4;14.4825983047;19.5;4;26.6310436726;4;16.3425559998;31.9514656067;6;38.8967584372;
40;4;14.4893131256;20.5;5;26.6533719301;4;17.3578948975;33.8142814636;5;40.1753468513;
41;4;14.496011734;21.5;5;26.6756366491;4;18.0;34.2601966858;6;40.4833076;
42;4;14.5026912689;22.5;4;26.6978281736;4;19.6261405945;33.2601966858;6;40.7742733955;
43;4;14.5093479156;23.5;4;26.7199368477;4;18.6544723511;35.2601966858;6;41.038500905;
44;4;14.5159816742;24.5;4;26.7419531345;4;19.6836624146;34.2601966858;6;41.1720087528;
45;4;15.5225858688;22.5;5;26.7638677359;4;20.7137012482;34.2601966858;7;41.3092226982;
46;4;16.5291595459;22.5;5;26.7856714725;4;19.7445755005;33.2601966858;7;41.4500622749;
47;4;17.5357017517;22.5;5;26.8073554039;4;19.7762641907;32.2601966858;7;41.5944310427;
48;4;18.0;22.5;7;26.8289107084;4;21.4955120087;33.2601966858;9;41.7422157526;
