Turn;Planet_count_KI_1_SP_EAXAW;Research_KI_1_SP_EAXAW;Industry_KI_1_SP_EAXAW;Ships_KI_1_SP_EAXAW;Population_KI_1_SP_EAXAW;Planet_count_KI_6_SP_GEORGE;Research_KI_6_SP_GEORGE;Industry_KI_6_SP_GEORGE;Ships_KI_6_SP_GEORGE;Population_KI_6_SP_GEORGE;
1;1;6.0;12.0;4;20.0;1;6.0;14.0;4;20.0;
2;1;7.0;11.0;5;20.0;1;7.0;13.0;6;20.0;
3;1;8.0;10.0;5;20.0;1;8.0;12.0;6;20.0;
4;1;9.0;10.0;4;20.0;2;8.0;11.3000001907;4;21.0;
5;2;9.0;10.1999998093;2;21.0;2;8.14999961853;10.0;3;21.0599999428;
6;2;10.3000001907;10.0;2;21.1200000048;2;9.23849964142;10.0;3;21.1229639053;
7;2;11.3360004425;10.0;2;21.2530560493;2;9.75266647339;10.0;3;21.1889609098;
8;2;11.375916481;10.0;2;21.8127820492;2;9.76751613617;10.0;3;21.6699410677;
9;2;11.5438346863;10.1999998093;2;22.3170127869;2;9.87573719025;10.1999998093;3;22.0818096399;
10;2;11.6951036453;10.3632001877;2;22.7783694267;2;9.96840667725;10.3632001877;3;22.4358423948;
11;2;11.8335103989;10.4951858521;2;24.1197800636;2;10.0480642319;10.4951858521;3;23.611035943;
12;2;12.2359342575;11.0209560394;2;25.3230593204;2;10.3124837875;11.0209560394;2;24.615765214;
13;2;14.2359342575;11.4571752548;3;26.4056642056;2;12.1056518555;11.4571752548;2;25.4640146494;
14;2;16.2359333038;11.8107032776;3;27.3911669254;2;14.1056518555;11.8107032776;2;26.1761806011;
15;2;17.5749435425;12.0916318893;3;28.3050293922;2;16.1056518555;12.0916318893;2;26.7751014233;
16;2;18.717300415;12.3113050461;2;29.1714119911;2;17.2071437836;12.3113050461;2;27.2831678391;
17;2;19.8754692078;12.4808797836;2;29.790178299;2;18.2451515198;12.4808797836;2;27.4996597767;
18;2;21.0496273041;12.5;2;30.4229521751;2;19.2852573395;12.5;2;27.687142849;
19;2;22.2394599915;12.5;2;31.1049995422;2;20.2296066284;12.5;2;27.883649826;
