Turn;Planet_count_KI_1_SP_EAXAW;Research_KI_1_SP_EAXAW;Industry_KI_1_SP_EAXAW;Ships_KI_1_SP_EAXAW;Population_KI_1_SP_EAXAW;Planet_count_KI_6_SP_GEORGE;Research_KI_6_SP_GEORGE;Industry_KI_6_SP_GEORGE;Ships_KI_6_SP_GEORGE;Population_KI_6_SP_GEORGE;
1;1;6.0;12.0;4;20.0;1;6.0;14.0;4;20.0;
2;1;7.0;11.0;5;20.0;1;7.0;13.0;6;20.0;
3;1;8.0;10.0;5;20.0;1;8.0;12.0;6;20.0;
4;1;9.0;10.0;5;20.0;1;8.0;11.0;6;20.0;
5;1;9.0;10.0;5;20.0;1;8.0;10.0;6;20.0;
6;1;10.0;10.0;5;20.0;1;9.0;10.0;6;20.0;
7;1;11.0;10.0;5;20.0;1;9.5;10.0;6;20.0;
8;1;11.0;10.0;4;20.3999996185;1;9.5;10.0;6;20.3999996185;
9;1;11.1199998856;10.1999998093;4;20.7264003754;2;9.59000015259;10.5;5;21.7264003754;
10;1;11.2179203033;10.3632001877;4;20.9903717041;2;9.88844013214;10.3632001877;5;21.9903717041;
11;1;11.2971115112;10.4951858521;4;22.0419120789;2;9.94783401489;10.4951858521;5;23.0619120598;
12;2;11.6125736237;11.2209558487;4;23.9143505096;2;10.1889305115;11.0209560394;5;23.9545464516;
13;2;14.2971115112;11.4571752548;4;24.6714065075;2;11.9568777084;11.4571752548;5;24.6819883585;
14;2;16.2971115112;11.8107032776;4;25.2852387428;2;13.9568777084;11.8107032776;5;25.2644146681;
15;2;17.6277046204;12.0916318893;4;25.7785600424;2;15.7228336334;12.415977478;5;25.7245066166;
16;2;18.6438961029;12.3113050461;4;26.1737042665;2;16.7228336334;12.6418743134;5;26.0845712423;
17;2;19.2971115112;12.4808797836;4;26.269973278;2;17.9754657745;12.4808797836;5;26.1438889503;
18;2;20.2971115112;12.5;4;26.3300433159;2;18.7228336334;12.8431663513;4;26.1651208401;
19;2;21.2971115112;12.5;5;26.3921557665;2;19.8871517181;12.5;4;26.1864993572;
20;2;21.5;12.5;5;26.4563041925;2;19.625;12.8559494019;5;26.2080165148;
