Turn;Planet_count_KI_1_SP_EAXAW;Research_KI_1_SP_EAXAW;Industry_KI_1_SP_EAXAW;Ships_KI_1_SP_EAXAW;Population_KI_1_SP_EAXAW;Planet_count_KI_6_SP_GEORGE;Research_KI_6_SP_GEORGE;Industry_KI_6_SP_GEORGE;Ships_KI_6_SP_GEORGE;Population_KI_6_SP_GEORGE;
1;1;6.0;12.0;4;20.0;1;6.0;14.0;4;20.0;
2;1;7.0;11.0;5;20.0;1;7.0;13.0;6;20.0;
3;1;8.0;10.0;6;20.0;1;8.0;12.0;6;20.0;
4;1;9.0;10.0;5;20.0;2;8.0;11.3000001907;5;21.0;
5;1;9.0;10.0;5;20.0;2;8.14999961853;10.0;5;21.0900000334;
6;1;10.0;10.0;5;20.0;2;9.24524974823;10.0;5;21.1871190071;
7;1;11.0;10.0;5;20.0;2;9.76710128784;10.0;5;21.2917383909;
8;1;11.0;10.0;4;20.3999996185;2;9.79064083099;10.0;5;21.817143321;
9;1;11.1199998856;10.1999998093;4;20.7264003754;2;9.90885734558;10.1999998093;5;22.2793469429;
10;2;11.2179203033;10.5631999969;3;21.9903717041;2;10.0128526688;10.3632001877;5;22.6900259256;
11;2;11.597111702;10.4951858521;3;23.0619120598;2;10.1052560806;10.4951858521;5;23.9506295919;
12;2;11.9185733795;11.0209560394;3;23.9545464516;2;10.3888921738;11.0209560394;5;25.0538563728;
13;2;13.9185733795;11.4571752548;3;24.6819883585;2;12.2042226791;11.4571752548;5;26.0146684647;
14;2;15.9185733795;11.8107032776;3;25.2644146681;2;14.2042226791;11.8107032776;5;26.8543052673;
15;2;16.5793247223;12.0916318893;3;25.7245066166;2;16.2042217255;12.0916318893;5;27.5962526798;
16;2;16.7173519135;12.3113050461;3;26.0845712423;2;16.7228336334;13.2033977509;5;28.2632865906;
17;2;16.8253707886;12.4808797836;3;26.1438889503;2;18.4656772614;12.4808797836;5;28.6547400951;
18;2;16.8431663513;12.5;3;26.1651208401;2;19.5451507568;12.5;6;29.0328326225;
19;2;18.8380641937;12.5;3;26.1864993572;2;19.625;13.5;6;29.4347915649;
