Turn;Planet_count_KI_1_SP_EAXAW;Research_KI_1_SP_EAXAW;Industry_KI_1_SP_EAXAW;Ships_KI_1_SP_EAXAW;Population_KI_1_SP_EAXAW;Planet_count_KI_6_SP_GEORGE;Research_KI_6_SP_GEORGE;Industry_KI_6_SP_GEORGE;Ships_KI_6_SP_GEORGE;Population_KI_6_SP_GEORGE;
1;1;6.0;12.0;4;20.0;1;6.0;14.0;4;20.0;
2;1;7.0;11.0;5;20.0;1;7.0;13.0;6;20.0;
3;1;8.0;10.0;5;20.0;1;8.0;12.0;6;20.0;
4;1;9.0;10.0;5;20.0;1;8.0;11.0;6;20.0;
5;1;9.0;10.0;5;20.0;1;8.0;10.0;6;20.0;
6;1;10.0;10.0;5;20.0;1;9.0;10.0;6;20.0;
7;1;11.0;10.0;4;20.0;1;9.5;10.0;6;20.0;
8;1;11.0;10.0;4;20.3999996185;1;9.5;10.0;6;20.3999996185;
9;1;11.1199998856;10.1999998093;4;20.7264003754;2;9.59000015259;10.5;5;21.7264003754;
10;1;11.2179203033;10.3632001877;4;20.9903717041;2;9.88844013214;10.3632001877;5;21.9903717041;
11;1;11.2971115112;10.4951858521;4;22.0419120789;2;9.94783401489;10.4951858521;5;23.0819120407;
12;2;11.6125736237;11.2209558487;4;23.9143505096;2;10.1934309006;11.0209560394;5;23.99553442;
13;2;14.2971115112;11.4571752548;4;24.6414065361;2;11.9660997391;11.4571752548;5;24.7449600697;
14;2;16.2971115112;11.8107032776;4;25.2234597206;2;13.9660997391;11.8107032776;5;25.3503712416;
15;2;17.6091709137;12.0916318893;4;25.6831918955;2;15.9660997391;12.0916318893;5;25.8344515562;
16;2;18.6152858734;12.3113050461;4;26.0429104567;2;16.9954986572;12.3113050461;5;26.2195074558;
17;2;19.6214561462;12.4808797836;4;26.1018965244;2;18.0058269501;12.4808797836;5;26.3048160076;
18;2;20.6276798248;12.5;4;26.1228116751;2;19.0164165497;12.5;6;26.3530313969;
19;2;21.6339550018;12.5;4;26.1438889503;2;19.9294319153;12.5;6;26.4023760557;
20;2;21.8431663513;12.5;4;26.1651208401;2;19.9405345917;12.5;6;26.4528282881;
